r1025685.fit is not a target (BIAS)
r1025686.fit is not a target (SKY)
r1025687.fit is not a target (SKY)
r1025689.fit is not a target (SKY)
r1025690.fit is not a target (SKY)
r1025691.fit is not a target (SKY)
r1025692.fit is not a target (SKY)
r1025693.fit is not a target (SKY)
r1025694.fit is not a target (SKY)
r1025696.fit is not a target (SKY)
r1025697.fit is not a target (SKY)
r1025698.fit is not a target (SKY)
r1025699.fit is not a target (SKY)
r1025700.fit is not a target (SKY)
r1025701.fit is not a target (SKY)
r1025702.fit is not a target (SKY)
r1025703.fit is not a target (SKY)
r1025704.fit is not a target (SKY)
r1025705.fit is not a target (SKY)
r1025706.fit is not a target (SKY)
r1025707.fit is not a target (FOCUS)
r1025708.fit is not a target (FOCUS)
r1025709.fit 13.27  4.38 0.086   109.8 from  30 sources of ceph
r1025971.fit  7.42  2.45 0.077   155.8 from  27 sources of f1
r1025972.fit  5.42  1.79 0.091    59.5 from  24 sources of f1
r1025973.fit  6.38  2.11 0.076   129.4 from  64 sources of f1
r1025974.fit  6.23  2.06 0.025    45.5 from  22 sources of f1
r1025975.fit  6.30  2.08 0.059   115.8 from  47 sources of f1
r1025976.fit  4.69  1.55 0.081    49.2 from  42 sources of f1
r1025977.fit  5.56  1.83 0.050    95.5 from  89 sources of f1
r1025978.fit 10.96  3.62 0.122    59.5 from  19 sources of f1
r1025979.fit  6.21  2.05 0.055    90.2 from  61 sources of f1
r1025980.fit  5.19  1.71 0.055    42.4 from  27 sources of f1
r1025981.fit  6.66  2.20 0.114    75.1 from  69 sources of f1
r1025982.fit  6.57  2.17 0.045    49.3 from  21 sources of f2
r1025983.fit  6.37  2.10 0.060    77.7 from  71 sources of f2
r1025984.fit  7.99  2.64 0.111    76.0 from   8 sources of f2
r1025985.fit  7.38  2.44 0.033   126.4 from  26 sources of f2
r1025986.fit  6.27  2.07 0.036    80.2 from  21 sources of f2
r1025987.fit  5.88  1.94 0.089   159.0 from  77 sources of f2
r1025988.fit  8.97  2.96 0.073    49.7 from  19 sources of f2
r1025989.fit  7.24  2.39 0.079   109.6 from  53 sources of f2
r1025990.fit  6.42  2.12 0.051    54.3 from  29 sources of f2
r1025991.fit  4.09  1.35 0.043    90.4 from 142 sources of f2
r1025992.fit  6.81  2.25 0.060    60.7 from  32 sources of f2
r1025993.fit  6.62  2.18 0.054   101.9 from  54 sources of f2
r1025994.fit  4.71  1.55 0.052    47.8 from  34 sources of f2
r1025995.fit  5.70  1.88 0.062    78.8 from  70 sources of f2
r1025996.fit  4.70  1.55 0.050    39.9 from  35 sources of f3
r1025997.fit  5.80  1.91 0.077    74.5 from  78 sources of f3
r1025998.fit  5.53  1.82 0.059    78.4 from  10 sources of f3
r1025999.fit  5.48  1.81 0.052   149.9 from  25 sources of f3
r1026000.fit  5.39  1.78 0.050    59.8 from  19 sources of f3
r1026001.fit  5.95  1.96 0.079   200.9 from  66 sources of f3
r1026002.fit  9.33  3.08 0.038    60.4 from  11 sources of f3
r1026003.fit  8.41  2.78 0.076   130.6 from  47 sources of f3
r1026004.fit  5.28  1.74 0.079    50.6 from  23 sources of f3
r1026005.fit  5.83  1.92 0.090    98.5 from  86 sources of f3
r1026006.fit  6.45  2.13 0.053    59.4 from  28 sources of f3
r1026007.fit  6.52  2.15 0.055   123.0 from  64 sources of f3
r1026008.fit  4.92  1.62 0.051    42.8 from  23 sources of f3
r1026009.fit  6.82  2.25 0.089    83.3 from  66 sources of f3
r1026010.fit  4.92  1.62 0.050    44.5 from  21 sources of f1
r1026011.fit  6.13  2.02 0.056    81.6 from  60 sources of f1
r1026012.fit  7.72  2.55 0.104    58.6 from  13 sources of f1
r1026013.fit  8.41  2.78 0.063   140.7 from  27 sources of f1
r1026014.fit  7.97  2.63 0.066    65.8 from  10 sources of f1
r1026015.fit  7.84  2.59 0.094   133.4 from  60 sources of f1
r1026016.fit  5.48  1.81 0.041    49.2 from  24 sources of f1
r1026017.fit  5.92  1.95 0.059   126.1 from  52 sources of f1
r1026018.fit  4.85  1.60 0.029    48.3 from  36 sources of f1
r1026019.fit  5.82  1.92 0.079   103.2 from  79 sources of f1
r1026020.fit  5.12  1.69 0.054    58.7 from  36 sources of f1
r1026021.fit  5.34  1.76 0.061   107.0 from  62 sources of f1
r1026022.fit  4.55  1.50 0.069    43.0 from  28 sources of f1
r1026023.fit  5.97  1.97 0.052    81.8 from  65 sources of f1
r1026024.fit  4.06  1.34 0.060    47.5 from  34 sources of f2
r1026025.fit  6.28  2.07 0.060    81.4 from  65 sources of f2
r1026026.fit  6.08  2.01 0.083    62.1 from  11 sources of f2
r1026027.fit  6.43  2.12 0.063   136.0 from  17 sources of f2
r1026028.fit  4.54  1.50 0.163    63.5 from   5 sources of f2
r1026029.fit  6.77  2.23 0.068   185.0 from  20 sources of f2
r1026030.fit 11.62  3.83 0.028    55.1 from   7 sources of f2
r1026031.fit  6.05  2.00 0.141   110.3 from  19 sources of f2
r1026032.fit  6.51  2.15 0.034    55.3 from   7 sources of f2
r1026033.fit  5.67  1.87 0.094   104.0 from  10 sources of f2
r1026034.fit  4.53  1.49 0.032    62.0 from  11 sources of f2
r1026035.fit  5.66  1.87 0.044   119.2 from  30 sources of f2
r1026036.fit  6.33  2.09 0.166    48.6 from   8 sources of f2
r1026037.fit  6.30  2.08 0.041    83.3 from  21 sources of f2
r1026038.fit  7.03  2.32 0.103    41.2 from  11 sources of f3
r1026039.fit  5.69  1.88 0.053    83.4 from  41 sources of f3
r1026040.fit  8.92  2.94 0.143    64.8 from  12 sources of f3
r1026041.fit  4.24  1.40 0.057   180.4 from  16 sources of f3
r1026042.fit  4.81  1.59 0.062    66.2 from  12 sources of f3
r1026043.fit  6.74  2.22 0.139   173.4 from  29 sources of f3
r1026044.fit  5.35  1.77 0.080    56.1 from  13 sources of f3
r1026045.fit 15.54  5.13 0.086   161.4 from  19 sources of f3
r1026046.fit  9.86  3.25 0.061    52.8 from   7 sources of f3
r1026047.fit  6.49  2.14 0.060   143.8 from  31 sources of f3
r1026048.fit  4.68  1.54 0.045    69.6 from   9 sources of f3
r1026049.fit  4.87  1.61 0.028   156.4 from  32 sources of f3
r1026050.fit  5.86  1.93 0.074    57.0 from  16 sources of f3
r1026051.fit  6.14  2.03 0.075   162.3 from  55 sources of f3
r1026052.fit  6.90  2.28 0.052    82.2 from  17 sources of BD+750325 Ha
r1026053.fit  5.94  1.96 0.036   147.5 from  37 sources of BD+750325 r
r1026054.fit  5.52  1.82 0.042   100.6 from  12 sources of BD+750325 i
