id,time,moon_altitude,moon_azimuth,moon_separation,moon_phase,moon_ra,moon_dec
0385o_sep2010,2010-08-30T00:48:33.0,34.5,88.0,42.1,76.0,32.043,17.306
0386_nov2006b,2006-11-10T01:31:29.1,41.5,78.2,66.9,75.7,109.396,26.907
0386_sep2005,2005-09-18T02:28:16.1,52.2,213.9,69.4,100.0,356.258,-3.810
0386o_nov2006b,2006-11-10T01:36:14.8,42.5,78.6,66.8,75.7,109.432,26.906
0386o_sep2005,2005-09-18T02:33:00.8,51.6,215.5,69.5,100.0,356.284,-3.786
0387_oct2003,2003-10-09T00:43:33.5,56.5,194.6,63.4,98.3,2.231,-3.812
0387o_oct2003,2003-10-09T00:48:12.6,56.3,196.6,63.5,98.3,2.251,-3.794
0388_oct2003,2003-10-09T00:53:12.8,56.0,198.8,63.9,98.3,2.273,-3.774
0388o_oct2003,2003-10-09T00:58:19.5,55.6,200.9,64.0,98.3,2.294,-3.753
0389_oct2003,2003-10-09T01:03:06.5,55.3,202.9,64.4,98.3,2.315,-3.734
0389o_oct2003,2003-10-09T01:07:47.8,54.9,204.8,64.5,98.3,2.335,-3.716
0390_nov2006b,2006-11-10T01:41:02.6,43.5,79.0,66.8,75.6,109.469,26.905
0390_sep2005,2005-09-18T02:37:45.2,51.0,217.1,69.9,100.0,356.311,-3.762
0390o_nov2006b,2006-11-10T01:45:59.0,44.5,79.4,66.7,75.6,109.507,26.904
0390o_sep2005,2005-09-18T02:42:31.1,50.4,218.7,69.9,100.0,356.337,-3.738
0391_oct2003,2003-10-09T01:12:27.3,54.4,206.6,64.9,98.4,2.356,-3.697
0391o_oct2003,2003-10-09T01:17:06.9,54.0,208.4,65.0,98.4,2.376,-3.678
0392_nov2006b,2006-11-10T01:50:44.9,45.5,79.8,66.2,75.6,109.543,26.903
0392_sep2005,2005-09-22T01:30:57.6,50.6,91.3,49.9,80.6,48.725,21.040
0392o_nov2006b,2006-11-10T01:55:40.7,46.6,80.2,66.1,75.6,109.580,26.902
0392o_sep2005,2005-09-22T01:35:42.9,51.6,91.9,49.9,80.6,48.756,21.059
0393_oct2003,2003-10-09T01:21:59.9,53.5,210.3,65.4,98.4,2.397,-3.659
0393o_oct2003,2003-10-09T01:26:39.5,53.0,212.0,65.5,98.4,2.418,-3.640
0394_oct2003,2003-10-09T01:31:19.5,52.5,213.7,69.4,98.4,2.438,-3.621
0394o_oct2003,2003-10-09T01:38:55.8,51.6,216.3,69.5,98.4,2.472,-3.591
0395_aug2009,2009-08-10T05:10:07.1,62.3,217.2,56.6,84.1,2.078,5.815
0395_dec2008,2008-12-07T21:11:21.9,67.3,204.6,53.9,70.5,7.627,7.803
0395_oct2003,2003-10-09T01:44:39.1,50.8,218.2,65.8,98.4,2.498,-3.568
0395_oct2006,2006-10-05T01:54:59.3,36.0,232.7,74.5,93.7,343.846,-8.480
0395o_aug2009,2009-08-10T05:14:46.9,61.7,219.2,56.7,84.1,2.099,5.832
0395o_oct2003,2003-10-09T01:50:28.2,50.1,220.1,65.9,98.4,2.524,-3.544
0395o_oct2006,2006-10-05T01:59:44.7,35.2,233.7,74.6,93.7,343.876,-8.455
0396_oct2003,2003-10-09T01:55:07.1,49.4,221.6,66.3,98.4,2.545,-3.525
0396o_oct2003,2003-10-09T01:59:46.0,48.8,223.0,66.4,98.4,2.567,-3.507
0397_nov2006b,2006-11-10T02:00:25.9,47.6,80.5,66.0,75.5,109.615,26.900
0397_sep2005,2005-09-22T01:40:27.4,52.6,92.5,50.2,80.6,48.787,21.078
0397o_nov2006b,2006-11-10T02:05:14.4,48.6,80.9,65.9,75.5,109.650,26.899
0397o_sep2005,2005-09-22T01:45:11.8,53.7,93.0,50.2,80.5,48.817,21.097
0398_oct2003,2003-10-09T02:04:36.6,48.0,224.4,69.8,98.4,2.589,-3.487
0398_oct2006,2006-10-09T02:40:29.6,80.7,180.8,48.2,94.2,39.695,19.437
0398o_oct2003,2003-10-09T02:09:16.6,47.3,225.8,69.9,98.4,2.611,-3.468
0398o_oct2006,2006-10-09T02:45:12.7,80.6,187.5,48.2,94.2,39.724,19.455
0399_nov2012,2012-11-18T21:48:47.5,16.4,242.6,94.8,32.0,305.970,-14.592
0399_oct2003,2003-10-09T02:14:05.5,46.6,227.1,66.8,98.5,2.633,-3.449
0399o_oct2003,2003-10-09T02:19:31.1,45.8,228.6,66.8,98.5,2.659,-3.427
0400_oct2003,2003-10-09T02:24:37.6,44.9,230.0,67.3,98.5,2.683,-3.406
0400_oct2006,2006-10-09T02:49:55.7,80.5,194.0,45.9,94.1,39.753,19.473
0400_oct2012,2012-10-05T01:51:09.1,51.3,92.9,53.3,79.0,65.807,20.364
0400o_oct2003,2003-10-09T02:29:23.0,44.2,231.2,67.3,98.5,2.706,-3.387
0400o_oct2006,2006-10-09T02:54:38.4,80.2,200.2,45.9,94.1,39.782,19.490
0400o_oct2012,2012-10-05T01:55:48.8,52.3,93.5,53.3,79.0,65.835,20.371
0401_nov2012,2012-11-18T21:53:39.1,15.5,243.3,96.2,32.0,306.008,-14.575
0401_oct2003,2003-10-09T02:34:06.5,43.4,232.4,70.2,98.5,2.729,-3.368
0401o_oct2003,2003-10-09T02:38:46.6,42.6,233.5,70.3,98.5,2.752,-3.349
0402_nov2012,2012-11-18T21:15:40.1,22.4,237.4,93.5,31.7,305.718,-14.705
0402_oct2003,2003-10-09T02:43:35.2,41.8,234.6,62.6,98.5,2.775,-3.329
0402_oct2006,2006-10-09T02:59:27.1,79.8,206.2,41.7,94.1,39.811,19.508
0402o_nov2012,2012-11-18T21:20:18.3,21.6,238.2,93.6,31.8,305.753,-14.689
0402o_oct2003,2003-10-09T02:48:16.7,40.9,235.7,62.7,98.5,2.799,-3.310
0402o_oct2006,2006-10-09T03:04:10.9,79.3,211.6,41.7,94.1,39.840,19.525
0403_oct2003,2003-10-09T02:52:57.1,40.1,236.8,67.7,98.5,2.822,-3.291
0403_oct2006,2006-10-09T03:08:58.6,78.7,216.6,46.3,94.1,39.870,19.543
0403o_oct2003,2003-10-09T02:57:41.3,39.3,237.8,67.7,98.5,2.846,-3.272
0403o_oct2006,2006-10-09T03:13:41.7,78.1,221.1,46.3,94.1,39.899,19.560
0404_oct2003,2003-10-09T03:03:25.6,38.2,239.0,63.1,98.5,2.875,-3.249
0404_sep2010,2010-08-30T00:53:18.3,35.5,88.5,42.5,76.0,32.075,17.322
0404o_oct2003,2003-10-09T03:08:26.3,37.3,240.1,63.1,98.5,2.901,-3.228
0404o_sep2010,2010-08-30T00:57:58.3,36.5,89.0,42.6,76.0,32.106,17.339
0405_oct2003,2003-10-09T03:13:09.2,36.5,241.0,63.5,98.6,2.926,-3.209
0405o_oct2003,2003-10-09T03:17:49.1,35.6,241.9,63.6,98.6,2.950,-3.190
0406_oct2003,2003-10-09T03:22:30.4,34.7,242.8,68.1,98.6,2.975,-3.171
0406o_oct2003,2003-10-09T03:27:12.5,33.8,243.7,68.2,98.6,3.000,-3.152
0407_oct2003,2003-10-09T03:31:59.1,32.9,244.6,64.0,98.6,3.026,-3.133
0407o_oct2003,2003-10-09T03:36:38.7,32.0,245.4,64.1,98.6,3.052,-3.114
0408_oct2003,2003-10-09T03:41:28.3,31.1,246.3,70.5,98.6,3.078,-3.094
0408o_oct2003,2003-10-09T03:47:23.5,29.9,247.3,70.5,98.6,3.111,-3.070
0409_oct2003,2003-10-09T03:54:31.3,28.5,248.5,64.4,98.6,3.152,-3.041
0409o_oct2003,2003-10-09T03:59:16.6,27.6,249.3,64.5,98.6,3.179,-3.021
0410_oct2003,2003-10-09T04:03:58.9,26.6,250.0,64.9,98.6,3.206,-3.002
0410_oct2006,2006-10-08T23:44:05.5,49.7,94.7,44.5,94.9,38.554,18.681
0410o_oct2003,2003-10-09T04:08:38.9,25.7,250.7,65.0,98.6,3.233,-2.983
0410o_oct2006,2006-10-08T23:48:48.8,50.7,95.3,44.5,94.8,38.588,18.704
0411_oct2003,2003-10-09T04:13:29.9,24.7,251.5,68.4,98.6,3.262,-2.963
0411_oct2006,2006-10-09T03:18:24.8,77.4,225.1,47.1,94.0,39.928,19.577
0411o_oct2003,2003-10-09T04:18:09.9,23.8,252.2,68.5,98.7,3.290,-2.944
0411o_oct2006,2006-10-09T03:23:07.8,76.7,228.7,47.2,94.0,39.957,19.593
0412_oct2003,2003-10-09T04:22:49.6,22.9,252.9,65.4,98.7,3.318,-2.925
0412_oct2006,2006-10-08T23:53:31.9,51.7,96.0,44.9,94.8,38.621,18.726
0412o_oct2003,2003-10-09T04:27:58.1,21.8,253.6,65.4,98.7,3.349,-2.905
0412o_oct2006,2006-10-08T23:58:14.6,52.7,96.6,44.9,94.8,38.654,18.748
0413_oct2003,2003-10-09T04:32:54.7,20.8,254.4,70.8,98.7,3.380,-2.884
0413_oct2006,2006-10-09T00:03:04.8,53.7,97.3,50.0,94.8,38.688,18.770
0413o_oct2003,2003-10-09T04:37:36.6,19.9,255.0,70.9,98.7,3.409,-2.865
0413o_oct2006,2006-10-09T00:07:47.3,54.7,98.0,50.0,94.8,38.721,18.792
0414_oct2006,2006-10-09T03:27:50.5,76.0,232.0,47.6,94.0,39.987,19.610
0414o_oct2003,2003-10-09T04:47:06.2,17.9,256.4,68.9,98.7,3.469,-2.827
0414o_oct2006,2006-10-09T03:32:33.3,75.2,234.9,47.6,94.0,40.016,19.627
0415_nov2003b,2003-11-14T00:22:47.4,31.3,74.6,66.3,79.5,107.720,26.637
0415_nov2012,2012-11-18T21:25:07.5,20.7,238.9,95.1,31.8,305.789,-14.673
0415o_nov2012,2012-11-18T21:29:45.1,19.9,239.7,95.2,31.8,305.824,-14.657
0415o_oct2003,2003-10-11T04:22:19.1,45.8,250.6,54.1,99.3,25.408,8.164
0416_oct2003,2003-10-11T04:27:01.5,44.9,251.5,54.5,99.3,25.432,8.180
0416o_oct2003,2003-10-11T04:31:41.6,43.9,252.4,54.6,99.2,25.456,8.195
0417_nov2003b,2003-11-14T00:27:29.7,32.3,75.0,65.4,79.5,107.757,26.641
0417_nov2012,2012-11-18T21:34:35.8,19.0,240.4,96.5,31.9,305.860,-14.641
0417o_nov2012,2012-11-18T21:39:11.8,18.2,241.1,96.6,31.9,305.896,-14.625
0417o_oct2003,2003-10-11T04:38:17.5,42.6,253.6,57.6,99.2,25.490,8.217
0418_oct2003,2003-10-11T04:43:10.0,41.6,254.4,55.0,99.2,25.516,8.233
0418o_oct2003,2003-10-11T04:47:48.3,40.6,255.2,55.0,99.2,25.540,8.249
0419_oct2003,2003-10-11T04:52:27.6,39.6,256.0,50.2,99.2,25.565,8.264
0419_oct2012,2012-10-05T02:48:40.1,63.6,102.1,50.8,78.7,66.139,20.439
0419o_oct2003,2003-10-11T04:57:06.6,38.7,256.8,50.3,99.2,25.590,8.280
0419o_oct2012,2012-10-05T02:53:20.1,64.6,103.1,50.8,78.7,66.165,20.445
0420_oct2003,2003-10-11T05:01:45.2,37.7,257.5,50.8,99.2,25.615,8.295
0420_oct2012,2012-10-05T02:39:16.7,61.6,100.3,51.0,78.7,66.087,20.428
0420o_oct2003,2003-10-11T05:06:24.0,36.8,258.2,50.8,99.2,25.641,8.310
0420o_oct2012,2012-10-05T02:43:56.9,62.6,101.1,51.0,78.7,66.113,20.434
0421_oct2003,2003-10-11T05:11:02.2,35.8,258.9,51.3,99.2,25.667,8.325
0421_oct2012,2012-10-05T02:19:51.6,57.5,96.9,51.2,78.8,65.976,20.403
0421o_oct2003,2003-10-11T05:15:40.5,34.8,259.6,51.3,99.2,25.693,8.341
0421o_oct2012,2012-10-05T02:24:31.3,58.5,97.7,51.2,78.8,66.003,20.409
0422_oct2003,2003-10-11T05:20:21.7,33.8,260.3,55.4,99.2,25.720,8.356
0422_oct2012,2012-10-05T02:10:14.5,55.4,95.5,53.3,78.9,65.920,20.391
0422o_oct2003,2003-10-11T05:25:00.1,32.9,261.0,55.5,99.2,25.746,8.371
0422o_oct2012,2012-10-05T02:14:54.8,56.4,96.2,53.3,78.9,65.947,20.397
0423_oct2003,2003-10-11T05:29:39.5,31.9,261.7,57.9,99.2,25.773,8.386
