 543643 BIAS             10:04:34.91 +41:12:42.8 2000.00  06:29 1.086  WFC    0.0  180  V                                
 543644 BIAS             10:04:34.90 +41:12:42.8 2000.00  06:29 1.087  WFC    0.0  180  V                                
 543645 BIAS             10:04:34.91 +41:12:42.7 2000.00  06:30 1.087  WFC    0.0  180  V                                
 543646 BIAS             10:04:34.91 +41:12:42.7 2000.00  06:30 1.088  WFC    0.0  180  V                                
 543647 BIAS             10:04:34.91 +41:12:42.7 2000.00  06:31 1.089  WFC    0.0  180  V                                
 543648 BIAS             10:04:34.90 +41:12:42.8 2000.00  06:32 1.090  WFC    0.0  180  V                                
 543649 BIAS             10:04:34.91 +41:12:42.8 2000.00  06:32 1.091  WFC    0.0  180  V                                
 543650 BIAS             10:04:34.90 +41:12:42.8 2000.00  06:33 1.092  WFC    0.0  180  V                                
 543651 BIAS             10:04:34.90 +41:12:42.8 2000.00  06:33 1.092  WFC    0.0  180  V                                
 543652 flat test        13:06:56.00 +29:34:47.9 2000.00  06:41 1.042  WFC   20.1  180  V                                
 543653 flat test        13:06:55.99 +29:34:48.0 2000.00  06:46 1.036  WFC   60.0  180  V                                
 543654 flat test        13:06:56.00 +29:34:47.9 2000.00  06:59 1.024  WFC   59.5  180  V                                
 543655 flat test        15:02:00.00 +29:55:00.0 2000.00  07:02 1.244  WFC   60.0  180  V                                
 543656 FLAT, SKY        15:01:59.99 +29:54:59.9 2000.00  07:07 1.222  WFC  200.0  180  V                                
 543657 FLAT, SKY        15:01:59.99 +29:54:59.9 2000.00  07:12 1.208  WFC  200.0  180  V                                
 543658 FLAT, SKY        15:01:59.99 +29:55:00.0 2000.00  07:16 1.198  WFC   60.1  180  i                                
 543659 FLAT, SKY        15:02:01.53 +29:55:19.8 2000.00  07:18 1.193  WFC   40.1  180  i                                
 543661 FLAT, SKY        15:02:01.54 +29:55:19.9 2000.00  07:21 1.186  WFC   30.1  180  V                                
 543662 FLAT, SKY        15:02:01.53 +29:55:20.0 2000.00  07:22 1.180  WFC   50.1  180  V                                
 543663 FLAT, SKY        15:02:01.54 +29:55:19.9 2000.00  07:24 1.170  WFC  250.0  180  [SII]6725                        
 543664 FLAT, SKY        15:01:59.99 +29:54:59.9 2000.00  07:30 1.160  WFC  100.1  180  [SII]6725                        
 543665 FLAT, SKY        15:01:59.99 +29:55:00.0 2000.00  07:32 1.154  WFC   50.1  180  [SII]6725                        
