 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 776188 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:38 1.021  WFC    5.1  180  i                                
 776189 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:38 1.021  WFC    5.1  180  i                                
 776190 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:39 1.021  WFC    5.2  180  i                                
 776191 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:39 1.021  WFC    5.0  180  i                                
 776192 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:39 1.021  WFC    5.1  180  i                                
 776193 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:39 1.022  WFC    5.1  180  i                                
 776194 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:40 1.022  WFC    5.1  180  i                                
 776195 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:40 1.022  WFC    5.1  180  i                                
 776196 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:40 1.022  WFC    5.1  180  i                                
 776197 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:40 1.022  WFC    5.1  180  i                                
 776198 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:41 1.022  WFC    5.1  180  i                                
 776199 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:41 1.022  WFC    5.1  180  i                                
 776200 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:41 1.023  WFC    5.1  180  i                                
 776201 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:41 1.023  WFC    4.5  180  i                                
 776202 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:42 1.023  WFC    4.6  180  i                                
 776203 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:42 1.023  WFC    5.1  180  i                                
 776204 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:42 1.023  WFC    5.1  180  i                                
 776205 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:42 1.023  WFC    5.1  180  i                                
 776206 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:43 1.023  WFC    4.5  180  i                                
 776207 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:43 1.024  WFC    5.1  180  i                                
 776208 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:43 1.024  WFC    5.1  180  i                                
 776209 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:43 1.024  WFC    5.1  180  i                                
 776210 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:44 1.024  WFC    5.1  180  i                                
 776211 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:44 1.024  WFC    5.1  180  i                                
 776212 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:44 1.024  WFC    5.0  180  i                                
 776213 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:44 1.024  WFC    5.1  180  i                                
 776214 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:45 1.025  WFC    5.1  180  i                                
 776215 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:45 1.025  WFC    4.5  180  i                                
 776216 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:45 1.025  WFC    5.1  180  i                                
 776217 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:45 1.025  WFC    5.1  180  i                                
 776218 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:46 1.025  WFC    5.1  180  i                                
 776219 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:46 1.025  WFC    5.1  180  i                                
 776220 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:46 1.025  WFC    5.0  180  i                                
 776221 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:46 1.026  WFC    5.1  180  i                                
 776222 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:47 1.026  WFC    5.1  180  i                                
 776223 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:47 1.026  WFC    4.6  180  i                                
 776224 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:47 1.026  WFC    5.1  180  i                                
 776225 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:47 1.026  WFC    5.1  180  i                                
 776226 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:48 1.026  WFC    5.1  180  i                                
 776227 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:48 1.027  WFC    5.1  180  i                                
 776228 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:48 1.027  WFC    5.1  180  i                                
 776229 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:48 1.027  WFC    5.1  180  i                                
 776230 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:49 1.027  WFC    5.1  180  i                                
 776231 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:49 1.027  WFC    5.1  180  i                                
