INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 15 07:16

TELESCOPE             INT
DATE                  20060714
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:51
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    80
DARK TIME (HRS)       07:07
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         22:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
humid (60%), bit windy (40 km/h) but often good seeing and no time lost

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.52



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514930 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:49 1.439  WFC   35.1  180  stromgren b                      
 514931 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:51 1.434  WFC   30.1  180  stromgren y                      
 514932 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:52 1.429  WFC   60.1  180  g                                
 514933 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:54 1.423  WFC   30.1  180  r                                
 514934 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:55 1.418  WFC   60.1  180  stromgren u                      
 514935 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:56 1.413  WFC   45.1  180  stromgren v                      
 514936 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:58 1.408  WFC   35.1  180  stromgren b                      
 514937 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:59 1.403  WFC   29.5  180  stromgren y                      
 514938 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:00 1.398  WFC   60.1  180  g                                
 514939 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:02 1.394  WFC   29.5  180  r                                
 514940 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:03 1.389  WFC   60.1  180  stromgren u                      
 514941 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:05 1.383  WFC   45.1  180  stromgren v                      
 514942 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:06 1.379  WFC   35.0  180  stromgren b                      
 514943 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  00:08 1.375  WFC   30.1  180  stromgren y                      
 514944 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  00:09 1.370  WFC   60.0  180  g                                
 514945 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:11 1.366  WFC   30.1  180  r                                
 514946 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  00:12 1.361  WFC   60.1  180  stromgren u                      
 514947 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:13 1.356  WFC   45.1  180  stromgren v                      
 514948 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:15 1.352  WFC   35.1  180  stromgren b                      
 514949 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:16 1.348  WFC   30.0  180  stromgren y                      
 514950 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  00:17 1.344  WFC   60.1  180  g                                
 514951 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:19 1.340  WFC   30.1  180  r                                
 514952 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:20 1.336  WFC   60.1  180  stromgren u                      
 514953 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:22 1.331  WFC   45.1  180  stromgren v                      
 514954 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:23 1.327  WFC   35.1  180  stromgren b                      
 514955 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:25 1.324  WFC   29.6  180  stromgren y                      
 514956 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  00:26 1.320  WFC   59.5  180  g                                
 514957 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:27 1.316  WFC   30.1  180  r                                
 514958 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:29 1.312  WFC   60.1  180  stromgren u                      
 514959 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:30 1.308  WFC   45.1  180  stromgren v                      
 514960 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:32 1.304  WFC   35.1  180  stromgren b                      
 514961 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:33 1.301  WFC   30.1  180  stromgren y                      
 514962 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:34 1.297  WFC   60.1  180  g                                
 514963 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:36 1.294  WFC   30.1  180  r                                
 514964 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:37 1.290  WFC   60.1  180  stromgren u                      
 514965 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:39 1.286  WFC   45.1  180  stromgren v                      
 514966 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:40 1.283  WFC   35.0  180  stromgren b                      
 514967 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  00:42 1.280  WFC   30.1  180  stromgren y                      
