 435790 Bias             10:59:09.99 +03:29:59.9 2000.00  07:07 1.208  WFC    0.0  180  Halpha                           
 435791 Bias             10:59:09.99 +03:30:00.0 2000.00  07:08 1.209  WFC    0.0  180  Halpha                           
 435792 Skyflat r 70s    10:59:10.00 +03:30:00.0 2000.00  07:25 1.257  WFC   70.0  180  r                                
 435793 Skyflat r 40s    10:59:10.66 +03:30:10.0 2000.00  07:27 1.262  WFC   40.1  180  r                                
 435794 Skyflat r 20s    10:59:09.32 +03:29:50.0 2000.00  07:29 1.266  WFC   20.0  180  r                                
 435795 Skyflat g 20s    10:59:09.33 +03:29:50.0 2000.00  07:30 1.270  WFC   20.1  180  g                                
 435796 Skyflat g 15s    10:59:10.00 +03:29:59.9 2000.00  07:31 1.273  WFC   15.1  180  g                                
 435797 Skyflat g 10s    10:59:10.66 +03:30:10.1 2000.00  07:32 1.276  WFC   10.1  180  g                                
 435798 Skyflat i 20s    10:59:10.66 +03:30:10.1 2000.00  07:33 1.280  WFC   20.1  180  i                                
 435799 Skyflat i 10s    10:59:10.00 +03:30:00.0 2000.00  07:34 1.283  WFC   10.1  180  i                                
 435800 Skyflat i 7s     10:59:09.32 +03:29:49.9 2000.00  07:35 1.286  WFC    7.1  180  i                                
 435801 Skyflat OIII 12s 10:59:09.33 +03:29:49.9 2000.00  07:36 1.290  WFC   12.1  180  [OIII]5007                       
 435802 Skyflat OIII 30s 10:59:09.33 +03:29:49.6 2000.00  07:38 1.295  WFC   30.1  180  [OIII]5007                       
 435803 Skyflat OIII 23s 10:59:09.99 +03:30:00.0 2000.00  07:39 1.299  WFC   23.1  180  [OIII]5007                       
 435804 Skyflat OIII 17s 10:59:09.33 +03:29:49.9 2000.00  07:40 1.303  WFC   17.1  180  [OIII]5007                       
 435805 Skyflat Ha 20s   10:59:09.33 +03:29:49.9 2000.00  07:42 1.309  WFC   20.1  180  Halpha                           
 435806 Skyflat Ha 12s   10:59:10.00 +03:29:59.9 2000.00  07:43 1.313  WFC   12.1  180  Halpha                           
 435807 Skyflat Ha 7s    10:59:10.67 +03:30:10.0 2000.00  07:44 1.317  WFC    7.1  180  Halpha                           
 435808 Skyflat Ha 7s    10:59:10.66 +03:30:20.0 2000.00  07:45 1.321  WFC    7.1  180  Halpha                           
 435809 Bias             10:59:10.66 +03:30:00.0 2000.00  07:47 1.327  WFC    0.0  180  Halpha                           
 435810 Bias             10:59:10.66 +03:29:59.9 2000.00  07:47 1.329  WFC    0.0  180  Halpha                           
 435811 Bias             10:59:10.66 +03:29:59.8 2000.00  07:48 1.331  WFC    0.0  180  Halpha                           
 435812 Bias             10:59:10.66 +03:30:00.0 2000.00  07:49 1.333  WFC    0.0  180  Halpha                           
 435813 Bias             10:59:10.66 +03:30:00.0 2000.00  07:49 1.336  WFC    0.0  180  Halpha                           
