 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722585 WD0855+416        8:58:30.85 +41:26:35.1  2000.00 22:37 1.039  WFC   29.5  180  r                                
 722586 WD0855+416        8:58:30.85 +41:26:35.1  2000.00 22:38 1.039  WFC   30.1  180  r                                
 722587 WD0911+059        9:14:37.40 +05:44:53.2  2000.00 22:42 1.120  WFC   60.0  180  r                                
 722588 WD0911+059        9:14:37.39 +05:44:53.3  2000.00 22:44 1.118  WFC   59.5  180  r                                
 722589 WD0911+059        9:14:37.39 +05:44:53.3  2000.00 22:45 1.116  WFC   60.1  180  r                                
 722590 G195-19           9:15:56.23 +53:25:24.8  2000.00 22:50 1.116  WFC    9.6  180  V                                
 722591 G195-19           9:15:56.23 +53:25:24.9  2000.00 22:53 1.114  WFC   10.1  180  V                                
 722592 G195-19           9:15:56.23 +53:25:24.8  2000.00 22:54 1.113  WFC   10.1  180  V                                
 722593 ULAS0822+0730     8:22:58.95 +07:30:20.2  2000.00 23:00 1.075  WFC  180.0  180  z                                
 722594 ULAS0822+0730     8:22:58.95 +07:30:20.1  2000.00 23:03 1.076  WFC  180.0  180  z                                
 722595 WD0803+122        8:03:59.92 +12:29:43.8  2000.00 23:10 1.057  WFC   60.1  180  r                                
 722596 WD0803+122        8:03:59.93 +12:29:43.9  2000.00 23:12 1.058  WFC   60.0  180  r                                
 722597 WD0803+122        8:03:59.93 +12:29:43.8  2000.00 23:14 1.060  WFC   60.1  180  r                                
 722598 WD0851+120        8:51:06.11 +12:01:57.7  2000.00 23:16 1.044  WFC   60.0  180  r                                
 722599 WD0851+120        8:51:06.12 +12:01:57.7  2000.00 23:18 1.044  WFC   60.0  180  r                                
 722600 WD0851+120        8:51:06.12 +12:01:57.8  2000.00 23:20 1.044  WFC   60.0  180  r                                
 722601 LB8915            8:56:19.00 +16:11:05.0  2000.00 23:23 1.025  WFC   20.1  180  V                                
 722602 LB8915            8:56:19.00 +16:11:04.9  2000.00 23:24 1.025  WFC   20.1  180  V                                
 722603 LB8915            8:56:19.00 +16:11:05.0  2000.00 23:25 1.025  WFC   19.6  180  V                                
 722604 WD0837+185        8:40:13.29 +18:43:26.0  2000.00 23:30 1.021  WFC  180.0  180  i                                
 722605 WD0837+185        8:40:13.30 +18:43:25.9  2000.00 23:34 1.023  WFC  180.0  180  i                                
 722606 WD0855+416        8:58:30.84 +41:26:35.1  2000.00 23:40 1.027  WFC   30.1  180  r                                
 722607 WD0855+416        8:58:30.84 +41:26:35.1  2000.00 23:41 1.027  WFC   30.1  180  r                                
 722608 WD0855+416        8:58:30.84 +41:26:35.0  2000.00 23:43 1.027  WFC   30.1  180  r                                
 722609 WD0911+059        9:14:37.38 +05:44:53.3  2000.00 23:46 1.087  WFC   60.0  180  r                                
 722610 WD0911+059        9:14:37.39 +05:44:53.3  2000.00 23:48 1.087  WFC   60.0  180  r                                
 722611 WD0911+059        9:14:37.40 +05:44:53.2  2000.00 23:50 1.088  WFC   60.0  180  r                                
 722612 G195-19           9:15:56.23 +53:25:24.9  2000.00 23:54 1.101  WFC   10.1  180  V                                
 722613 G195-19           9:15:56.23 +53:25:24.9  2000.00 23:55 1.101  WFC   10.1  180  V                                
 722614 G195-19           9:15:56.23 +53:25:24.9  2000.00 23:56 1.101  WFC   10.1  180  V                                
 722615 ULAS0822+0730     8:22:58.95 +07:30:20.2  2000.00 00:02 1.129  WFC  179.5  180  z                                
 722616 ULAS0822+0730     8:22:58.95 +07:30:20.1  2000.00 00:06 1.135  WFC  180.0  180  z                                
 722617 WD1001+058       10:03:56.32 +05:38:25.5  2000.00 00:14 1.089  WFC  180.0  180  r                                
 722618 WD1001+058       10:03:56.32 +05:38:25.5  2000.00 00:18 1.088  WFC  180.0  180  r                                
 722619 WD1001+058       10:03:56.32 +05:38:25.6  2000.00 00:22 1.088  WFC  180.0  180  r                                
 722620 LHS2229          10:11:41.59 +28:45:59.7  2000.00 00:28 1.001  WFC   30.1  180  r                                
 722621 LHS2229          10:11:41.58 +28:45:59.7  2000.00 00:29 1.000  WFC   30.1  180  r                                
 722622 LHS2229          10:11:41.58 +28:45:59.7  2000.00 00:30 1.000  WFC   30.0  180  r                                
 722623 LHS2229          10:20:54.13 +36:26:47.7  2000.00 00:33 1.010  WFC   30.1  180  V                                This is GD116
 722624 LHS2229          10:20:54.12 +36:26:47.8  2000.00 00:35 1.010  WFC   30.0  180  V                                This is GD116
 722625 LHS2229          10:20:54.13 +36:26:47.7  2000.00 00:36 1.010  WFC   30.1  180  V                                This is GD116
 722626 WD0837+185        8:40:13.29 +18:43:26.0  2000.00 00:42 1.100  WFC  180.0  180  i                                
