 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 540130 onc i             5:35:30.00 -05:23:00.0 2000.00  02:31 1.230  WFC   30.1  180  i                                
 540131 onc V             5:35:30.01 -05:23:00.1 2000.00  02:32 1.232  WFC   60.0  180  V                                
 540132 onc i             5:35:30.00 -05:22:59.9 2000.00  02:34 1.234  WFC   30.1  180  i                                
 540133 onc V             5:35:30.02 -05:23:00.1 2000.00  02:36 1.237  WFC   59.6  180  V                                
 540134 onc i             5:35:30.00 -05:22:59.9 2000.00  02:38 1.239  WFC   30.1  180  i                                
 540135 onc V             5:35:30.00 -05:22:59.9 2000.00  02:40 1.242  WFC   60.0  180  V                                
 540136 onc i             5:35:30.00 -05:22:59.9 2000.00  02:42 1.244  WFC   30.1  180  i                                
 540137 onc V             5:35:30.00 -05:22:59.9 2000.00  02:43 1.247  WFC   60.1  180  V                                
 540138 onc i             5:35:29.99 -05:22:59.7 2000.00  02:45 1.249  WFC   30.1  180  i                                
 540139 onc V             5:35:30.01 -05:23:00.0 2000.00  02:47 1.252  WFC   60.0  180  V                                
 540140 onc i             0:00:00.00 +00:00:00.0 2000.00  02:49 1.255  WFC   30.0  180  i                                
 540141 onc V             5:35:30.00 -05:22:59.9 2000.00  02:51 1.258  WFC   60.1  180  V                                
 540142 onc i             5:35:30.00 -05:23:00.0 2000.00  02:53 1.261  WFC   30.1  180  i                                
 540143 onc V             5:35:30.00 -05:23:00.0 2000.00  02:54 1.264  WFC   60.1  180  V                                
 540144 onc i             5:35:30.00 -05:23:00.0 2000.00  02:56 1.267  WFC   30.1  180  i                                
 540145 onc V             5:35:29.99 -05:23:00.1 2000.00  02:58 1.271  WFC   60.1  180  V                                
 540146 onc i             5:35:30.00 -05:23:00.0 2000.00  03:00 1.274  WFC   30.1  180  i                                
 540147 onc V             5:35:30.00 -05:23:00.0 2000.00  03:02 1.278  WFC   60.0  180  V                                
 540148 onc i             5:35:30.00 -05:22:59.1 2000.00  03:04 1.281  WFC   30.1  180  i                                
 540149 onc V             5:35:30.00 -05:23:00.0 2000.00  03:05 1.285  WFC   60.1  180  V                                
 540150 onc i             5:35:30.00 -05:22:59.4 2000.00  03:07 1.289  WFC   29.6  180  i                                
 540151 onc V             5:35:30.00 -05:23:00.0 2000.00  03:09 1.294  WFC   60.1  180  V                                
 540152 onc i             5:35:29.99 -05:23:00.0 2000.00  03:11 1.298  WFC   30.1  180  i                                
 540153 onc V             5:35:29.99 -05:23:00.0 2000.00  03:13 1.302  WFC   60.1  180  V                                
 540154 onc i             0:00:00.00 +00:00:00.0 2000.00  03:15 1.306  WFC   30.1  180  i                                
 540155 onc V             5:35:29.99 -05:23:00.3 2000.00  03:16 1.311  WFC   60.0  180  V                                
 540156 onc i             5:35:29.99 -05:22:59.1 2000.00  03:19 1.315  WFC   30.1  180  i                                
 540157 onc V             5:35:29.95 -05:23:00.2 2000.00  03:20 1.320  WFC   60.0  180  V                                
 540158 onc i             5:35:30.00 -05:22:59.8 2000.00  03:22 1.325  WFC   30.1  180  i                                
 540159 onc V             5:35:29.99 -05:23:00.2 2000.00  03:24 1.330  WFC   60.1  180  V                                
 540160 onc i             5:35:29.99 -05:23:00.0 2000.00  03:26 1.335  WFC   30.1  180  i                                
 540161 onc V             5:35:29.99 -05:23:00.1 2000.00  03:27 1.340  WFC   60.1  180  V                                
 540162 onc i             5:35:29.99 -05:23:00.0 2000.00  03:29 1.345  WFC   30.1  180  i                                
 540163 onc V             5:35:30.00 -05:22:59.9 2000.00  03:31 1.351  WFC   60.1  180  V                                
 540164 onc i             5:35:29.99 -05:22:59.9 2000.00  03:33 1.356  WFC   30.1  180  i                                
 540165 onc V             5:35:30.00 -05:22:59.9 2000.00  03:35 1.362  WFC   60.1  180  V                                
 540166 onc i             5:35:30.00 -05:22:59.9 2000.00  03:37 1.368  WFC   29.6  180  i                                
 540167 onc V             5:35:29.99 -05:23:00.0 2000.00  03:38 1.374  WFC   59.6  180  V                                
 540168 onc i             5:35:29.99 -05:22:59.9 2000.00  03:40 1.380  WFC   29.0  180  i                                
 540169 onc V             5:35:30.00 -05:23:00.1 2000.00  03:42 1.388  WFC   60.1  180  V                                
 540170 onc i             5:35:30.00 -05:23:00.0 2000.00  03:44 1.394  WFC   30.0  180  i                                
 540171 onc V             5:35:30.00 -05:23:00.0 2000.00  03:46 1.401  WFC   60.0  180  V                                
 540172 onc i             5:35:30.00 -05:23:00.0 2000.00  03:48 1.408  WFC   29.5  180  i                                
 540173 onc V             0:00:00.00 +00:00:00.0 2000.00  03:50 1.415  WFC   60.1  180  V                                
