INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517578 sdss1208+35 60s  12:08:39.91 +35:51:00.0 2000.00  21:35 1.764  WFC   60.1  180  g                                
 517579 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:37 1.778  WFC   60.1  180  g                                
 517580 sdss1208+35 60s  12:08:39.91 +35:51:00.0 2000.00  21:39 1.793  WFC   60.1  180  g                                
 517581 sdss1208+35 60s  12:08:39.91 +35:51:00.0 2000.00  21:40 1.808  WFC   60.1  180  g                                
 517582 uvex_4495o He1    0:00:00.00 +00:00:00.0 2000.00  21:45 1.463  WFC  120.0  180  HeI 5870                         
 517583 uvex_4495o r     19:05:30.46 -03:48:59.9 2000.00  21:48 1.454  WFC   30.1  180  r                                
 517584 uvex_4495o U     19:05:30.45 -03:48:59.9 2000.00  21:49 1.445  WFC  120.0  180  U                                
 517585 uvex_4495o g     19:05:30.46 -03:49:00.0 2000.00  21:52 1.436  WFC   30.1  180  g                                
 517586 uvex_4509 He1    19:05:48.87 -01:53:00.2 2000.00  21:53 1.395  WFC  120.0  180  HeI 5870                         
 517587 uvex_4509 r      19:05:48.88 -01:53:00.0 2000.00  21:56 1.387  WFC   30.1  180  r                                
 517588 uvex_4509 U      19:05:48.88 -01:52:59.9 2000.00  21:57 1.379  WFC  120.0  180  U                                
 517589 uvex_4509 g      19:05:48.88 -01:53:00.0 2000.00  22:00 1.372  WFC   30.1  180  g                                
 517590 uvex_4509o He1   19:06:08.89 -01:47:59.9 2000.00  22:01 1.364  WFC  120.0  180  HeI 5870                         
 517591 uvex_4509o r     19:06:08.88 -01:48:00.0 2000.00  22:03 1.357  WFC   30.1  180  r                                
 517592 uvex_4509o U     19:06:08.88 -01:47:59.9 2000.00  22:05 1.350  WFC  120.1  180  U                                
 517593 uvex_4509o g     19:06:08.89 -01:48:00.0 2000.00  22:07 1.344  WFC   30.1  180  g                                
 517594 uvex_4510 He1    19:05:52.94 -03:20:59.8 2000.00  22:08 1.361  WFC  120.0  180  HeI 5870                         
 517595 uvex_4510 r      19:05:52.93 -03:20:59.9 2000.00  22:11 1.355  WFC   30.1  180  r                                
 517596 uvex_4510 U      19:05:52.93 -03:21:00.0 2000.00  22:12 1.348  WFC  120.0  180  U                                
 517597 uvex_4510 g      19:05:52.93 -03:21:00.0 2000.00  22:15 1.342  WFC   29.6  180  g                                
 517598 uvex_4510o He1   19:06:12.96 -03:15:59.9 2000.00  22:16 1.335  WFC  120.0  180  HeI 5870                         
 517599 uvex_4510o r     19:06:12.97 -03:16:00.0 2000.00  22:19 1.329  WFC   30.1  180  r                                
 517600 uvex_4510o U     19:06:12.96 -03:15:59.9 2000.00  22:20 1.323  WFC  120.0  180  U                                
 517601 uvex_4510o g     19:06:12.96 -03:15:59.9 2000.00  22:23 1.318  WFC   30.1  180  g                                
 517602 uvex_4523 He1    19:06:29.29 +00:08:00.3 2000.00  22:24 1.263  WFC  120.0  180  HeI 5870                         
 517603 uvex_4523 r      19:06:29.30 +00:08:00.0 2000.00  22:27 1.258  WFC   30.1  180  r                                
 517604 uvex_4523 U      19:06:29.29 +00:08:00.0 2000.00  22:28 1.253  WFC  120.0  180  U                                
 517605 uvex_4523 g      19:06:29.29 +00:08:00.0 2000.00  22:31 1.249  WFC   30.1  180  g                                
 517606 uvex_4523o He1   19:06:49.29 +00:13:00.0 2000.00  22:32 1.244  WFC  120.0  180  HeI 5870                         
 517607 uvex_4523o r     19:06:49.29 +00:13:00.0 2000.00  22:34 1.239  WFC   30.1  180  r                                
 517608 uvex_4523o U     19:06:49.30 +00:12:59.9 2000.00  22:36 1.235  WFC  120.0  180  U                                
 517609 uvex_4523o g     19:06:49.30 +00:12:59.9 2000.00  22:38 1.230  WFC   30.1  180  g                                
 517610 uvex_4524 He1    19:06:31.86 -01:20:00.2 2000.00  22:39 1.246  WFC  120.0  180  HeI 5870                         
 517611 uvex_4524 r      19:06:31.86 -01:20:00.0 2000.00  22:42 1.241  WFC   30.1  180  r                                
 517612 uvex_4524 U      19:06:31.85 -01:19:59.9 2000.00  22:43 1.237  WFC  120.0  180  U                                
 517613 uvex_4524 g      19:06:31.85 -01:20:00.0 2000.00  22:46 1.233  WFC   30.1  180  g                                
 517614 uvex_4524o He1   19:06:51.85 -01:14:59.9 2000.00  22:47 1.229  WFC  120.0  180  HeI 5870                         
 517615 uvex_4524o r     19:06:51.86 -01:15:00.0 2000.00  22:50 1.225  WFC   30.1  180  r                                
 517616 uvex_4524o U     19:06:51.86 -01:15:00.0 2000.00  22:51 1.222  WFC  120.0  180  U                                
 517617 uvex_4524o g     19:06:51.86 -01:14:59.9 2000.00  22:54 1.218  WFC   30.1  180  g                                
