 562069 uvex_4615o g     19:11:35.20 +18:43:59.8 2000.00  00:48 1.418  WFC   30.1  180  g                                
 562070 uvex_4616 He1    19:11:20.67 +17:10:59.7 2000.00  00:49 1.421  WFC  119.4  180  HeI 5870                         
 562071 uvex_4616 r      19:11:20.68 +17:10:59.9 2000.00  00:52 1.411  WFC   30.1  180  r                                
 562072 uvex_4616 U      19:11:20.67 +17:11:00.0 2000.00  00:53 1.401  WFC  120.0  180  U                                
 562073 uvex_4616 g      19:11:20.68 +17:11:00.0 2000.00  00:55 1.392  WFC   30.1  180  g                                
 562074 uvex_4616o He1   19:11:41.62 +17:16:00.0 2000.00  00:56 1.384  WFC  120.0  180  HeI 5870                         
 562075 uvex_4616o r     19:11:41.62 +17:16:00.0 2000.00  00:59 1.374  WFC   30.1  180  r                                
 562076 uvex_4616o U     19:11:41.62 +17:16:00.0 2000.00  01:00 1.365  WFC  120.0  180  U                                
 562077 uvex_4616o g     19:11:41.62 +17:15:59.9 2000.00  01:03 1.357  WFC   30.1  180  g                                
 562078 uvex_4617 He1    19:11:25.80 +15:42:59.7 2000.00  01:04 1.360  WFC  120.0  180  HeI 5870                         
 562079 uvex_4617 r      19:11:25.80 +15:42:59.9 2000.00  01:06 1.352  WFC   30.1  180  r                                
 562080 uvex_4617 U      19:11:25.80 +15:43:00.0 2000.00  01:07 1.343  WFC  120.0  180  U                                
 562081 uvex_4617 g      19:11:25.81 +15:43:00.0 2000.00  01:10 1.335  WFC   30.1  180  g                                
 562082 uvex_4617o He1   19:11:46.60 +15:48:00.1 2000.00  01:11 1.328  WFC  119.5  180  HeI 5870                         
 562083 uvex_4617o r     19:11:46.59 +15:48:00.0 2000.00  01:14 1.320  WFC   30.1  180  r                                
 562084 uvex_4617o U     19:11:46.59 +15:48:00.0 2000.00  01:15 1.312  WFC  120.0  180  U                                
 562085 uvex_4617o g     19:11:46.60 +15:47:59.9 2000.00  01:17 1.305  WFC   30.0  180  g                                
 562086 uvex_4618 He1    19:11:29.29 +14:14:59.8 2000.00  01:19 1.309  WFC  120.0  180  HeI 5870                         
 562087 uvex_4618 r      19:11:29.29 +14:15:00.1 2000.00  01:21 1.301  WFC   30.1  180  r                                
 562088 uvex_4618 U      19:11:29.29 +14:15:00.1 2000.00  01:22 1.294  WFC  120.0  180  U                                
 562089 uvex_4618 g      19:11:29.30 +14:15:00.0 2000.00  01:25 1.287  WFC   30.1  180  g                                
 562090 uvex_4618o He1   19:11:49.94 +14:20:00.0 2000.00  01:26 1.280  WFC  120.1  180  HeI 5870                         
 562091 uvex_4618o r     19:11:49.94 +14:20:00.1 2000.00  01:28 1.274  WFC   29.5  180  r                                
 562092 uvex_4618o U     19:11:49.93 +14:19:59.9 2000.00  01:30 1.267  WFC  119.5  180  U                                
 562093 uvex_4618o g     19:11:49.94 +14:20:00.0 2000.00  01:32 1.260  WFC   29.6  180  g                                
 562094 uvex_4619 He1    19:11:31.47 +12:46:59.6 2000.00  01:33 1.265  WFC  120.0  180  HeI 5870                         
 562095 uvex_4619 r      19:11:31.47 +12:46:59.9 2000.00  01:36 1.259  WFC   30.1  180  r                                
 562096 uvex_4619 U      19:11:31.47 +12:47:00.0 2000.00  01:37 1.253  WFC  120.0  180  U                                
 562097 uvex_4619 g      19:11:31.46 +12:47:00.0 2000.00  01:40 1.246  WFC   30.1  180  g                                
 562098 uvex_4619o He1   19:11:51.99 +12:52:00.0 2000.00  01:41 1.240  WFC  120.0  180  HeI 5870                         
 562099 uvex_4619o r     19:11:51.99 +12:52:00.0 2000.00  01:43 1.234  WFC   30.1  180  r                                
 562100 uvex_4619o U     19:11:51.98 +12:51:59.9 2000.00  01:44 1.229  WFC  120.0  180  U                                
