 545470 intphas_3627o r   6:33:59.21 +11:34:59.9 2000.00  00:46 1.047  WFC   30.1  180  r                                
 545471 intphas_3627o i   6:33:59.21 +11:35:00.0 2000.00  00:47 1.047  WFC   10.1  180  i                                
 545472 intphas_3628 Ha   6:33:39.72 +12:57:59.8 2000.00  00:48 1.039  WFC  120.0  180  Halpha                           
 545473 intphas_3628 r    6:33:39.71 +12:58:00.0 2000.00  00:51 1.039  WFC   30.1  180  r                                
 545474 intphas_3628 i    6:33:39.72 +12:58:00.0 2000.00  00:52 1.039  WFC   10.1  180  i                                
 545475 intphas_3628o Ha  6:34:00.25 +13:03:00.0 2000.00  00:53 1.039  WFC  120.0  180  Halpha                           
 545476 intphas_3628o r   6:34:00.25 +13:03:00.0 2000.00  00:55 1.039  WFC   30.0  180  r                                
 545477 intphas_3628o i   6:34:00.25 +13:02:59.9 2000.00  00:57 1.039  WFC   10.1  180  i                                
 545478 intphas_3629 Ha   6:33:41.49 +14:26:00.3 2000.00  00:58 1.033  WFC  120.1  180  Halpha                           
 545479 intphas_3629 r    6:33:41.48 +14:26:00.0 2000.00  01:00 1.033  WFC   30.1  180  r                                
 545480 intphas_3629 i    6:33:41.48 +14:26:00.0 2000.00  01:01 1.034  WFC    9.6  180  i                                
 545481 intphas_3629o Ha  6:34:02.15 +14:31:00.0 2000.00  01:02 1.034  WFC  120.0  180  Halpha                           
 545482 intphas_3629o r   6:34:02.15 +14:30:59.9 2000.00  01:05 1.034  WFC   30.1  180  r                                
 545483 intphas_3629o i   6:34:02.15 +14:30:59.9 2000.00  01:06 1.034  WFC   10.1  180  i                                
 545484 intphas_3630 Ha   6:33:44.33 +15:54:00.2 2000.00  01:07 1.029  WFC  120.0  180  Halpha                           
 545485 intphas_3630 r    6:33:44.33 +15:54:00.0 2000.00  01:10 1.030  WFC   29.5  180  r                                
 545486 intphas_3630 i    6:33:44.33 +15:54:00.0 2000.00  01:11 1.030  WFC   10.1  180  i                                
 545487 intphas_3630o Ha  6:34:05.12 +15:58:59.9 2000.00  01:12 1.030  WFC  120.0  180  Halpha                           
 545488 intphas_3630o r   6:34:05.14 +15:59:00.0 2000.00  01:15 1.031  WFC   29.6  180  r                                
 545489 intphas_3630o i   6:34:05.12 +15:59:00.0 2000.00  01:16 1.032  WFC   10.1  180  i                                
 545490 intphas_3631 Ha   6:33:48.69 +17:22:00.0 2000.00  01:17 1.027  WFC  120.0  180  Halpha                           
 545491 intphas_3631 r    6:33:48.68 +17:22:00.0 2000.00  01:19 1.028  WFC   30.1  180  r                                
 545492 intphas_3631 i    6:33:48.69 +17:21:59.9 2000.00  01:21 1.029  WFC   10.1  180  i                                
 545493 intphas_3631o Ha  6:34:09.64 +17:27:00.0 2000.00  01:21 1.029  WFC  120.0  180  Halpha                           
 545494 intphas_3631o r   6:34:09.65 +17:26:59.9 2000.00  01:24 1.031  WFC   30.1  180  r                                
 545495 intphas_3631o i   6:34:09.65 +17:27:00.0 2000.00  01:25 1.031  WFC   10.1  180  i                                
 545496 intphas_3637 Ha   6:34:22.30 +09:07:00.1 2000.00  01:26 1.076  WFC  120.0  180  Halpha                           
 545497 intphas_3637 r    6:34:22.30 +09:07:00.0 2000.00  01:29 1.077  WFC   30.1  180  r                                
 545498 intphas_3637 i    6:34:22.30 +09:07:00.0 2000.00  01:30 1.078  WFC   10.0  180  i                                
 545499 intphas_3637o Ha  6:34:42.56 +09:12:00.0 2000.00  01:31 1.079  WFC  120.0  180  Halpha                           
 545500 intphas_3637o r   6:34:42.56 +09:12:00.0 2000.00  01:34 1.080  WFC   30.1  180  r                                
 545501 intphas_3637o i   6:34:42.56 +09:11:59.9 2000.00  01:35 1.081  WFC   10.1  180  i                                
 545502 intphas_3638 Ha   6:34:22.42 +07:38:59.8 2000.00  01:36 1.094  WFC  120.0  180  Halpha                           
 545503 intphas_3638 r    6:34:22.42 +07:38:59.9 2000.00  01:39 1.096  WFC   30.1  180  r                                
 545504 intphas_3638 i    6:34:22.42 +07:39:00.0 2000.00  01:40 1.097  WFC   10.1  180  i                                
 545505 intphas_3638o Ha  6:34:42.60 +07:44:00.0 2000.00  01:41 1.098  WFC  120.0  180  Halpha                           
 545506 intphas_3638o r   6:34:42.59 +07:43:59.9 2000.00  01:43 1.100  WFC   30.1  180  r                                
 545507 intphas_3638o i   6:34:42.60 +07:43:59.9 2000.00  01:45 1.101  WFC   10.1  180  i                                
 545508 intphas_3639 Ha   6:34:22.43 +10:35:00.2 2000.00  01:46 1.084  WFC  120.0  180  Halpha                           
 545509 intphas_3639 r    6:34:22.43 +10:34:59.9 2000.00  01:48 1.086  WFC   30.1  180  r                                
 545510 intphas_3639 i    6:34:22.43 +10:35:00.0 2000.00  01:50 1.087  WFC   10.1  180  i                                
 545511 intphas_3639o Ha  6:34:42.78 +10:39:59.9 2000.00  01:50 1.088  WFC  120.0  180  Halpha                           
 545512 intphas_3639o r   6:34:42.78 +10:39:59.9 2000.00  01:53 1.091  WFC   30.1  180  r                                
 545513 intphas_3639o i   6:34:42.78 +10:39:59.9 2000.00  01:54 1.092  WFC   10.0  180  i                                
 545514 intphas_3642 Ha   6:34:23.12 +12:03:00.1 2000.00  01:55 1.086  WFC  119.5  180  Halpha                           
 545515 intphas_3642 r    6:34:23.13 +12:02:59.9 2000.00  01:58 1.088  WFC   30.1  180  r                                
 545516 intphas_3642 i    6:34:23.12 +12:02:59.9 2000.00  01:59 1.090  WFC   10.1  180  i                                
 545517 intphas_2664o Ha  5:41:56.44 +24:57:59.5 2000.00  02:08 1.151  WFC  120.0  180  Halpha                           Tau1 Field
 545518 intphas_2664o r   5:41:56.44 +24:57:59.9 2000.00  02:10 1.156  WFC   30.0  180  r                                
 545519 intphas_2664o i   5:41:56.44 +24:57:59.8 2000.00  02:12 1.159  WFC   10.1  180  i                                
 545520 intphas_2696 Ha   5:43:40.06 +30:55:59.6 2000.00  02:13 1.148  WFC  120.0  180  Halpha                           
 545521 intphas_2696 r    5:43:40.05 +30:55:59.6 2000.00  02:15 1.152  WFC   29.6  180  r                                
 545522 intphas_2696 i    5:43:40.05 +30:55:59.6 2000.00  02:17 1.155  WFC   10.1  180  i                                
 545523 intphas_2696o Ha  5:44:03.39 +31:00:59.7 2000.00  02:17 1.158  WFC  120.0  180  Halpha                           
 545524 intphas_2696o r   5:44:03.39 +31:00:59.6 2000.00  02:20 1.163  WFC   30.1  180  r                                
 545525 intphas_2696o i   5:44:03.39 +31:00:59.6 2000.00  02:21 1.166  WFC   10.1  180  i                                
 545526 intphas_2697 Ha   5:43:41.46 +27:59:59.5 2000.00  02:22 1.177  WFC  120.0  180  Halpha                           
 545527 intphas_2697 r    5:43:41.46 +27:59:59.8 2000.00  02:25 1.182  WFC   30.1  180  r                                
 545528 intphas_2697 i    5:43:41.47 +27:59:59.7 2000.00  02:26 1.185  WFC   10.1  180  i                                
 545529 intphas_2697o Ha  5:44:04.13 +28:04:59.8 2000.00  02:27 1.189  WFC  120.0  180  Halpha                           
 545530 intphas_2697o r   5:44:04.13 +28:04:59.8 2000.00  02:30 1.195  WFC   30.1  180  r                                
 545531 intphas_2697o i   5:44:04.14 +28:04:59.8 2000.00  02:31 1.198  WFC   10.1  180  i                                
 545532 intphas_2698 Ha   5:43:43.87 +32:23:59.5 2000.00  02:32 1.197  WFC  120.0  180  Halpha                           
 545533 intphas_2698 r    5:43:43.88 +32:23:59.6 2000.00  02:35 1.203  WFC   30.1  180  r                                
 545534 intphas_2698 i    5:43:43.87 +32:23:59.7 2000.00  02:36 1.206  WFC    9.5  180  i                                
 545535 intphas_2698o Ha  5:44:07.59 +32:28:59.7 2000.00  02:37 1.210  WFC  120.0  180  Halpha                           
 545536 intphas_2698o r   5:44:07.59 +32:28:59.7 2000.00  02:40 1.216  WFC   30.1  180  r                                
 545537 intphas_2698o i   5:44:07.59 +32:28:59.6 2000.00  02:41 1.220  WFC   10.1  180  i                                
 545538 intphas_2699 Ha   5:43:45.81 +26:31:59.9 2000.00  02:42 1.242  WFC  120.0  180  Halpha                           
 545539 intphas_2699 r    5:43:45.81 +26:31:59.7 2000.00  02:45 1.249  WFC   30.1  180  r                                
 545540 intphas_2699 i    5:43:45.81 +26:31:59.8 2000.00  02:46 1.253  WFC   10.1  180  i                                
 545541 intphas_2699o Ha  5:44:08.18 +26:36:59.8 2000.00  02:47 1.257  WFC  120.0  180  Halpha                           
 545542 intphas_2699o r   5:44:08.18 +26:36:59.8 2000.00  02:49 1.264  WFC   30.1  180  r                                
 545543 intphas_2699o i   5:44:08.18 +26:36:59.7 2000.00  02:51 1.268  WFC   10.1  180  i                                
 545544 IPHAS_DS1         5:57:11.72 +28:23:22.4 2000.00  02:59 1.274  WFC  899.6  180  Halpha                           Double shell, priority 1
 545545 IPHAS_DS1         5:57:11.71 +28:23:22.5 2000.00  03:17 1.350  WFC  899.6  180  [OIII]5007                       Double shell, priority 1
 545546 IPHAS_DS1         5:57:11.72 +28:23:22.7 2000.00  03:36 1.445  WFC  899.7  180  Halpha                           Telescope shifted while guiding - bad image
 545547 IPHAS_DS1         5:57:11.72 +28:23:22.3 2000.00  03:56 1.572  WFC  899.6  180  [OIII]5007                       Telescope shifted, problems wiht guiding
 545548 SA98-650          6:52:04.31 -00:19:39.0 2000.00  04:28 1.803  WFC  100.0  180  Halpha                           
 545549 FEIGE34          10:39:36.72 +43:06:09.4 2000.00  04:41 1.033  WFC   20.1  180  r                                
 545550 FEIGE34          10:39:36.72 +43:06:09.4 2000.00  04:42 1.033  WFC   20.1  180  i                                
 545551 FEIGE34          10:39:36.72 +43:06:09.4 2000.00  04:44 1.032  WFC  100.1  180  Halpha                           
 545552 ST_L101           9:56:03.60 -00:17:17.8 2000.00  04:53 1.164  WFC   20.1  180  r                                
 545553 ST_L101           9:56:03.60 -00:17:17.9 2000.00  04:54 1.166  WFC   20.1  180  i                                
 545554 ST_L101           9:56:03.59 -00:17:17.8 2000.00  04:56 1.168  WFC  100.0  180  Halpha                           
 545555 LeoII i 10m      11:13:29.20 +22:09:14.0 2000.00  05:08 1.008  WFC  599.8  180  i                                
 545556 LeoII i 10m      11:13:29.20 +22:09:13.6 2000.00  05:24 1.007  WFC  599.7  180  i                                
 545557 LeoII i 10m      11:13:29.20 +22:09:14.0 2000.00  05:35 1.008  WFC  599.8  180  i                                
 545558 LeoII i 10m      11:13:29.19 +22:09:14.0 2000.00  05:47 1.012  WFC  599.1  180  i                                guiding problems
 545559 LeoII i 10m      11:13:29.20 +22:09:13.9 2000.00  05:58 1.017  WFC  599.6  180  i                                useless, saturated because of clouds
 545560 LeoII i 10m      11:13:29.19 +22:09:13.9 2000.00  06:22 1.036  WFC  599.7  180  i                                
 545561 LeoII i 10m      11:13:29.20 +22:09:14.0 2000.00  06:33 1.047  WFC  599.8  180  i                                
 545562 ST_L104          12:42:51.12 -00:31:48.9 2000.00  06:50 1.147  WFC   20.1  180  i                                
 545563 ST_L104          12:42:51.12 -00:31:48.8 2000.00  06:52 1.147  WFC  100.0  180  Halpha                           
 545564 ST_L104          12:42:51.12 -00:31:48.8 2000.00  06:55 1.147  WFC   19.6  180  r                                
 545565 FEIGE67          12:41:51.83 +17:31:19.8 2000.00  06:58 1.020  WFC   30.1  180  r                                
 545566 FEIGE67          12:41:51.84 +17:31:19.9 2000.00  07:00 1.020  WFC   30.1  180  i                                
 545567 FEIGE67          12:41:51.84 +17:31:19.9 2000.00  07:02 1.020  WFC  150.0  180  Halpha                           
 545568 Bias             12:41:51.84 +17:31:19.9 2000.00  07:07 1.021  WFC    0.0  180  Halpha                           
 545569 Bias             12:41:51.84 +17:31:19.9 2000.00  07:07 1.021  WFC    0.0  180  Halpha                           
 545570 Bias             12:41:51.83 +17:31:19.9 2000.00  07:08 1.021  WFC    0.0  180  Halpha                           
 545571 Bias             12:41:51.84 +17:31:19.9 2000.00  07:08 1.021  WFC    0.0  180  Halpha                           
 545572 Bias             12:41:51.83 +17:31:19.8 2000.00  07:09 1.021  WFC    0.0  180  Halpha                           
 545573 skyflat i        12:57:33.00 -02:23:16.0 2000.00  07:23 1.170  WFC   71.5  180  i                                
 545574 skyflat i        12:57:33.66 -02:23:16.0 2000.00  07:26 1.171  WFC   67.1  180  i                                saturated
 545575 skyflat i        12:57:33.00 -02:23:06.0 2000.00  07:28 1.172  WFC   39.1  180  i                                saturated
 545576 skyflat i        12:57:33.65 -02:23:05.9 2000.00  07:31 1.173  WFC   16.1  180  i                                
 545577 skyflat r        12:57:33.66 -02:23:05.9 2000.00  07:32 1.174  WFC   26.1  180  r                                
 545578 skyflat r        12:57:33.66 -02:23:16.0 2000.00  07:34 1.175  WFC   16.1  180  r                                saturated
 545579 skyflat r        12:57:32.99 -02:23:05.9 2000.00  07:35 1.175  WFC    5.1  180  r                                
 545580 skyflat r        12:57:33.66 -02:23:06.0 2000.00  07:36 1.176  WFC    1.5  180  r                                counts too low
 545581 skyflat Ha       12:57:33.66 -02:23:06.0 2000.00  07:38 1.177  WFC   17.1  180  Halpha                           
 545582 skyflat Ha       12:57:33.66 -02:23:15.9 2000.00  07:40 1.178  WFC   16.1  180  Halpha                           
 545583 skyflat Ha       12:57:32.99 -02:23:06.0 2000.00  07:41 1.179  WFC   16.0  180  Halpha                           
 545584 skyflat Ha       12:57:33.66 -02:23:05.9 2000.00  07:43 1.180  WFC   12.1  180  Halpha                           
 545585 skyflat O3       12:57:33.67 -02:23:06.0 2000.00  07:44 1.181  WFC   28.1  180  [OIII]5007                       saturated
 545586 skyflat O3       12:57:33.67 -02:23:16.0 2000.00  07:46 1.183  WFC   12.1  180  [OIII]5007                       
 545587 skyflat O3       12:57:32.99 -02:23:06.0 2000.00  07:47 1.184  WFC    5.1  180  [OIII]5007                       
 545588 skyflat O3       12:57:33.66 -02:23:05.9 2000.00  07:48 1.185  WFC    2.1  180  [OIII]5007                       
