 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623350 uvex_4392o r     19:00:15.54 -01:48:00.0  2000.00 00:24 1.177  WFC   30.0  180  r                                
 623351 uvex_4392o U     19:00:15.54 -01:48:00.0  2000.00 00:25 1.176  WFC  120.0  180  U                                
 623352 uvex_4392o g     19:00:15.53 -01:47:59.9  2000.00 00:28 1.174  WFC   30.1  180  g                                
 623353 uvex_4393 He1    18:59:58.26 -03:20:59.8  2000.00 00:29 1.192  WFC  180.0  180  HeI 5870                         
 623354 uvex_4393 r      18:59:58.26 -03:21:00.0  2000.00 00:32 1.190  WFC   29.6  180  r                                
 623355 uvex_4393 U      18:59:58.26 -03:20:59.9  2000.00 00:34 1.189  WFC  120.0  180  U                                
 623356 uvex_4393 g      18:59:58.26 -03:20:59.9  2000.00 00:36 1.188  WFC   30.0  180  g                                
 623357 uvex_4394 He1    19:00:02.24 -04:48:59.9  2000.00 00:37 1.206  WFC  180.0  180  HeI 5870                         
 623358 uvex_4394 r      19:00:02.25 -04:49:00.0  2000.00 00:41 1.205  WFC   30.1  180  r                                
 623359 uvex_4394 U      19:00:02.25 -04:49:00.0  2000.00 00:42 1.204  WFC  120.0  180  U                                
 623360 uvex_4394 g      19:00:02.24 -04:49:00.0  2000.00 00:45 1.203  WFC   30.1  180  g                                
 623361 uvex_4394o He1   19:00:22.32 -04:43:59.9  2000.00 00:46 1.201  WFC  179.5  180  HeI 5870                         
 623362 uvex_4394o r     19:00:22.32 -04:44:00.0  2000.00 00:49 1.200  WFC   30.1  180  r                                
 623363 uvex_4394o U     19:00:22.31 -04:44:00.0  2000.00 00:50 1.200  WFC  120.0  180  U                                
 623364 uvex_4394o g     19:00:22.31 -04:44:00.0  2000.00 00:53 1.199  WFC   30.1  180  g                                
 623365 uvex_4420 He1    19:01:22.36 -00:46:59.8  2000.00 00:54 1.150  WFC  180.0  180  HeI 5870                         
 623366 uvex_4420 r      19:01:22.36 -00:46:59.9  2000.00 00:58 1.149  WFC   30.1  180  r                                
 623367 uvex_4420 U      19:01:22.35 -00:46:59.9  2000.00 00:59 1.149  WFC  120.0  180  U                                
 623368 uvex_4420 g      19:01:22.35 -00:47:00.0  2000.00 01:01 1.149  WFC   30.1  180  g                                
 623369 UVEX_4378        18:59:10.28 -00:58:00.0  2000.00 01:04 1.151  WFC  180.0  180  HeI 5870                         Reobservation of field without autoguider
 623370 ST_PG1657 He1    16:59:35.51 +07:42:30.9  2000.00 01:10 1.253  WFC  120.0  180  HeI 5870                         
 623371 ST_PG1657 r      16:59:35.52 +07:42:31.0  2000.00 01:13 1.258  WFC   15.1  180  r                                
 623372 ST_PG1657 U      16:59:35.51 +07:42:30.9  2000.00 01:14 1.262  WFC   60.0  180  U                                
 623373 ST_PG1657 g      16:59:35.52 +07:42:31.0  2000.00 01:15 1.266  WFC   15.1  180  g                                
 623374 Wolf1346 He1     20:34:21.84 +25:03:49.7  2000.00 01:18 1.050  WFC   59.5  180  HeI 5870                         
 623375 Wolf1346 r       20:34:21.83 +25:03:49.7  2000.00 01:19 1.049  WFC    2.1  180  r                                
 623376 Wolf1346 U       20:34:21.83 +25:03:49.6  2000.00 01:20 1.048  WFC    8.1  180  U                                
 623377 Wolf1346 g       20:34:21.83 +25:03:49.7  2000.00 01:20 1.047  WFC    2.1  180  g                                
 623378 SA110-246 He1    18:41:50.88 +00:05:09.0  2000.00 01:22 1.156  WFC   59.6  180  HeI 5870                         
 623379 SA110-246 r      18:41:50.87 +00:05:08.9  2000.00 01:24 1.157  WFC    4.1  180  r                                
 623380 SA110-246 U      18:41:50.88 +00:05:09.0  2000.00 01:24 1.157  WFC   20.1  180  U                                
 623381 SA110-246 g      18:41:50.87 +00:05:08.9  2000.00 01:25 1.158  WFC    4.1  180  g                                
 623382 uvex_5297 He1    19:47:09.60 +33:51:59.7  2000.00 01:29 1.006  WFC  180.0  180  HeI 5870                         
 623383 uvex_5297 r      19:47:09.60 +33:51:59.6  2000.00 01:33 1.006  WFC   30.1  180  r                                
 623384 uvex_5297 U      19:47:09.60 +33:51:59.7  2000.00 01:34 1.005  WFC  119.5  180  U                                
 623385 uvex_5297 g      19:47:09.60 +33:51:59.7  2000.00 01:37 1.005  WFC   30.1  180  g                                
 623386 uvex_5297o He1   19:47:33.71 +33:56:59.7  2000.00 01:38 1.005  WFC  179.9  180  HeI 5870                         
 623387 uvex_5297o r     19:47:33.70 +33:56:59.6  2000.00 01:41 1.005  WFC   30.1  180  r                                
 623388 uvex_5297o U     19:47:33.71 +33:56:59.6  2000.00 01:42 1.004  WFC  120.0  180  U                                
 623389 uvex_5297o g     19:47:33.71 +33:56:59.7  2000.00 01:45 1.004  WFC   30.1  180  g                                
