 458587 P2004H2 r'       22:47:49.65 -11:36:31.3 2000.00  01:36 2.387  WFC  209.4   90  r                                
 458588 P2004H2 r'       22:47:50.33 -11:36:31.3 2000.00  01:40 2.318  WFC  209.4   90  r                                
 458589 P2004H2 r'       22:47:51.02 -11:36:31.4 2000.00  01:44 2.253  WFC  209.9   90  r                                
 458590 P2004H2 r'       22:47:49.65 -11:36:20.9 2000.00  01:48 2.192  WFC  209.5   90  r                                
 458591 P2004H2 r'       22:47:49.65 -11:36:21.3 2000.00  01:54 2.112  WFC  210.0   90  r                                
 458592 P2004H2 r'       22:47:50.33 -11:36:41.5 2000.00  01:59 2.061  WFC  210.0   90  r                                
 458593 P2004H2 i'       22:47:50.34 -11:36:41.3 2000.00  02:03 2.009  WFC  210.0   90  i                                
 458594 P2004H2 V        22:47:50.34 -11:36:41.2 2000.00  02:08 1.961  WFC  210.0   90  V                                
 458595 40P r'           21:01:30.64 -14:57:46.0 2000.00  02:18 1.451  WFC   85.0   90  r                                
 458596 40P r'           21:01:30.44 -14:57:34.0 2000.00  02:20 1.446  WFC   85.0   90  r                                
 458597 40P r'           21:01:31.81 -14:57:46.5 2000.00  02:22 1.442  WFC   85.0   90  r                                
 458598 40P i'           21:01:31.82 -14:57:46.2 2000.00  02:25 1.437  WFC   85.0   90  i                                
 458599 40P V            21:01:31.82 -14:57:46.2 2000.00  02:27 1.432  WFC   85.1   90  V                                
 458600 40P r'           21:01:32.03 -14:57:31.3 2000.00  02:30 1.427  WFC   85.0   90  r                                
 458601 P2004H2 r'       22:47:49.51 -11:36:21.4 2000.00  02:35 1.729  WFC  210.0   90  r                                
 458602 P2004H2 r'       22:47:50.20 -11:36:41.0 2000.00  02:40 1.701  WFC  209.4   90  r                                
 458603 P2004H2 r'       22:47:50.88 -11:36:24.1 2000.00  02:44 1.674  WFC  210.0   90  r                                
 458604 P2004H2 r'       22:47:49.52 -11:36:29.8 2000.00  02:48 1.648  WFC  209.9   90  r                                
 458605 P2004H2 r'       22:47:49.52 -11:36:23.2 2000.00  02:55 1.611  WFC  209.9   90  r                                
 458606 P2004H2 r'       22:47:50.20 -11:36:39.2 2000.00  02:59 1.589  WFC  209.9   90  r                                
 458607 40P r'           21:01:30.63 -14:57:31.4 2000.00  03:06 1.387  WFC   85.0   90  r                                
 458608 40P r'           21:01:30.44 -14:58:01.4 2000.00  03:08 1.386  WFC   85.0   90  r                                
 458609 40P r'           21:01:31.54 -14:57:45.9 2000.00  03:10 1.385  WFC   85.0   90  r                                
 458610 40P r'           21:01:32.16 -14:57:33.0 2000.00  03:12 1.384  WFC   85.0   90  r                                
 458611 P2004H2 r'       22:47:49.65 -11:36:23.2 2000.00  03:17 1.505  WFC  209.9   90  r                                
 458612 P2004H2 r'       22:47:50.34 -11:36:39.4 2000.00  03:22 1.489  WFC  210.0   90  r                                 about 1 hr to DEEP IMPACT!
 458613 Bias              0:00:00.00 +00:00:00.0 2000.00  03:59 4.305  WFC    0.0   90  r                                
 458614 Bias              0:00:00.00 +00:00:00.0 2000.00  04:00 4.305  WFC    0.0   90  r                                
 458615 Bias              0:00:00.00 +00:00:00.0 2000.00  04:00 4.305  WFC    0.0   90  r                                
 458616 Bias              0:00:00.00 +00:00:00.0 2000.00  04:01 4.305  WFC    0.0   90  r                                
 458617 Bias              0:00:00.00 +00:00:00.0 2000.00  04:01 4.305  WFC    0.0   90  r                                
