INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 09 05:30

TELESCOPE             INT
DATE                  20050808
OBSERVER/S            JBA 
PROGRAMME             C122
PROPOSAL REF          service
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:05
EVENING TWILIGHT (UT) 21:24
MORNING TWILIGHT (UT) 05:11
SUNRISE (UT)          06:30
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       07:47
TWILIGHT TIME (HRS)   02:38
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:08

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  17.2    5    18.3  20.3  243   772.5   17.2  19.4    20.5    5     1 
22:00  16.2    7    20.0  21.0  252   772.7   16.2  18.0    20.3    7     3 
23:00  16.5    6    18.5  19.9  253   773.2   16.5  17.8    20.0    6     1 
00:00  16.0    7    19.5  20.1  276   773.1   16.0  17.2    19.1    7     3 
01:00  16.1    6    16.9  17.4  261   772.9   16.1  17.4    19.3    6     3 
02:00  15.6    9    12.8  13.3  256   772.7   15.6  16.9    19.3    9     5 
03:00  15.6    9    10.0  11.4  256   772.6   15.6  16.9    19.1    9     5 
04:00  15.8    9    11.7  13.9  259   772.2   15.8  16.7    18.3    9     5 
05:00  15.4    9    15.5  17.1  252   772.0   15.4  16.4    17.9    9     5 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
OK

COMMENTS (causes of time lost, setup information eg CCD windows):
No problems



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466232 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:48 1.087  WFC   80.0  180  r                                
 466233 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:50 1.088  WFC   80.0  180  r                                
 466234 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:52 1.090  WFC   80.1  180  r                                
 466235 KEPLER           19:41:59.99 +48:00:00.0 2000.00  00:54 1.092  WFC   80.0  180  r                                
 466236 KEPLER           19:42:00.00 +47:59:59.9 2000.00  00:56 1.094  WFC   80.0  180  r                                
 466237 KEPLER           19:41:59.99 +47:59:59.9 2000.00  00:58 1.096  WFC   80.0  180  r                                
 466238 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:00 1.098  WFC   80.0  180  r                                
 466239 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:02 1.100  WFC   80.1  180  r                                
 466240 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:04 1.102  WFC   80.0  180  r                                
 466241 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:06 1.104  WFC   80.0  180  r                                
 466242 KEPLER           19:42:00.00 +48:00:00.2 2000.00  01:08 1.106  WFC   79.5  180  r                                
 466243 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:09 1.109  WFC   79.5  180  r                                
 466244 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:11 1.111  WFC   80.0  180  r                                
 466245 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:13 1.113  WFC   80.0  180  r                                
 466246 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:15 1.116  WFC   80.1  180  r                                
 466247 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:17 1.118  WFC   80.0  180  r                                
 466248 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:19 1.121  WFC   80.0  180  r                                
 466249 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:21 1.123  WFC   80.1  180  r                                
 466250 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:23 1.126  WFC   79.5  180  r                                
 466251 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:25 1.129  WFC   80.0  180  r                                
 466252 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:27 1.132  WFC   80.0  180  r                                
 466253 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:29 1.134  WFC   80.0  180  r                                
 466254 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:31 1.137  WFC   79.5  180  r                                
 466255 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:33 1.140  WFC   80.0  180  r                                
 466256 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:35 1.143  WFC   80.0  180  r                                
 466257 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:37 1.147  WFC   80.0  180  r                                
 466258 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:39 1.150  WFC   79.5  180  r                                
 466259 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:41 1.153  WFC   80.0  180  r                                
 466260 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:43 1.156  WFC   79.5  180  r                                
 466261 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:45 1.160  WFC   80.0  180  r                                
 466262 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:47 1.163  WFC   79.5  180  r                                
 466263 KEPLER           19:41:59.99 +48:00:00.0 2000.00  01:49 1.167  WFC   80.0  180  r                                
 466264 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:51 1.170  WFC   80.1  180  r                                
 466265 KEPLER           19:42:00.00 +47:59:59.9 2000.00  01:52 1.174  WFC   79.5  180  r                                
 466266 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:54 1.178  WFC   80.0  180  r                                
 466267 KEPLER           19:41:59.99 +47:59:59.9 2000.00  01:56 1.182  WFC   80.0  180  r                                
 466268 KEPLER           19:42:00.00 +48:00:00.0 2000.00  01:58 1.186  WFC   80.1  180  r                                
 466269 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:00 1.190  WFC   80.0  180  r                                
 466270 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:02 1.194  WFC   80.0  180  r                                
 466271 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:04 1.198  WFC   80.1  180  r                                
 466272 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:06 1.202  WFC   80.0  180  r                                
 466273 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:08 1.206  WFC   80.0  180  r                                
 466274 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:10 1.211  WFC   80.0  180  r                                
 466275 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:12 1.215  WFC   79.5  180  r                                
 466276 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:14 1.220  WFC   80.0  180  r                                
 466277 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:16 1.224  WFC   80.0  180  r                                
 466278 KEPLER           19:41:59.98 +48:00:00.0 2000.00  02:18 1.229  WFC   80.0  180  r                                
 466279 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:20 1.234  WFC   80.1  180  r                                
 466280 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:22 1.239  WFC   80.0  180  r                                
 466281 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:24 1.244  WFC   80.0  180  r                                
 466282 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:26 1.249  WFC   80.0  180  r                                
 466283 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:28 1.254  WFC   80.0  180  r                                
 466284 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:30 1.259  WFC   80.0  180  r                                
 466285 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:32 1.264  WFC   80.1  180  r                                
 466286 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:33 1.270  WFC   80.0  180  r                                
 466287 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:35 1.275  WFC   79.5  180  r                                
 466288 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:37 1.281  WFC   79.5  180  r                                
 466289 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:39 1.287  WFC   80.1  180  r                                
 466290 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:41 1.293  WFC   80.1  180  r                                
 466291 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:43 1.299  WFC   80.0  180  r                                
 466292 KEPLER           19:41:59.99 +47:59:59.9 2000.00  02:45 1.305  WFC   79.5  180  r                                
 466293 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:47 1.311  WFC   80.1  180  r                                
 466294 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:49 1.317  WFC   80.0  180  r                                
 466295 KEPLER           19:41:59.99 +48:00:00.0 2000.00  02:51 1.324  WFC   80.0  180  r                                
 466296 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:53 1.330  WFC   80.0  180  r                                
 466297 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:55 1.337  WFC   80.0  180  r                                
 466298 KEPLER           19:42:00.00 +47:59:59.9 2000.00  02:57 1.343  WFC   80.0  180  r                                
 466299 KEPLER           19:42:00.00 +48:00:00.0 2000.00  02:59 1.350  WFC   80.0  180  r                                
 466300 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:01 1.357  WFC   80.0  180  r                                
 466301 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:03 1.364  WFC   80.0  180  r                                
