 501274 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  02:18 1.173  WFC 1199.5  180  stromgren v                      
 501275 HD149996         16:38:17.38 -02:26:31.7 2000.00  02:42 1.169  WFC    2.1  180  stromgren y                      
 501276 HD149996         16:38:17.39 -02:26:31.8 2000.00  02:43 1.169  WFC    3.1  180  stromgren y                      
 501277 HD149996         16:38:17.38 -02:26:31.8 2000.00  02:45 1.169  WFC    3.1  180  stromgren b                      
 501278 HD149996         16:38:17.39 -02:26:31.8 2000.00  02:47 1.169  WFC    6.1  180  stromgren v                      
 501279 HD149996         16:38:17.39 -02:26:31.8 2000.00  02:48 1.169  WFC    3.1  180  stromgren v                      
 501280 HD149996         16:38:17.38 -02:26:31.7 2000.00  02:49 1.169  WFC   15.1  180  stromgren u                      
 501281 HD149996         16:38:17.38 -02:26:31.7 2000.00  02:51 1.169  WFC   15.1  180  stromgren u                      
 501282 HD138648         15:33:56.80 -17:00:08.2 2000.00  02:54 1.520  WFC    2.1  180  stromgren y                      
 501283 HD138648         15:33:56.80 -17:00:08.1 2000.00  02:55 1.524  WFC    2.1  180  stromgren y                      
 501284 HD138648         15:33:56.79 -17:00:08.1 2000.00  02:57 1.529  WFC    2.6  180  stromgren y                      
 501285 HD138648         15:33:56.80 -17:00:08.1 2000.00  02:58 1.533  WFC    3.1  180  stromgren b                      
 501286 HD138648         15:33:56.80 -17:00:08.1 2000.00  03:00 1.538  WFC    4.1  180  stromgren b                      
 501287 HD138648         15:33:56.80 -17:00:08.2 2000.00  03:01 1.542  WFC    8.1  180  stromgren v                      
 501288 HD138648         15:33:56.79 -17:00:08.1 2000.00  03:03 1.547  WFC   24.6  180  stromgren u                      
 501289 DRACOA1          17:25:39.99 +58:10:00.1 2000.00  03:07 1.149  WFC 1199.5  180  stromgren u                      
 501291 G166-045         14:49:01.99 +25:42:09.0 2000.00  03:32 1.212  WFC    4.1  180  stromgren y                      
 501292 G166-045         14:49:02.00 +25:42:08.9 2000.00  03:34 1.218  WFC    4.5  180  stromgren y                      
 501293 G166-045         14:49:01.99 +25:42:09.0 2000.00  03:36 1.225  WFC    6.1  180  stromgren b                      
 501294 G166-045         14:49:01.99 +25:42:08.9 2000.00  03:37 1.230  WFC   10.1  180  stromgren v                      
 501295 G166-045         14:49:01.99 +25:42:09.0 2000.00  03:39 1.235  WFC   25.1  180  stromgren u                      
 501296 Focus run        17:44:15.79 -00:02:15.9 2000.00  03:47 1.141  WFC   10.1  180  stromgren y                      
 501298 HD142575         15:55:02.84 +05:04:12.1 2000.00  03:52 1.222  WFC    2.1  180  stromgren y                      
 501299 HD142575         15:55:02.84 +05:04:12.1 2000.00  03:54 1.227  WFC    1.6  180  stromgren y                      
 501300 HD142575         15:55:02.84 +05:04:12.1 2000.00  03:56 1.230  WFC    2.5  180  stromgren b                      
 501301 HD142575         15:55:02.84 +05:04:12.1 2000.00  03:57 1.234  WFC    5.1  180  stromgren v                      
 501302 HD142575         15:55:02.84 +05:04:12.0 2000.00  03:58 1.238  WFC   20.1  180  stromgren u                      
 501303 DRACOA1          17:25:39.99 +58:09:59.9 2000.00  04:02 1.156  WFC 1199.4  180  stromgren y                      
 501304 DRACOA1          17:25:40.00 +58:10:00.0 2000.00  04:24 1.169  WFC 1199.4  180  stromgren b                      
 501305 HD175179         18:54:23.20 -04:36:18.6 2000.00  04:48 1.199  WFC    4.1  180  stromgren y                      
 501306 HD175179         18:54:23.19 -04:36:18.6 2000.00  04:49 1.199  WFC    2.1  180  stromgren y                      
 501307 HD175179         18:54:23.20 -04:36:18.5 2000.00  04:50 1.198  WFC    1.0  180  stromgren y                      
 501308 HD175179         18:54:23.19 -04:36:18.6 2000.00  04:51 1.198  WFC    2.1  180  stromgren b                      
 501309 HD175179         18:54:23.20 -04:36:18.6 2000.00  04:53 1.198  WFC    4.1  180  stromgren v                      
 501310 HD175179         18:54:23.20 -04:36:18.5 2000.00  04:54 1.198  WFC    6.1  180  stromgren v                      
 501311 HD175179         18:54:23.20 -04:36:18.6 2000.00  04:55 1.197  WFC   25.1  180  stromgren u                      
 501312 G166-045         14:49:02.00 +25:42:09.1 2000.00  04:58 1.664  WFC    4.0  180  stromgren y                      
 501313 G166-045         14:49:02.00 +25:42:08.9 2000.00  04:59 1.676  WFC    4.1  180  stromgren b                      
 501314 G166-045         14:49:01.99 +25:42:09.0 2000.00  05:01 1.686  WFC    7.1  180  stromgren v                      
 501315 G166-045         14:49:01.99 +25:42:09.0 2000.00  05:02 1.699  WFC   12.1  180  stromgren v                      
 501316 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:04 1.717  WFC   25.1  180  stromgren u                      
 501317 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:06 1.732  WFC    5.1  180  stromgren y                      
 501318 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:08 1.754  WFC    6.1  180  stromgren b                      
 501319 G166-045         14:49:01.99 +25:42:08.9 2000.00  05:10 1.768  WFC   15.1  180  stromgren v                      
 501320 G166-045         14:49:01.99 +25:42:09.0 2000.00  05:11 1.782  WFC   30.1  180  stromgren u                      
 501322 G166-045         14:49:02.00 +25:42:09.0 2000.00  05:13 1.805  WFC   59.6  180  stromgren u                      
 501323 HD158226         17:26:43.19 +31:04:37.8 2000.00  05:16 1.080  WFC    1.6  180  stromgren y                      
 501324 HD158226         17:26:43.19 +31:04:37.9 2000.00  05:17 1.081  WFC    1.0  180  stromgren y                      
 501325 HD158226         17:26:43.19 +31:04:37.8 2000.00  05:19 1.084  WFC    2.1  180  stromgren b                      
 501326 HD158226         17:26:43.19 +31:04:37.9 2000.00  05:20 1.086  WFC    1.0  180  stromgren b                      
 501327 HD158226         17:26:43.20 +31:04:37.8 2000.00  05:21 1.087  WFC    3.1  180  stromgren v                      
 501328 HD158226         17:26:43.19 +31:04:37.9 2000.00  05:22 1.090  WFC   12.1  180  stromgren u                      
 501329 Flat field       19:21:29.00 +12:27:49.0 2000.00  05:49 1.046  WFC  100.0  180  stromgren b                      
 501330 Flat field       19:21:28.99 +12:27:48.9 2000.00  05:52 1.047  WFC   79.5  180  stromgren b                      
 501331 Flat field       19:21:29.34 +12:27:54.1 2000.00  05:55 1.048  WFC   60.1  180  stromgren b                      
 501332 Flat field       19:21:29.68 +12:27:58.9 2000.00  05:57 1.049  WFC   35.1  180  stromgren b                      
 501333 Flat field       19:21:30.02 +12:28:04.1 2000.00  05:58 1.049  WFC   20.1  180  stromgren b                      
 501334 Flat field       19:21:30.02 +12:28:03.9 2000.00  06:00 1.050  WFC   25.1  180  stromgren v                      
 501335 Flat field       19:21:29.34 +12:27:54.0 2000.00  06:01 1.051  WFC   20.1  180  stromgren v                      
 501336 Flat field       19:21:29.68 +12:27:59.0 2000.00  06:02 1.052  WFC   14.1  180  stromgren v                      
 501337 Flat field       19:21:29.68 +12:27:59.0 2000.00  06:04 1.052  WFC   12.1  180  stromgren y                      
 501338 Flat field       19:21:29.33 +12:27:54.1 2000.00  06:05 1.053  WFC    7.1  180  stromgren y                      
 501339 Flat field       19:21:29.68 +12:27:58.9 2000.00  06:06 1.054  WFC    5.1  180  stromgren y                      
 501340 Flat field       19:21:29.68 +12:27:58.9 2000.00  06:07 1.055  WFC    8.1  180  stromgren u                      
 501341 Flat field       19:21:29.34 +12:27:54.0 2000.00  06:08 1.055  WFC    7.1  180  stromgren u                      
 501342 Flat field       19:21:29.68 +12:27:59.0 2000.00  06:09 1.056  WFC    6.1  180  stromgren u                      
 501343 Flat field       19:21:30.02 +12:28:03.9 2000.00  06:10 1.057  WFC    5.1  180  stromgren u                      
 501344 Bias             19:21:30.02 +12:28:04.0 2000.00  06:11 1.058  WFC    0.0  180  stromgren u                      
 501345 Bias             19:21:30.02 +12:28:03.9 2000.00  06:12 1.058  WFC    0.0  180  stromgren u                      
 501346 Bias             19:21:30.02 +12:28:03.9 2000.00  06:13 1.059  WFC    0.0  180  stromgren u                      
 501347 Bias             19:21:30.02 +12:28:03.9 2000.00  06:13 1.059  WFC    0.0  180  stromgren u                      
 501348 Bias             19:21:30.02 +12:28:04.0 2000.00  06:14 1.060  WFC    0.0  180  stromgren u                      
 501349 Bias             19:21:30.02 +12:28:03.9 2000.00  06:14 1.060  WFC    0.0  180  stromgren u                      
 501350 Bias             19:21:30.02 +12:28:04.0 2000.00  06:15 1.061  WFC    0.0  180  stromgren u                      
 501351 Bias             19:21:30.02 +12:28:04.0 2000.00  06:16 1.061  WFC    0.0  180  stromgren u                      
