 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 663506 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663507 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663508 CuAr Arc          0:00:00.00 +00:00:00.0  2009.22 19:25 1.002  IDS    1.0   30  Clear+Clear   1.5  66.7 5808.7   
 663509 CuAr Arc          0:00:00.00 +00:00:00.0  2009.22 19:26 1.002  IDS   10.0   30  Clear+Clear   1.5  66.7 5808.7   
 663510 CuNe Arc          0:00:00.00 +00:00:00.0  2009.22 19:26 1.002  IDS    1.0   30  Clear+Clear   1.5  66.7 5808.7   
 663511 CuNe Arc          0:00:00.00 +00:00:00.0  2009.22 19:26 1.002  IDS    0.3   30  Clear+Clear   1.5  66.7 5808.7   
 663512 CuAr+CuNe Arc     0:00:00.00 +00:00:00.0  2009.22 19:26 1.002  IDS    1.0   30  Clear+Clear   1.5  66.7 5808.7   
 663513 CuAr+CuNe Arc     0:00:00.00 +00:00:00.0  2009.22 19:26 1.002  IDS    0.3   30  Clear+Clear   1.5  66.7 5808.7   
 663514 Sky Flat          6:04:02.70 -00:13:24.9  2000.00 20:01 1.160  IDS   60.0    0  Clear+Clear   1.5  66.7 5808.7   
 663515 Sky Flat          6:04:02.70 -00:13:24.9  2000.00 20:03 1.164  IDS  240.0    0  Clear+Clear   1.5  66.7 5808.7   
 663516 Sky Flat          6:04:02.70 -00:13:24.9  2000.00 20:09 1.170  IDS  240.0    0  Clear+Clear   1.5  66.7 5808.7   
 663517 SP0644+375        6:44:13.73 +37:34:09.0  1950.00 20:23 1.014  IDS  180.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663518 SP0644+375 slit5  6:44:13.73 +37:34:09.0  1950.00 20:29 1.016  IDS  180.0   -0  Clear+Clear   5.0  66.7 5808.7   
 663519  SDSSJ0746+3352   7:46:24.36 +33:52:14.7  2000.00 20:38 1.005  IDS 1800.0   -0  Clear+Clear   1.5  66.7 5808.7   Seeing reported around 1.2". No cloud
 663520 SDSSJ0855+4904    8:55:43.25 +49:04:45.2  2000.00 21:13 1.082  IDS 1100.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663521 SDSSJ0857+0735    8:57:10.61 +07:35:26.2  2000.00 21:38 1.078  IDS 1600.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663522 SDSSJ0914+5106    9:14:59.30 +51:06:45.3  2000.00 22:09 1.082  IDS 1500.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663523 SDSSJ0920+1354    9:20:56.86 +13:54:53.7  2000.00 22:47 1.038  IDS 1100.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663524 SDSSJ0936+4340    9:36:34.19 +43:40:10.0  2000.00 23:11 1.039  IDS 1100.0   -0  Clear+Clear   1.5  66.7 5808.7   Seeing worsening, now >1.5"
 663525 SDSSJ1004+4014   10:04:33.64 +40:14:29.9  2000.00 23:35 1.023  IDS  900.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663526 SDSSJ0126+1948   10:26:07.58 +19:48:08.0  2000.00 23:57 1.019  IDS 1600.0   -0  Clear+Clear   1.5  66.7 5808.7   Lost guiding during this one. Also, humidity is slowly creeping up - 63% now
 663527 SDSSJ1113+6002   11:13:48.38 +60:02:29.1  2000.00 00:29 1.169  IDS 1000.0   -0  Clear+Clear   1.5  66.7 5808.7   Humidity went over 90% just towards the end of this exposure. Closed.
 663528 CuAr Arc          0:00:00.00 +00:00:00.0  2000.00 00:50 1.000  IDS    1.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663529 CuAr Arc          0:00:00.00 +00:00:00.0  2000.00 00:50 1.000  IDS   10.0   -0  Clear+Clear   1.5  66.7 5808.7   
 663530 CuNe Arc          0:00:00.00 +00:00:00.0  2000.00 00:51 1.000  IDS    0.3   -0  Clear+Clear   1.5  66.7 5808.7   
 663531 CuAr+CuNe Arc     0:00:00.00 +00:00:00.0  2000.00 00:51 1.000  IDS    1.0   -0  Clear+Clear   1.5  66.7 5808.7   
