 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771634 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:56 1.023  WFC   10.1  180  i                                
 771635 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:57 1.023  WFC   10.1  180  i                                
 771636 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:57 1.023  WFC   10.1  180  i                                
 771637 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:57 1.022  WFC   10.1  180  i                                
 771638 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:57 1.022  WFC   10.1  180  i                                
 771639 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:58 1.022  WFC   10.1  180  i                                
 771640 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:58 1.022  WFC   10.1  180  i                                
 771641 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:58 1.021  WFC   10.1  180  i                                
 771642 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:59 1.021  WFC   10.1  180  i                                
 771643 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:59 1.021  WFC    9.5  180  i                                
 771644 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:59 1.021  WFC   10.1  180  i                                
 771645 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:59 1.021  WFC   10.1  180  i                                
 771646 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:00 1.020  WFC   10.1  180  i                                
 771647 WASP12b science   6:30:38.99 +29:39:58.1  2000.00 01:00 1.020  WFC   10.1  180  i                                
 771648 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:00 1.020  WFC   10.1  180  i                                
 771649 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:01 1.020  WFC    9.6  180  i                                
 771650 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:01 1.019  WFC   10.1  180  i                                
 771651 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:01 1.019  WFC   10.1  180  i                                
 771652 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:02 1.019  WFC   10.0  180  i                                
 771653 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:02 1.019  WFC   10.1  180  i                                
 771654 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:02 1.019  WFC   10.1  180  i                                
 771655 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:02 1.018  WFC   10.1  180  i                                
 771656 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:03 1.018  WFC   10.1  180  i                                
 771658 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:08 1.014  WFC   10.1  180  i                                
 771659 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:09 1.014  WFC   10.1  180  i                                
 771660 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:09 1.014  WFC   10.1  180  i                                
 771661 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:09 1.014  WFC   10.1  180  i                                
 771662 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:10 1.013  WFC   10.1  180  i                                
 771663 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:10 1.013  WFC   10.1  180  i                                
 771664 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:10 1.013  WFC   10.1  180  i                                
 771665 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:10 1.013  WFC   10.1  180  i                                
 771666 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:11 1.013  WFC   10.1  180  i                                
 771667 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:11 1.013  WFC    9.6  180  i                                
 771668 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 01:11 1.012  WFC    9.5  180  i                                
 771669 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:12 1.012  WFC   10.1  180  i                                
 771670 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:12 1.012  WFC   10.1  180  i                                
 771671 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:12 1.012  WFC   10.1  180  i                                
 771672 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:12 1.012  WFC   10.0  180  i                                
 771673 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:13 1.011  WFC   10.1  180  i                                
 771674 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:13 1.011  WFC   10.1  180  i                                
 771675 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:13 1.011  WFC   10.1  180  i                                
 771676 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 01:14 1.011  WFC   10.1  180  i                                
 771677 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 01:14 1.011  WFC   10.1  180  i                                
 771678 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 01:14 1.011  WFC   10.1  180  i                                
