INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 16 07:14

TELESCOPE             INT
DATE                  20060715
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:52
SUNRISE (UT)          06:16
%ILLUM. LUNAR DISK    70
DARK TIME (HRS)       07:08
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         23:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly humid but good seeing

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515345 3CVs             20:15:25.00 +37:05:59.9 2000.00  03:08 1.054  WFC  200.0  180  r                                
 515346 3CVs             20:15:25.00 +37:05:59.9 2000.00  03:12 1.058  WFC  200.0  180  r                                
 515347 3CVs             20:15:24.99 +37:06:00.0 2000.00  03:16 1.063  WFC  200.0  180  r                                
 515348 3CVs             20:15:25.00 +37:05:59.9 2000.00  03:20 1.068  WFC  199.5  180  r                                
 515349 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:24 1.074  WFC  199.4  180  r                                
 515350 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:28 1.079  WFC  199.4  180  r                                
 515351 3CVs             20:15:25.00 +37:06:00.0 2000.00  03:32 1.085  WFC  199.9  180  r                                
 515352 3CVs             20:15:24.99 +37:06:00.0 2000.00  03:36 1.091  WFC  199.5  180  r                                
 515353 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:39 1.098  WFC  199.4  180  r                                
 515354 3CVs             20:15:24.99 +37:06:00.0 2000.00  03:43 1.105  WFC  200.0  180  r                                
 515355 3CVs             20:15:24.99 +37:06:00.0 2000.00  03:48 1.112  WFC  200.0  180  r                                
 515356 3CVs             20:15:24.99 +37:05:59.9 2000.00  03:52 1.120  WFC  200.0  180  r                                
 515357 3CVs             20:15:24.99 +37:06:00.0 2000.00  03:56 1.128  WFC  200.0  180  r                                
 515358 3CVs             20:15:25.00 +37:05:59.9 2000.00  03:59 1.136  WFC  200.0  180  r                                
 515359 3CVs             20:15:25.00 +37:06:00.0 2000.00  04:03 1.144  WFC  200.0  180  r                                
 515360 3CVs             20:15:25.00 +37:05:59.9 2000.00  04:07 1.153  WFC  200.0  180  r                                
 515361 3CVs             20:15:25.00 +37:06:00.0 2000.00  04:11 1.163  WFC  199.4  180  r                                
 515362 3CVs             20:15:25.00 +37:05:59.9 2000.00  04:15 1.172  WFC  200.0  180  r                                
 515363 3CVs             20:15:25.00 +37:05:59.9 2000.00  04:19 1.182  WFC  200.0  180  r                                
 515364 3CVs             20:15:24.99 +37:05:59.9 2000.00  04:23 1.193  WFC  199.9  180  r                                
 515365 3CVs             20:15:24.99 +37:05:59.9 2000.00  04:27 1.204  WFC  200.0  180  r                                
 515366 3CVs             20:15:25.00 +37:06:00.0 2000.00  04:31 1.215  WFC  199.4  180  r                                
 515367 3CVs             20:15:24.99 +37:06:00.0 2000.00  04:35 1.227  WFC  200.0  180  r                                
 515368 3CVs             20:15:25.00 +37:05:59.9 2000.00  04:39 1.239  WFC  200.0  180  r                                
 515369 3CVs             20:15:24.99 +37:05:59.9 2000.00  04:43 1.252  WFC  200.0  180  r                                
 515370 3CVs             20:15:24.99 +37:06:00.0 2000.00  04:47 1.265  WFC  199.9  180  r                                
 515371 3CVs             20:15:24.99 +37:06:00.0 2000.00  04:51 1.278  WFC  200.0  180  r                                
 515372 3CVs             20:15:24.99 +37:06:00.0 2000.00  04:55 1.293  WFC  200.0  180  r                                
 515373 3CVs             20:15:24.99 +37:05:59.9 2000.00  04:59 1.308  WFC  200.0  180  r                                
 515374 3CVs             20:15:24.99 +37:05:59.9 2000.00  05:03 1.323  WFC  199.9  180  r                                
 515375 3CVs             20:15:25.00 +37:06:00.1 2000.00  05:07 1.343  WFC  299.9  180  r                                
 515376 3CVs             20:15:25.00 +37:06:00.0 2000.00  05:12 1.368  WFC  299.9  180  r                                
 515377 3CVs             20:15:24.99 +37:05:59.9 2000.00  05:18 1.393  WFC  299.4  180  r                                
 515378 3CVs             20:15:24.99 +37:05:59.9 2000.00  05:24 1.420  WFC  299.9  180  r                                
 515380 QXCas            23:59:10.00 +61:12:00.0 2000.00  05:32 1.185  WFC   10.1  180  stromgren y                      
 515381 QXCas            23:59:09.99 +61:11:59.9 2000.00  05:32 1.185  WFC   10.1  180  stromgren y                      
 515382 QXCas            23:59:09.99 +61:11:59.9 2000.00  05:33 1.185  WFC   10.1  180  stromgren y                      
 515383 QXCas            23:59:10.00 +61:11:59.9 2000.00  05:34 1.185  WFC   10.1  180  stromgren y                      
 515384 QXCas            23:59:10.00 +61:11:59.9 2000.00  05:35 1.185  WFC   10.1  180  stromgren y                      
 515385 QXCas            23:59:09.99 +61:11:59.9 2000.00  05:36 1.185  WFC    9.6  180  stromgren y                      
 515386 QXCas            23:59:09.99 +61:11:59.9 2000.00  05:36 1.185  WFC   10.1  180  stromgren y                      
 515387 QXCas            23:59:09.99 +61:11:59.9 2000.00  05:37 1.185  WFC   10.1  180  stromgren y                      
 515388 QXCas            23:59:10.00 +61:11:59.9 2000.00  05:38 1.185  WFC    9.6  180  stromgren y                      
 515389 QXCas            23:59:10.00 +61:11:59.9 2000.00  05:39 1.185  WFC    9.6  180  stromgren y                      
 515390 QXCas            23:59:10.00 +61:12:00.0 2000.00  05:40 1.185  WFC   10.1  180  stromgren y                      
 515391 QXCas            23:59:09.99 +61:12:00.0 2000.00  05:40 1.185  WFC   10.1  180  stromgren y                      
 515392 QXCas            23:59:09.99 +61:12:00.0 2000.00  05:41 1.185  WFC   10.1  180  stromgren y                      
 515393 QXCas            23:59:10.00 +61:12:00.0 2000.00  05:42 1.185  WFC    9.5  180  stromgren y                      
 515394 QXCas            23:59:10.00 +61:11:59.9 2000.00  05:43 1.185  WFC   10.1  180  stromgren y                      
