 502685 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:31 1.636  WFC   40.1  180  Unknown                          
 502686 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:33 1.646  WFC   40.1  180  Unknown                          
 502687 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:34 1.656  WFC   40.1  180  Unknown                          
 502688 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:35 1.667  WFC   40.1  180  Unknown                          
 502689 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:37 1.678  WFC   40.1  180  Unknown                          
 502690 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:38 1.689  WFC   39.6  180  Unknown                          
 502691 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:39 1.700  WFC   40.1  180  Unknown                          
 502692 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:40 1.711  WFC   40.1  180  Unknown                          
 502693 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:42 1.723  WFC   40.1  180  Unknown                          
 502694 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:43 1.735  WFC   40.1  180  Unknown                          
 502696 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:46 1.767  WFC   39.6  180  Unknown                          
 502697 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:48 1.780  WFC   40.1  180  Unknown                          
 502698 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:49 1.793  WFC   40.1  180  Unknown                          
 502699 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:50 1.806  WFC   40.1  180  Unknown                          
 502700 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  23:52 1.819  WFC   40.0  180  Unknown                          
 502701 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:53 1.833  WFC   40.1  180  Unknown                          
 502702 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:54 1.846  WFC   40.0  180  Unknown                          
 502703 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:55 1.860  WFC   40.1  180  Unknown                          
 502704 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  23:57 1.875  WFC   40.1  180  Unknown                          
 502705 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  23:58 1.889  WFC   40.1  180  Unknown                          
 502706 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  23:59 1.904  WFC   40.1  180  Unknown                          
 502707 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:01 1.920  WFC   40.1  180  Unknown                          
 502708 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  00:02 1.935  WFC   40.1  180  Unknown                          
 502709 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:03 1.951  WFC   40.1  180  Unknown                          
 502710 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  00:04 1.967  WFC   40.1  180  Unknown                          
 502711 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:06 1.983  WFC   40.1  180  Unknown                          
 502712 sdss1031 40 c    10:31:57.00 +08:49:49.8 2006.00  00:07 2.000  WFC   40.1  180  Unknown                          
 502713 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:08 2.017  WFC   40.0  180  Unknown                          
 502714 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  00:10 2.035  WFC   40.1  180  Unknown                          
 502715 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:11 2.053  WFC   40.1  180  Unknown                          
 502716 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  00:12 2.071  WFC   40.1  180  Unknown                          
 502717 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:13 2.089  WFC   40.1  180  Unknown                          
 502718 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  00:15 2.108  WFC   40.1  180  Unknown                          
 502719 sdss1031 40 c    10:31:57.00 +08:49:50.1 2006.00  00:16 2.127  WFC   39.5  180  Unknown                          
 502720 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  00:17 2.147  WFC   40.1  180  Unknown                          
 502721 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:19 2.167  WFC   40.1  180  Unknown                          
 502722 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  00:20 2.188  WFC   40.1  180  Unknown                          
 502723 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:21 2.209  WFC   40.1  180  Unknown                          
 502724 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  00:22 2.231  WFC   40.1  180  Unknown                          
 502725 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:24 2.253  WFC   40.1  180  Unknown                          
 502726 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  00:25 2.275  WFC   40.1  180  Unknown                          
 502727 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:26 2.298  WFC   40.1  180  Unknown                          
 502728 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:28 2.322  WFC   39.6  180  Unknown                          
 502729 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:29 2.346  WFC   40.1  180  Unknown                          
 502730 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  00:30 2.371  WFC   40.0  180  Unknown                          
 502731 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  00:31 2.396  WFC   40.1  180  Unknown                          
 502732 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  00:33 2.422  WFC   40.1  180  Unknown                          
 502734 sdss1613-0003 50 16:13:41.00 +00:03:53.0 2006.00  00:41 1.187  WFC   50.1  180  i                                
 502735 sdss1613-0003 50 16:13:40.99 +00:03:52.8 2006.00  00:45 1.182  WFC   50.0  180  i                                
 502736 sdss1613-0003 60 16:13:51.00 +00:04:28.0 2006.00  00:50 1.175  WFC   60.0  180  i                                
 502737 sdss1613-0003 60 16:13:32.55 -00:03:30.8 2000.00  00:55 1.170  WFC   60.1  180  i                                
 502738 sdss1613-0003 60 16:13:41.00 +00:03:52.9 2006.00  01:02 1.161  WFC   59.6  180  i                                
 502739 sdss1613-0003 60 16:13:40.99 +00:03:52.9 2006.00  01:03 1.160  WFC   60.1  180  i                                
 502740 sdss1613-0003 60 16:13:40.99 +00:03:52.9 2006.00  01:05 1.158  WFC   60.1  180  i                                
 502741 sdss1613-0003 60 16:13:40.99 +00:03:53.0 2006.00  01:06 1.157  WFC   59.5  180  i                                
 502743 sdss1613-0003 60 16:13:50.99 -00:04:28.0 2006.00  01:10 1.155  WFC   60.1  180  i                                
 502744 sdss1613-0003 50 16:13:51.00 +00:04:27.9 2006.00  01:16 1.149  WFC   50.1  180  i                                
 502745 sdss1626+3328 40 16:57:03.99 +21:20:28.9 2006.00  01:23 1.044  WFC   40.1  180  Unknown                          
 502746 sdss1613 40 c    16:13:40.99 +00:03:52.9 2006.00  01:33 1.141  WFC   40.1  180  Unknown                          
 502747 sdss1626+3328 45 16:57:03.99 +21:20:28.9 2006.00  01:40 1.028  WFC   45.1  180  Unknown                          
 502748 sdss1626+3328 45 16:57:04.00 +21:20:29.1 2006.00  01:42 1.027  WFC   45.1  180  Unknown                          
 502749 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  01:43 1.026  WFC   44.5  180  Unknown                          
 502750 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  01:44 1.025  WFC   45.1  180  Unknown                          
 502751 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  01:46 1.024  WFC   45.1  180  Unknown                          
 502752 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  01:47 1.023  WFC   44.5  180  Unknown                          
 502753 sdss1626+3328 45 16:57:04.00 +21:20:28.9 2006.00  01:48 1.022  WFC   45.1  180  Unknown                          
 502754 sdss1626+3328 45 16:57:04.00 +21:20:28.9 2006.00  01:50 1.021  WFC   45.1  180  Unknown                          
 502755 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  01:51 1.020  WFC   45.1  180  Unknown                          
 502756 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  01:53 1.019  WFC   45.1  180  Unknown                          
 502757 sdss1626+3328 45 16:57:03.99 +21:20:28.9 2006.00  01:54 1.018  WFC   45.1  180  Unknown                          
 502758 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  01:55 1.018  WFC   45.0  180  Unknown                          
 502759 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  01:57 1.017  WFC   45.1  180  Unknown                          
 502760 sdss1626+3328 45 16:57:04.00 +21:20:28.9 2006.00  01:58 1.016  WFC   45.1  180  Unknown                          
 502761 sdss1626+3328 45 16:57:04.00 +21:20:28.9 2006.00  01:59 1.016  WFC   44.6  180  Unknown                          
 502762 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  02:01 1.015  WFC   45.1  180  Unknown                          
 502763 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  02:02 1.014  WFC   45.1  180  Unknown                          
 502764 sdss1626+3328 45 16:57:04.00 +21:20:29.1 2006.00  02:03 1.014  WFC   45.1  180  Unknown                          
 502765 sdss1626+3328 45 16:57:03.99 +21:20:28.9 2006.00  02:05 1.013  WFC   45.1  180  Unknown                          
 502766 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  02:06 1.013  WFC   45.1  180  Unknown                          
 502767 sdss1626+3328 45 16:57:03.99 +21:20:28.9 2006.00  02:08 1.012  WFC   45.0  180  Unknown                          
 502768 sdss1626+3328 45 16:57:04.00 +21:20:28.9 2006.00  02:09 1.012  WFC   45.1  180  Unknown                          
 502769 sdss1626+3328 45 16:57:04.00 +21:20:29.0 2006.00  02:10 1.011  WFC   45.1  180  Unknown                          
 502770 sdss1626+3328 45 16:57:03.99 +21:20:29.0 2006.00  02:12 1.011  WFC   45.1  180  Unknown                          
