 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 786848 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:45 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786849 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:45 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786850 long flat W       0:00:00.00 +00:00:00.0  2000.00 06:46 1.000  IDS    7.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786851 Bias              0:00:00.00 +00:00:00.0  2000.00 06:46 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786852 Bias              0:00:00.00 +00:00:00.0  2000.00 06:47 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786853 Bias              0:00:00.00 +00:00:00.0  2000.00 06:47 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786854 Bias              0:00:00.00 +00:00:00.0  2000.00 06:47 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786855 Bias              0:00:00.00 +00:00:00.0  2000.00 06:47 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786856 Bias              0:00:00.00 +00:00:00.0  2000.00 06:47 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786857 Bias              0:00:00.00 +00:00:00.0  2000.00 06:48 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786858 Bias              0:00:00.00 +00:00:00.0  2000.00 06:48 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786859 Bias              0:00:00.00 +00:00:00.0  2000.00 06:48 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786860 Bias              0:00:00.00 +00:00:00.0  2000.00 06:48 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786861 Bias              0:00:00.00 +00:00:00.0  2000.00 06:48 1.000  IDS    0.0   -0  Clear+Clear   1.1  65.3 5505.4   
