INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 18 07:20

TELESCOPE             INT
DATE                  20060717
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:19
EVENING TWILIGHT (UT) 21:43
MORNING TWILIGHT (UT) 04:53
SUNRISE (UT)          06:17
%ILLUM. LUNAR DISK    48
DARK TIME (HRS)       07:10
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         00:33
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
occasional cloud but otherwise dry, low wind and good seeing (1-1.5'')

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515668 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:44 1.115  WFC  120.0  180  r                                
 515669 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:46 1.110  WFC  120.0  180  r                                
 515670 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:49 1.105  WFC  120.0  180  r                                
 515671 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:52 1.101  WFC  120.0  180  r                                
 515672 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:54 1.096  WFC  120.1  180  r                                
 515673 3CVs             20:15:25.00 +37:06:00.0 2000.00  23:57 1.092  WFC  120.0  180  r                                
 515674 NGC7128 u        21:44:19.99 +53:43:59.8 2000.00  00:00 1.360  WFC   45.1  180  stromgren u                      
 515675 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:02 1.356  WFC   35.1  180  stromgren v                      
 515676 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:03 1.352  WFC   30.1  180  stromgren b                      
 515677 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:04 1.349  WFC   30.1  180  stromgren y                      
 515678 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:05 1.344  WFC   60.0  180  g                                
 515679 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:07 1.340  WFC   29.6  180  r                                
 515680 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:08 1.336  WFC   44.5  180  stromgren u                      
 515681 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:10 1.332  WFC   35.1  180  stromgren v                      
 515682 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:11 1.329  WFC   30.1  180  stromgren b                      
 515683 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:12 1.325  WFC   30.1  180  stromgren y                      
 515684 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:13 1.321  WFC   59.5  180  g                                
 515685 NGC7128 r        21:44:20.00 +53:44:00.1 2000.00  00:15 1.318  WFC   29.5  180  r                                
 515686 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:16 1.314  WFC   45.1  180  stromgren u                      
 515687 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:18 1.310  WFC   35.1  180  stromgren v                      
 515688 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:19 1.307  WFC   29.0  180  stromgren b                      
 515689 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:20 1.304  WFC   30.1  180  stromgren y                      
 515690 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:21 1.300  WFC   60.0  180  g                                
 515691 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:23 1.296  WFC   25.1  180  r                                
 515692 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  00:24 1.293  WFC   45.1  180  stromgren u                      
 515693 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:26 1.290  WFC   35.1  180  stromgren v                      
 515694 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:27 1.287  WFC   30.1  180  stromgren b                      
 515695 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:28 1.284  WFC   30.1  180  stromgren y                      
 515696 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:29 1.280  WFC   60.0  180  g                                
 515697 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:31 1.277  WFC   24.5  180  r                                
 515698 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:32 1.274  WFC   45.1  180  stromgren u                      
 515699 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:34 1.271  WFC   35.1  180  stromgren v                      
 515700 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:35 1.268  WFC   30.1  180  stromgren b                      
 515701 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:36 1.265  WFC   30.1  180  stromgren y                      
 515702 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:37 1.262  WFC   60.1  180  g                                
 515703 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:39 1.259  WFC   25.1  180  r                                
 515704 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:40 1.256  WFC   45.1  180  stromgren u                      
 515705 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:41 1.253  WFC   35.1  180  stromgren v                      
 515706 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  00:43 1.250  WFC   30.1  180  stromgren b                      
 515707 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:44 1.248  WFC   30.1  180  stromgren y                      
 515708 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:45 1.245  WFC   60.1  180  g                                
 515709 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:47 1.242  WFC   25.1  180  r                                
 515710 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  00:48 1.239  WFC   45.1  180  stromgren u                      
 515711 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:49 1.236  WFC   35.1  180  stromgren v                      
 515712 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:51 1.234  WFC   30.1  180  stromgren b                      
 515713 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:52 1.231  WFC   30.1  180  stromgren y                      
 515714 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:53 1.229  WFC   60.1  180  g                                
 515715 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:55 1.226  WFC   25.1  180  r                                
 515716 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:56 1.223  WFC   45.1  180  stromgren u                      
 515717 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:57 1.221  WFC   35.1  180  stromgren v                      
 515718 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  00:58 1.219  WFC   30.1  180  stromgren b                      
 515719 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:00 1.216  WFC   30.1  180  stromgren y                      
 515720 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:01 1.214  WFC   60.1  180  g                                
 515721 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:03 1.211  WFC   25.1  180  r                                
 515722 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:04 1.209  WFC   45.1  180  stromgren u                      
 515723 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:05 1.207  WFC   35.1  180  stromgren v                      
 515724 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:06 1.205  WFC   30.1  180  stromgren b                      
 515725 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:08 1.202  WFC   30.1  180  stromgren y                      
 515726 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:09 1.200  WFC   60.1  180  g                                
 515727 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:10 1.198  WFC   25.1  180  r                                
 515728 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:12 1.196  WFC   44.5  180  stromgren u                      
 515729 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:13 1.193  WFC   34.5  180  stromgren v                      
 515730 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:14 1.191  WFC   30.1  180  stromgren b                      
 515731 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:15 1.190  WFC   30.1  180  stromgren y                      
 515732 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:17 1.187  WFC   60.1  180  g                                
 515733 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:18 1.185  WFC   25.1  180  r                                
 515734 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:20 1.183  WFC   45.0  180  stromgren u                      
 515735 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  01:21 1.181  WFC   35.1  180  stromgren v                      
 515736 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:22 1.179  WFC   30.1  180  stromgren b                      
 515737 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:23 1.178  WFC   30.1  180  stromgren y                      
 515738 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:25 1.176  WFC   60.0  180  g                                
 515739 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:26 1.174  WFC   25.1  180  r                                
 515740 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:27 1.172  WFC   45.1  180  stromgren u                      
 515741 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:29 1.170  WFC   34.5  180  stromgren v                      
 515742 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:30 1.168  WFC   30.0  180  stromgren b                      
 515743 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:31 1.167  WFC   30.1  180  stromgren y                      
 515744 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:33 1.165  WFC   60.0  180  g                                
 515745 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:34 1.163  WFC   25.1  180  r                                
 515746 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:35 1.161  WFC   45.1  180  stromgren u                      
 515747 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  01:37 1.160  WFC   35.1  180  stromgren v                      
 515748 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:38 1.158  WFC   30.1  180  stromgren b                      
 515749 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:39 1.157  WFC   29.6  180  stromgren y                      
 515750 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:40 1.155  WFC   60.0  180  g                                
 515751 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:42 1.154  WFC   25.1  180  r                                
 515752 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:43 1.152  WFC   45.1  180  stromgren u                      
 515753 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:45 1.151  WFC   35.1  180  stromgren v                      
 515754 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:46 1.149  WFC   30.1  180  stromgren b                      
 515755 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:47 1.148  WFC   30.1  180  stromgren y                      
 515756 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:48 1.146  WFC   60.1  180  g                                
 515757 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:50 1.145  WFC   25.1  180  r                                
 515758 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:51 1.144  WFC   45.1  180  stromgren u                      
 515759 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:53 1.142  WFC   35.0  180  stromgren v                      
 515760 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:54 1.141  WFC   29.5  180  stromgren b                      
