 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 754494 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:18 1.002  WFC   84.5  180  i                                
 754495 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:20 1.002  WFC   85.0  180  i                                
 754496 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:22 1.002  WFC   85.0  180  i                                
 754497 WASP-1            0:20:40.07 +32:01:14.1  2000.00 03:24 1.002  WFC   85.0  180  i                                
 754498 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:26 1.003  WFC   85.0  180  i                                
 754499 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:28 1.003  WFC   85.0  180  i                                
 754500 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:30 1.003  WFC   84.5  180  i                                
 754501 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:31 1.004  WFC   85.0  180  i                                
 754502 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:33 1.004  WFC   85.0  180  i                                
 754503 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:35 1.005  WFC   85.0  180  i                                
 754504 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:37 1.005  WFC   85.0  180  i                                
 754505 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:39 1.006  WFC   84.5  180  i                                
 754506 WASP-1            0:20:40.07 +32:01:13.8  2000.00 03:41 1.007  WFC   85.0  180  i                                
 754507 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:43 1.008  WFC   85.0  180  i                                
 754508 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:45 1.008  WFC   84.5  180  i                                
 754509 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:47 1.009  WFC   85.0  180  i                                
 754510 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:49 1.010  WFC   85.0  180  i                                
 754511 WASP-1            0:20:40.08 +32:01:13.7  2000.00 03:51 1.011  WFC   85.0  180  i                                
 754512 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:53 1.012  WFC   85.0  180  i                                
 754513 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:55 1.013  WFC   85.0  180  i                                
 754514 WASP-1            0:20:40.07 +32:01:13.7  2000.00 03:57 1.014  WFC   85.0  180  i                                
 754515 WASP-1            0:20:40.08 +32:01:13.8  2000.00 03:59 1.016  WFC   85.0  180  i                                
 754516 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:01 1.017  WFC   85.0  180  i                                
 754517 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:03 1.018  WFC   85.0  180  i                                
 754518 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:04 1.020  WFC   85.0  180  i                                
 754519 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:06 1.021  WFC   85.0  180  i                                
 754520 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:08 1.023  WFC   85.0  180  i                                
 754521 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:10 1.024  WFC   85.0  180  i                                
 754522 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:12 1.026  WFC   85.0  180  i                                
 754523 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:14 1.027  WFC   85.0  180  i                                
 754524 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:16 1.029  WFC   85.0  180  i                                
 754525 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:18 1.031  WFC   85.0  180  i                                
 754526 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:20 1.033  WFC   84.5  180  i                                
 754527 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:22 1.035  WFC   85.0  180  i                                
 754528 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:24 1.037  WFC   85.0  180  i                                
 754529 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:26 1.039  WFC   85.0  180  i                                
 754530 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:28 1.041  WFC   85.0  180  i                                
 754531 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:30 1.043  WFC   85.0  180  i                                
 754532 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:32 1.045  WFC   85.0  180  i                                
 754533 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:33 1.048  WFC   85.0  180  i                                
 754534 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:35 1.050  WFC   85.0  180  i                                
 754535 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:37 1.052  WFC   85.0  180  i                                
 754536 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:39 1.055  WFC   85.1  180  i                                
 754537 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:41 1.058  WFC   85.0  180  i                                
 754538 WASP-1            0:20:40.08 +32:01:13.8  2000.00 04:43 1.060  WFC   85.0  180  i                                
 754539 WASP-1            0:20:40.07 +32:01:13.7  2000.00 04:45 1.063  WFC   85.0  180  i                                
 754540 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:47 1.066  WFC   85.0  180  i                                
 754541 WASP-1            0:20:40.07 +32:01:13.8  2000.00 04:49 1.069  WFC   84.5  180  i                                
 754542 WASP-1            0:20:40.08 +32:01:13.7  2000.00 04:51 1.071  WFC   85.0  180  i                                
