 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 711290 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:19 1.161  WFC   30.1  180  CLEAR                            
 711291 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:20 1.163  WFC   30.0  180  CLEAR                            
 711292 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:22 1.164  WFC   30.1  180  CLEAR                            
 711293 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:23 1.165  WFC   30.1  180  CLEAR                            
 711294 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:24 1.167  WFC   30.1  180  CLEAR                            
 711295 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:26 1.168  WFC   30.1  180  CLEAR                            
 711296 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:27 1.169  WFC   30.0  180  CLEAR                            
 711297 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:28 1.171  WFC   30.1  180  CLEAR                            
 711298 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:29 1.172  WFC   30.1  180  CLEAR                            
 711299 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:31 1.174  WFC   30.0  180  CLEAR                            
 711300 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:32 1.175  WFC   30.1  180  CLEAR                            
 711301 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:33 1.177  WFC   30.1  180  CLEAR                            
 711302 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:35 1.178  WFC   30.1  180  CLEAR                            
 711303 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:36 1.180  WFC   30.1  180  CLEAR                            
 711304 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:37 1.181  WFC   30.1  180  CLEAR                            
 711305 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:39 1.183  WFC   30.1  180  CLEAR                            
 711306 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:40 1.185  WFC   30.1  180  CLEAR                            
 711307 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:41 1.186  WFC   29.6  180  CLEAR                            
 711308 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:43 1.188  WFC   29.6  180  CLEAR                            
 711309 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:44 1.190  WFC   30.1  180  CLEAR                            
 711310 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:45 1.191  WFC   30.1  180  CLEAR                            
 711311 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:46 1.193  WFC   29.5  180  CLEAR                            
 711312 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:48 1.195  WFC   30.1  180  CLEAR                            
 711313 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:49 1.197  WFC   30.1  180  CLEAR                            
 711314 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:50 1.198  WFC   30.1  180  CLEAR                            
 711315 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:52 1.200  WFC   29.6  180  CLEAR                            
 711316 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 21:53 1.202  WFC   30.1  180  CLEAR                            
 711317 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:54 1.204  WFC   30.1  180  CLEAR                            
 711318 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 21:56 1.206  WFC   30.1  180  CLEAR                            
 711319 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 21:57 1.208  WFC   30.1  180  CLEAR                            
 711320 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 21:58 1.210  WFC   29.5  180  CLEAR                            
 711321 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:00 1.212  WFC   30.1  180  CLEAR                            
 711322 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:01 1.214  WFC   30.1  180  CLEAR                            
 711323 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:02 1.216  WFC   30.1  180  CLEAR                            
 711324 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:03 1.218  WFC   30.1  180  CLEAR                            
 711325 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:05 1.220  WFC   30.1  180  CLEAR                            
 711326 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:06 1.222  WFC   30.1  180  CLEAR                            
 711327 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:07 1.225  WFC   30.1  180  CLEAR                            
 711328 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:09 1.227  WFC   30.1  180  CLEAR                            
 711329 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 22:10 1.229  WFC   30.1  180  CLEAR                            
 711330 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:11 1.231  WFC   30.1  180  CLEAR                            
 711331 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:13 1.234  WFC   30.1  180  CLEAR                            
 711332 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:14 1.236  WFC   30.1  180  CLEAR                            
 711333 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 22:15 1.238  WFC   30.0  180  CLEAR                            
 711334 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:16 1.241  WFC   30.1  180  CLEAR                            
 711335 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:18 1.243  WFC   30.1  180  CLEAR                            
 711336 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:19 1.245  WFC   30.1  180  CLEAR                            
 711337 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:20 1.248  WFC   30.1  180  CLEAR                            
 711338 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:22 1.250  WFC   30.1  180  CLEAR                            
 711339 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:23 1.253  WFC   29.5  180  CLEAR                            
 711340 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:24 1.256  WFC   30.1  180  CLEAR                            
 711341 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:26 1.258  WFC   30.1  180  CLEAR                            
 711342 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 22:27 1.261  WFC   30.1  180  CLEAR                            
 711343 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:28 1.263  WFC   30.1  180  CLEAR                            
 711344 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:30 1.266  WFC   30.1  180  CLEAR                            
 711345 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 22:31 1.269  WFC   30.1  180  CLEAR                            
 711346 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:32 1.272  WFC   30.1  180  CLEAR                            
 711347 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:33 1.274  WFC   30.1  180  CLEAR                            
 711348 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 22:35 1.277  WFC   30.1  180  CLEAR                            
 711349 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:36 1.280  WFC   30.0  180  CLEAR                            
 711350 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:37 1.283  WFC   30.1  180  CLEAR                            
 711351 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:40 1.293  WFC  299.9  180  U                                
 711352 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:46 1.305  WFC  180.0  180  g                                
 711353 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 22:50 1.315  WFC  140.0  180  r                                
 711354 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 22:53 1.327  WFC  299.9  180  HeII4686                         
 711355 SA94_401          2:56:30.79 +00:40:07.0  2000.00 23:01 1.133  WFC   19.5  180  r                                
 711356 SA94_401          2:56:30.80 +00:40:06.9  2000.00 23:03 1.133  WFC   20.1  180  g                                
 711357 SA94_401          2:56:30.79 +00:40:07.0  2000.00 23:04 1.133  WFC   20.1  180  U                                
 711358 SA94_401          2:56:30.80 +00:40:07.0  2000.00 23:05 1.134  WFC   40.1  180  U                                
 711359 WFCBLANK3         2:58:00.00 -00:06:00.0  2000.00 23:08 1.142  WFC   30.1  180  CLEAR                            
 711360 WFCBLANK3         2:58:01.33 -00:05:40.1  2000.00 23:10 1.142  WFC   30.1  180  CLEAR                            
 711361 WFCBLANK3         2:57:58.66 -00:06:19.8  2000.00 23:11 1.143  WFC   30.1  180  CLEAR                            
 711362 SDSS0129          1:29:40.10 +38:42:10.4  2000.00 23:14 1.094  WFC  120.0  180  g                                
 711363 ESCET             2:00:52.20 -09:24:31.9  2000.00 23:19 1.359  WFC  100.0  180  g                                
 711364 CPERI             3:10:32.90 -09:45:06.0  2000.00 23:22 1.279  WFC  120.0  180  g                                
 711365 GKPER             3:31:11.79 +43:54:16.8  2000.00 23:27 1.036  WFC  300.0  180  Halpha                           
 711366 GKPER             3:31:13.65 +43:54:36.5  2000.00 23:34 1.036  WFC  299.9  180  Halpha                           
 711367 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 23:43 1.042  WFC   30.1  180  CLEAR                            
 711368 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 23:45 1.041  WFC   30.1  180  CLEAR                            
 711369 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 23:46 1.040  WFC   30.1  180  CLEAR                            
 711370 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 23:47 1.039  WFC   30.1  180  CLEAR                            
 711371 FIELD2_2          4:29:59.99 +41:59:59.6  2000.00 23:49 1.039  WFC   29.6  180  CLEAR                            
 711372 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 23:50 1.038  WFC   30.1  180  CLEAR                            
 711373 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 23:51 1.037  WFC   30.1  180  CLEAR                            
 711374 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 23:52 1.037  WFC   30.1  180  CLEAR                            
 711375 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 23:54 1.036  WFC   30.1  180  CLEAR                            
 711376 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 23:55 1.035  WFC   30.1  180  CLEAR                            
 711377 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 23:56 1.035  WFC   30.1  180  CLEAR                            
 711378 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 23:58 1.034  WFC   30.1  180  CLEAR                            
 711379 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 23:59 1.034  WFC   30.1  180  CLEAR                            
 711380 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:00 1.033  WFC   30.1  180  CLEAR                            
 711381 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:02 1.033  WFC   30.1  180  CLEAR                            
 711382 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 00:03 1.032  WFC   30.1  180  CLEAR                            
