 505283 calib8 I 3       18:43:11.60 +00:29:43.1 2000.00  04:53 1.275  WFC    3.0  180  i                                
 505284 calib8 I 5       18:43:11.59 +00:29:43.0 2000.00  04:54 1.277  WFC    5.1  180  i                                
 505285 calib8 I 20      18:43:11.60 +00:29:42.9 2000.00  04:55 1.279  WFC   20.1  180  i                                
 505286 calib8 B 20      18:43:11.59 +00:29:42.9 2000.00  04:56 1.282  WFC   20.1  180  B                                
 505287 calib8 B 5       18:43:11.60 +00:29:43.0 2000.00  04:57 1.285  WFC    5.1  180  B                                
 505288 calib8 B 3       18:43:11.59 +00:29:42.9 2000.00  04:58 1.287  WFC    3.1  180  B                                
 505289 calib9 B 3       23:38:42.39 +00:42:28.6 2000.00  05:00 1.596  WFC    3.1  180  B                                
 505290 calib9 B 5       23:38:42.39 +00:42:29.0 2000.00  05:01 1.591  WFC    5.1  180  B                                
 505291 calib9 B 20      23:38:42.40 +00:42:29.0 2000.00  05:01 1.585  WFC   20.1  180  B                                
 505292 calib9 I 20      23:38:42.39 +00:42:29.0 2000.00  05:02 1.578  WFC   20.1  180  i                                
 505293 calib9 I 5       23:38:42.40 +00:42:29.0 2000.00  05:03 1.572  WFC    5.1  180  i                                
 505294 calib9 I 3       23:38:42.39 +00:42:29.0 2000.00  05:04 1.567  WFC    3.1  180  i                                
 505295 Flat field       21:29:34.00 -08:38:30.0 2000.00  05:35 1.261  WFC   39.0  180  i                                
 505296 Flat field       21:29:33.99 -08:38:29.9 2000.00  05:37 1.260  WFC   27.9  180  i                                
 505297 Flat field       21:29:33.99 -08:38:29.9 2000.00  05:38 1.260  WFC   20.2  180  i                                
 505298 Flat field       21:29:35.34 -08:38:10.0 2000.00  05:40 1.259  WFC   16.3  180  i                                
 505299 Flat field       21:29:35.35 -08:38:49.9 2000.00  05:41 1.259  WFC   14.9  180  i                                
 505300 Flat field       21:29:32.65 -08:38:10.1 2000.00  05:42 1.259  WFC   10.9  180  i                                
 505301 Flat field       21:29:32.65 -08:38:49.9 2000.00  05:43 1.258  WFC    8.4  180  i                                
 505302 Flat field       21:29:33.99 -08:38:29.9 2000.00  05:45 1.258  WFC    8.1  180  B                                
 505303 Flat field       21:29:35.34 -08:38:10.0 2000.00  05:46 1.258  WFC    7.1  180  B                                
 505304 Flat field       21:29:35.34 -08:38:49.8 2000.00  05:48 1.258  WFC    3.1  180  B                                
 505305 Flat field       21:29:35.34 -08:38:50.0 2000.00  05:48 1.258  WFC    7.6  180  B                                
 505306 Flat field       21:29:32.65 -08:38:10.0 2000.00  05:50 1.258  WFC    4.1  180  B                                
 505307 Flat field       21:29:32.64 -08:38:50.0 2000.00  05:51 1.258  WFC    2.1  180  B                                
 505308 Flat field       21:29:32.65 -08:38:50.0 2000.00  05:53 1.258  WFC    1.5  180  B                                
 505309 Bias             21:29:32.65 -08:38:49.9 2000.00  05:56 1.258  WFC    0.0  180  B                                
 505310 Bias             21:29:32.65 -08:38:49.9 2000.00  05:57 1.258  WFC    0.0  180  B                                
 505311 Bias             21:29:32.64 -08:38:49.9 2000.00  05:57 1.258  WFC    0.0  180  B                                
 505312 Bias              0:00:00.00 +00:00:00.0 2000.00  05:58 1.013  WFC    0.0  180  B                                
 505313 Bias              0:00:00.00 +00:00:00.0 2000.00  05:58 1.000  WFC    0.0  180  B                                
 505314 Bias              0:00:00.00 +00:00:00.0 2000.00  05:59 1.481  WFC    0.0  180  B                                
 505315 Bias              0:00:00.00 +00:00:00.0 2000.00  06:00 2.448  WFC    0.0  180  B                                
 505316 Bias              0:00:00.00 +00:00:00.0 2000.00  06:00 2.469  WFC    0.0  180  B                                
 505317 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 2.469  WFC    0.0  180  B                                
 505318 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 2.469  WFC    0.0  180  B                                
