 447395 tuboo G 1s       14:04:59.00 +29:59:59.9 2000.00  00:13 1.019  WFC    1.3  180  g                                
 447396 HNzo0020 I 30s   13:00:56.14 +45:49:51.3 2000.00  00:16 1.048  WFC   29.5  180  i                                
 447397 HNzo0020 I 30s   13:00:56.13 +45:49:51.4 2000.00  00:17 1.048  WFC   29.5  180  i                                
 447398 HNzo0020 I 120s  13:00:56.14 +45:49:51.4 2000.00  00:19 1.048  WFC  120.0  180  i                                
 447399 HNzo0020 I 120s  13:00:56.12 +45:49:50.7 2000.00  00:22 1.049  WFC  120.0  180  i                                
 447400 qso1156 I 120s   11:59:31.89 +29:14:43.7 2000.00  00:27 1.061  WFC  120.0  180  i                                
 447401 qso1156 I 120s   11:59:31.90 +29:14:43.8 2000.00  00:29 1.065  WFC  119.5  180  i                                
 447402 qso1156 G 120s   11:59:31.90 +29:14:43.7 2000.00  00:32 1.069  WFC  120.0  180  g                                
 447403 qso1156 G 120s   11:59:31.89 +29:14:43.9 2000.00  00:35 1.073  WFC  119.0  180  g                                
 447404 tuboo G 1s       14:04:59.00 +30:00:00.0 2000.00  00:39 1.005  WFC    0.9  180  g                                
 447405 tuboo R 1s       14:04:59.00 +29:59:59.9 2000.00  00:40 1.004  WFC    1.0  180  r                                
 447406 HNzo0020 I 180s  13:00:48.96 +45:47:35.0 2000.00  00:43 1.059  WFC  180.0  180  i                                
 447407 HNzo0040 I 30s   13:00:48.98 +45:47:35.6 2000.00  00:47 1.060  WFC   29.6  180  i                                
 447408 HNzo0040 I 30s   13:00:48.97 +45:47:35.6 2000.00  00:48 1.061  WFC   30.1  180  i                                
 447409 qso1156 I 120s   11:59:31.89 +29:14:43.8 2000.00  00:51 1.101  WFC  120.0  180  i                                
 447410 qso1156 I 120s   11:59:31.89 +29:14:43.7 2000.00  00:53 1.106  WFC  120.0  180  i                                
 447411 qso1156 G 120s   11:59:31.89 +29:14:43.8 2000.00  00:56 1.112  WFC  120.0  180  g                                
 447412 qso1156 G 120s   11:59:31.89 +29:14:43.8 2000.00  00:59 1.118  WFC  120.0  180  g                                
 447413 tuboo R 1s       14:04:59.00 +30:00:00.0 2000.00  01:03 1.000  WFC    1.1  180  r                                
 447414 tuboo G 1s       14:04:59.00 +29:59:59.9 2000.00  01:04 1.000  WFC    1.0  180  g                                
 447415 HNzo0100 I 30s   13:00:41.85 +45:45:19.7 2000.00  01:06 1.074  WFC   30.1  180  i                                
 447416 HNzo0100 I 30s   13:00:41.84 +45:45:19.7 2000.00  01:07 1.075  WFC   30.1  180  i                                
 447417 HNzo0120 I 120s  13:00:34.74 +45:43:03.2 2000.00  01:12 1.081  WFC  120.0  180  i                                
 447418 qso1156 I 120s   11:59:31.90 +29:14:43.8 2000.00  01:16 1.158  WFC  120.1  180  i                                
 447419 qso1156 I 120s   11:59:31.90 +29:14:43.7 2000.00  01:19 1.165  WFC  120.0  180  i                                
 447420 qso1156 G 120s   11:59:31.90 +29:14:43.8 2000.00  01:22 1.173  WFC  120.0  180  g                                
 447421 qso1156 G 120s   11:59:31.90 +29:14:43.8 2000.00  01:25 1.181  WFC  120.1  180  g                                
 447422 tuboo R 1s       14:04:58.99 +30:00:00.0 2000.00  01:28 1.005  WFC    1.1  180  r                                
 447423 tuboo G 1s       14:04:58.99 +30:00:00.0 2000.00  01:30 1.005  WFC    1.0  180  g                                
 447424 DolDzim5 I 40s   16:27:23.99 +38:03:59.9 2000.00  01:32 1.105  WFC   40.1  180  i                                
 447425 DolDzim5 I 60s   16:27:23.99 +38:03:59.9 2000.00  01:34 1.102  WFC   60.1  180  i                                
 447426 DolDzim5 I 80s   16:27:24.00 +38:03:59.9 2000.00  01:36 1.099  WFC   80.0  180  i                                
 447427 DolDzim5 I 160s  16:27:24.00 +38:03:59.9 2000.00  01:39 1.093  WFC  160.0  180  i                                
 447428 DolDzim5 G 40s   16:27:23.99 +38:04:00.0 2000.00  01:43 1.088  WFC   40.1  180  g                                
 447429 DolDzim5 G 80s   16:27:24.00 +38:04:00.0 2000.00  01:44 1.086  WFC   80.0  180  g                                
 447430 DolDzim5 G 160s  16:27:23.99 +38:04:00.0 2000.00  01:46 1.081  WFC  159.5  180  g                                
 447431 HNzo0200 I 30s   13:00:20.65 +45:38:29.3 2000.00  01:52 1.131  WFC   30.1  180  i                                
 447432 HNzo0200 I 30s   13:00:20.66 +45:38:29.2 2000.00  01:53 1.133  WFC   30.1  180  i                                
 447433 tuboo R 1s       14:04:58.99 +29:59:59.9 2000.00  01:56 1.020  WFC    1.0  180  r                                
 447434 tuboo G 1s       14:04:58.99 +29:59:59.9 2000.00  01:57 1.021  WFC    1.0  180  g                                
 447435 HNzo0200 I 30s   13:00:20.66 +45:38:29.1 2000.00  01:59 1.143  WFC   30.1  180  i                                
