 568108 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:46 1.107  WFC   30.1  180  CLEAR                            
 568109 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:47 1.106  WFC   30.1  180  CLEAR                            
 568110 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:48 1.105  WFC   30.0  180  CLEAR                            
 568111 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:49 1.104  WFC   30.1  180  CLEAR                            
 568112 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:50 1.103  WFC   29.6  180  CLEAR                            
 568113 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:51 1.102  WFC   30.1  180  CLEAR                            
 568114 field24 clear    18:18:18.01 +06:31:14.9 2000.00  00:52 1.101  WFC   30.1  180  CLEAR                            
 568115 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:53 1.100  WFC   30.1  180  CLEAR                            
 568116 field24 clear    18:18:18.00 +06:31:15.0 2000.00  00:54 1.099  WFC   29.5  180  CLEAR                            
 568117 field24 clear    18:18:17.99 +06:31:14.9 2000.00  00:55 1.098  WFC   30.1  180  CLEAR                            
 568118 field24 clear    18:18:17.99 +06:31:14.9 2000.00  00:56 1.098  WFC   29.5  180  CLEAR                            
 568119 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:57 1.097  WFC   30.1  180  CLEAR                            
 568120 field24 clear    18:18:18.00 +06:31:14.9 2000.00  00:58 1.096  WFC   30.1  180  CLEAR                            
 568121 field24 clear    18:18:17.99 +06:31:15.0 2000.00  00:59 1.095  WFC   29.5  180  CLEAR                            
 568122 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:00 1.094  WFC   30.1  180  CLEAR                            
 568123 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:01 1.094  WFC   30.1  180  CLEAR                            
 568124 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:02 1.093  WFC   30.1  180  CLEAR                            
 568125 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:03 1.092  WFC   30.1  180  CLEAR                            
 568126 field24 clear    18:18:17.99 +06:31:15.0 2000.00  01:04 1.092  WFC   30.1  180  CLEAR                            
 568127 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:05 1.091  WFC   30.1  180  CLEAR                            
 568128 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:06 1.090  WFC   30.1  180  CLEAR                            
 568129 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:07 1.090  WFC   30.1  180  CLEAR                            
 568130 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:08 1.089  WFC   30.1  180  CLEAR                            
 568131 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:09 1.088  WFC   30.1  180  CLEAR                            
 568132 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:10 1.088  WFC   30.1  180  CLEAR                            
 568133 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:11 1.087  WFC   30.1  180  CLEAR                            
 568134 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:12 1.087  WFC   30.1  180  CLEAR                            
 568135 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:13 1.086  WFC   30.1  180  CLEAR                            
 568136 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:14 1.086  WFC   30.1  180  CLEAR                            
 568137 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:15 1.085  WFC   30.1  180  CLEAR                            
 568138 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:16 1.085  WFC   30.1  180  CLEAR                            
 568139 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:17 1.084  WFC   29.5  180  CLEAR                            
 568140 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:18 1.084  WFC   30.1  180  CLEAR                            
 568141 field24 clear    18:18:17.99 +06:31:15.0 2000.00  01:19 1.084  WFC   30.1  180  CLEAR                            
 568142 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:20 1.083  WFC   30.1  180  CLEAR                            
 568143 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:21 1.083  WFC   29.6  180  CLEAR                            
 568144 field24 clear    18:18:17.99 +06:31:15.0 2000.00  01:22 1.083  WFC   29.5  180  CLEAR                            
 568145 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:23 1.082  WFC   30.1  180  CLEAR                            
 568146 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:24 1.082  WFC   30.1  180  CLEAR                            
 568147 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:25 1.082  WFC   30.1  180  CLEAR                            
 568148 field24 clear    18:18:18.00 +06:31:15.0 2000.00  01:26 1.082  WFC   30.1  180  CLEAR                            
 568149 field24 clear    18:18:17.99 +06:31:15.0 2000.00  01:27 1.081  WFC   30.1  180  CLEAR                            
 568150 field24 clear    18:18:17.99 +06:31:14.9 2000.00  01:28 1.081  WFC   30.1  180  CLEAR                            
 568151 field24 clear    18:18:18.00 +06:31:14.9 2000.00  01:29 1.081  WFC   30.1  180  CLEAR                            
