 488725 corot7 u 80       6:45:23.00 -01:13:25.9 2000.00  23:49 1.257  WFC   80.0  180  stromgren u                      
 488726 corot7 v 40       6:45:22.99 -01:13:25.9 2000.00  23:51 1.253  WFC   40.0  180  stromgren v                      
 488727 corot7 b 20       6:45:23.00 -01:13:25.9 2000.00  23:53 1.250  WFC   20.1  180  stromgren b                      
 488728 corot7 y 20       6:45:22.99 -01:13:25.9 2000.00  23:54 1.247  WFC   20.1  180  stromgren y                      
 488729 corot8 r 5        6:42:52.00 -01:14:38.0 2000.00  23:56 1.237  WFC    5.1  180  r                                
 488730 corot8 ha 60      6:42:52.00 -01:14:38.0 2000.00  23:58 1.233  WFC   60.1  180  Halpha                           
 488731 corot8 u 80       6:42:52.00 -01:14:38.0 2000.00  00:00 1.229  WFC   80.0  180  stromgren u                      
 488732 corot8 v 40       6:42:52.00 -01:14:38.0 2000.00  00:02 1.225  WFC   40.1  180  stromgren v                      
 488733 corot8 b 20       6:42:52.00 -01:14:38.0 2000.00  00:03 1.222  WFC   20.1  180  stromgren b                      
 488734 corot8 y 20       6:42:52.00 -01:14:38.0 2000.00  00:05 1.220  WFC   20.1  180  stromgren y                      
 488735 corot1 r          6:45:06.00 +00:47:38.0 2000.00  00:09 1.191  WFC   50.1  180  r                                
 488736 corot1 ha 600     6:45:06.00 +00:47:38.0 2000.00  00:11 1.180  WFC  599.6  180  Halpha                           
 488737 corot1 u 800      6:45:06.00 +00:47:37.9 2000.00  00:23 1.162  WFC  799.7  180  stromgren u                      
 488738 corot1 v 400      6:45:05.99 +00:47:38.0 2000.00  00:37 1.151  WFC  399.8  180  stromgren v                      
 488739 corot1 b 200      6:45:05.99 +00:47:38.0 2000.00  00:45 1.145  WFC  199.9  180  stromgren b                      
 488740 corot1 y 200      6:45:06.00 +00:47:37.9 2000.00  00:50 1.142  WFC  200.0  180  stromgren y                      
 488741 ngc752 r 5        1:56:59.99 +37:47:00.0 2000.00  00:58 1.727  WFC    5.1  180  r                                
 488742 ngc752 ha 60      1:57:00.00 +37:47:00.0 2000.00  00:59 1.744  WFC   60.1  180  Halpha                           
 488743 ngc752 u 80       1:56:59.99 +37:47:00.0 2000.00  01:02 1.767  WFC   80.1  180  stromgren u                      
 488744 ngc752 v 40       1:57:00.00 +37:47:00.0 2000.00  01:04 1.788  WFC   40.1  180  stromgren v                      
 488745 ngc752 b 20       1:57:00.00 +37:46:59.9 2000.00  01:06 1.804  WFC   20.0  180  stromgren b                      
 488746 ngc752 y 20       1:56:59.99 +37:46:59.9 2000.00  01:08 1.818  WFC   20.1  180  stromgren y                      
 488747 ngc2169 r 5       6:08:00.00 +13:56:59.9 2000.00  01:12 1.041  WFC    5.1  180  r                                
 488748 ngc2169 ha 60     6:08:00.00 +13:57:00.0 2000.00  01:13 1.041  WFC   60.0  180  Halpha                           
 488749 ngc2169 u 80      6:07:59.99 +13:57:00.0 2000.00  01:15 1.043  WFC   80.0  180  stromgren u                      
 488750 ngc2169 v 40      6:08:00.00 +13:57:00.0 2000.00  01:18 1.044  WFC   40.1  180  stromgren v                      
 488751 ngc2169 b 20      6:08:00.01 +13:57:00.0 2000.00  01:20 1.045  WFC   20.1  180  stromgren b                      
 488752 ngc2169 y 20      6:08:00.00 +13:57:00.0 2000.00  01:21 1.046  WFC   20.1  180  stromgren y                      
 488753 ngc1039 r 5       2:41:59.99 +42:44:59.9 2000.00  01:26 1.582  WFC    5.1  180  r                                
 488754 ngc1039 ha 60     2:42:00.00 +42:45:00.0 2000.00  01:28 1.594  WFC   60.0  180  Halpha                           
 488755 ngc1039 u 80      2:42:00.00 +42:45:00.0 2000.00  01:30 1.610  WFC   80.0  180  stromgren u                      
 488756 ngc1039 v 40      2:42:00.00 +42:45:00.0 2000.00  01:33 1.625  WFC   40.1  180  stromgren v                      
 488757 ngc1039 b 20      2:42:00.00 +42:45:00.0 2000.00  01:35 1.637  WFC   19.5  180  stromgren b                      
 488758 ngc1039 y 20      2:42:00.00 +42:45:00.0 2000.00  01:36 1.649  WFC   20.1  180  stromgren y                      
 488759 corot2 r 50       6:42:36.00 +00:46:34.1 2000.00  01:41 1.137  WFC   50.0  180  r                                
 488760 corot2 ha 600     6:42:36.00 +00:46:34.0 2000.00  01:43 1.141  WFC  599.7  180  Halpha                           
 488761 corot2 u 800      6:42:36.00 +00:46:33.9 2000.00  01:56 1.153  WFC  799.6  180  stromgren u                      
 488762 corot2 v 400      6:42:36.00 +00:46:34.0 2000.00  02:12 1.167  WFC  399.3  180  stromgren v                      
 488763 corot2 b 200      6:42:35.99 +00:46:33.9 2000.00  02:21 1.176  WFC  199.9  180  stromgren b                      
