 444172 ngc5777 Ha       14:51:17.79 +58:58:41.0 2000.00  04:36 1.179  WFC  299.9  180  Halpha                           
 444173 ngc5777 Ha       14:51:17.79 +58:58:41.0 2000.00  04:41 1.184  WFC  299.9  180  Halpha                           
 444174 pg1633+099 R     16:35:23.99 +09:47:49.9 2000.00  04:49 1.066  WFC    4.1  180  R                                
 444175 ugc10415 R       16:29:00.39 +41:17:04.0 2000.00  04:54 1.026  WFC  299.9  180  R                                
 444176 ugc10415 SII     16:29:00.40 +41:17:03.9 2000.00  05:01 1.025  WFC  899.7  180  [SII]6725                        
 444177 ugc10888 R       17:29:59.30 +60:21:00.9 2000.00  05:19 1.189  WFC  299.9  180  R                                
 444178 ugc10888 SII     17:29:59.30 +60:21:00.9 2000.00  05:26 1.183  WFC  899.5  180  [SII]6725                        
 444179 ugc11376 R       18:54:14.29 +48:55:44.0 2000.00  05:44 1.147  WFC  299.4  180  R                                
 444180 ugc11376 SII     18:54:14.29 +48:55:43.9 2000.00  05:50 1.131  WFC  899.0  180  [SII]6725                        
 444181 pg 1633+099 R    16:35:23.99 +09:47:49.9 2000.00  06:07 1.079  WFC    4.1  180  R                                very few counts - use r444184 instead
 444182 pg 1633+099 SII  16:35:24.00 +09:47:50.0 2000.00  06:09 1.080  WFC   30.1  180  [SII]6725                        
 444183 pg 1633+099 Ha   16:35:24.00 +09:47:50.0 2000.00  06:11 1.082  WFC   30.1  180  Halpha                           
 444184 pg 1633+099 R    16:35:24.00 +09:47:49.9 2000.00  06:12 1.083  WFC    4.1  180  R                                
 444185 Bias             16:35:24.00 +09:47:49.9 2000.00  06:15 1.087  WFC    0.0  180  R                                
 444186 Bias             16:35:24.00 +09:47:50.0 2000.00  06:16 1.087  WFC    0.0  180  R                                
 444187 Bias             16:35:24.00 +09:47:49.9 2000.00  06:17 1.088  WFC    0.0  180  [SII]6725                        
 444188 Bias             16:35:24.00 +09:47:50.0 2000.00  06:17 1.088  WFC    0.0  180  [SII]6725                        
 444189 Bias             16:35:23.99 +09:47:50.0 2000.00  06:18 1.089  WFC    0.0  180  [SII]6725                        
