 458377 STD SA112_223 i' 20:43:43.99 +00:08:59.8 2000.00  01:14 1.303  WFC    5.1  180  i                                
 458378 STD PG1528 r'    15:32:20.49 +06:00:50.5 2000.00  01:29 1.717  WFC    5.1  180  r                                
 458379 STD PG1528 i'    15:32:20.49 +06:00:50.4 2000.00  01:30 1.728  WFC    5.1  180  i                                
 458380 STD PG1545 O+    15:49:54.15 +03:22:50.5 2000.00  01:37 1.705  WFC  199.9  180  [OII]3727                        
 458381 STD L930_80 O+   21:46:27.87 -07:58:01.4 2000.00  01:44 1.591  WFC  199.4  180  [OII]3727                        
 458382 P2004H2 r'       22:48:35.16 -11:27:48.5 2000.00  01:57 2.131  WFC  210.0  180  r                                
 458383 P2004H2 r'       22:48:34.48 -11:28:03.4 2000.00  02:01 2.078  WFC  210.0  180  r                                
 458384 P2004H2 r'       22:48:35.31 -11:27:57.7 2000.00  02:06 2.029  WFC  209.4  180  r                                
 458385 P2004H2 r'       22:48:35.16 -11:28:03.2 2000.00  02:10 1.983  WFC  210.0  180  r                                
 458386 P2004H2 r'       22:48:34.68 -11:27:47.7 2000.00  02:18 1.905  WFC  209.9  180  r                                
 458387 P2004H2 r'       22:48:34.49 -11:28:00.0 2000.00  02:22 1.867  WFC  210.0  180  r                                
 458388 P2004H2 r'       22:48:35.30 -11:28:02.4 2000.00  02:26 1.830  WFC  210.0  180  r                                
 458389 P2004H2 r'       22:48:35.52 -11:28:03.0 2000.00  02:30 1.796  WFC  209.4  180  r                                
 458394 40P r'           21:02:41.94 -14:49:23.7 2000.00  02:44 1.410  WFC   85.0  180  r                                
 458395 40P r'           21:02:41.75 -14:49:35.8 2000.00  02:46 1.407  WFC   85.0  180  r                                
 458396 40P r'           21:02:42.58 -14:49:38.6 2000.00  02:48 1.404  WFC   85.0  180  r                                
 458397 40P r'           21:02:42.78 -14:49:39.0 2000.00  02:50 1.402  WFC   84.5  180  r                                
 458398 40P r'           21:02:42.09 -14:49:23.8 2000.00  02:54 1.397  WFC   85.0  180  r                                
 458399 40P r'           21:02:41.74 -14:49:22.1 2000.00  02:56 1.395  WFC   85.1  180  r                                
 458400 40P r'           21:02:42.58 -14:49:19.3 2000.00  02:58 1.393  WFC   85.0  180  r                                
 458401 40P r'           21:02:41.75 -14:49:38.7 2000.00  03:00 1.391  WFC   85.0  180  r                                
 458402 P1995A1 r'       21:45:45.93 -21:41:22.9 2000.00  03:11 1.638  WFC  135.0  180  r                                
 458403 P1995A1 r'       21:45:45.56 -21:41:21.2 2000.00  03:14 1.631  WFC  135.0  180  r                                
 458404 P1995A1 r'       21:45:46.43 -21:41:18.3 2000.00  03:17 1.624  WFC  135.0  180  r                                
 458405 P1995A1 r'       21:45:45.57 -21:41:38.2 2000.00  03:20 1.618  WFC  135.0  180  r                                
 458406 P1995A1 r'       21:45:46.15 -21:41:33.3 2000.00  03:24 1.610  WFC  135.0  180  r                                
 458407 P1995A1 r'       21:45:46.08 -21:41:21.1 2000.00  03:27 1.604  WFC  135.1  180  r                                
 458408 P1995A1 r'       21:45:45.42 -21:41:18.4 2000.00  03:30 1.599  WFC  135.0  180  r                                
 458409 P1995A1 r'       21:45:45.58 -21:41:33.8 2000.00  03:33 1.595  WFC  135.0  180  r                                
 458410 P2004H2 r'       22:48:34.35 -11:27:48.1 2000.00  03:43 1.431  WFC  209.5  180  r                                
 458411 P2004H2 r'       22:48:34.49 -11:27:49.7 2000.00  03:47 1.419  WFC  209.4  180  r                                
 458412 P2004H2 r'       22:48:35.30 -11:27:52.6 2000.00  03:51 1.408  WFC  210.0  180  r                                
 458413 P2004H2 r'       22:48:35.51 -11:27:55.8 2000.00  03:56 1.397  WFC  210.0  180  r                                
 458414 P2004H2 i'       22:48:35.51 -11:27:56.1 2000.00  04:00 1.386  WFC  210.0  180  i                                
 458415 P2004H2 V        22:48:35.51 -11:27:56.0 2000.00  04:05 1.376  WFC  210.0  180  V                                
 458416 P2004H2 r'       22:48:34.68 -11:27:47.7 2000.00  04:13 1.360  WFC  209.4  180  r                                
 458417 P2004H2 r'       22:48:34.49 -11:27:38.9 2000.00  04:18 1.352  WFC  209.9  180  r                                
 458418 P2004H2 r'       22:48:35.30 -11:27:49.7 2000.00  04:22 1.346  WFC  209.9  180  r                                
