 489427 0942-029D B       9:45:08.60 -03:05:55.0 2000.00  04:30 1.185  WFC   60.0  180  B                                
 489428 0942-029D V       9:45:08.60 -03:05:54.9 2000.00  04:33 1.186  WFC   60.1  180  V                                
 489429 0942-029D R       9:45:08.59 -03:05:54.9 2000.00  04:36 1.188  WFC   30.1  180  R                                
 489430 0942-029D I       9:45:08.60 -03:05:55.0 2000.00  04:37 1.189  WFC   30.1  180  I                                
 489431 NGC4339 U 360_1  12:23:35.00 +06:04:54.1 2000.00  04:41 1.240  WFC  359.9  180  U                                
 489432 NGC4339 U 360_2  12:23:35.00 +06:04:53.9 2000.00  04:48 1.220  WFC  359.9  180  U                                
 489433 NGC4339 U 360_3  12:23:35.00 +06:04:54.0 2000.00  04:56 1.202  WFC  359.8  180  U                                
 489434 NGC4339 U 360_4  12:23:34.99 +06:04:54.0 2000.00  05:03 1.185  WFC  359.8  180  U                                
 489435 NGC4339 U 360_5  12:23:35.00 +06:04:54.0 2000.00  05:10 1.170  WFC  359.9  180  U                                
 489436 NGC3402 I 180_1  10:50:26.00 -12:50:42.0 2000.00  05:19 1.338  WFC  180.0  180  I                                moved
 489437 NGC3402 I 180_2  10:50:26.00 -12:50:41.9 2000.00  05:23 1.340  WFC  179.5  180  I                                
 489438 NGC3402 I 180_3  10:50:26.00 -12:50:41.9 2000.00  05:28 1.342  WFC  180.0  180  I                                
 489439 NGC3402 I 180_4  10:50:26.00 -12:50:41.9 2000.00  05:32 1.344  WFC  179.9  180  I                                
 489440 NGC3402 I 180_5  10:50:25.99 -12:50:41.9 2000.00  05:36 1.347  WFC  180.0  180  I                                
 489441 NGC3402 R 180_1  10:50:26.00 -12:50:42.1 2000.00  05:41 1.352  WFC  180.0  180  R                                
 489442 NGC3402 R 180_2  10:50:26.00 -12:50:42.0 2000.00  05:46 1.356  WFC  180.0  180  R                                
 489443 NGC3402 R 180_3  10:50:25.99 -12:50:41.9 2000.00  05:50 1.361  WFC  180.0  180  R                                
 489444 NGC3402 R 180_4  10:50:25.99 -12:50:42.1 2000.00  05:54 1.366  WFC  180.0  180  R                                
 489446 NGC3402 V 240_5  10:50:26.00 -12:50:42.0 2000.00  06:02 1.380  WFC  239.9  180  R                                this is in R !
 489447 NGC3402 V 240_1  10:50:25.99 -12:50:42.1 2000.00  06:08 1.389  WFC  239.9  180  V                                
 489448 NGC3402 V 240_2  10:50:25.99 -12:50:42.0 2000.00  06:13 1.399  WFC  240.0  180  V                                
