 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441639 M82_B_200         9:55:52.00 +69:40:46.9 2000.00  04:59 1.714  WFC  199.9  180  B                                
 441640 M82_B_60          9:56:49.59 +69:40:46.3 2000.00  05:11 1.751  WFC   59.5  180  B                                
 441641 M82_B_10          9:56:49.59 +69:40:46.3 2000.00  05:15 1.761  WFC   10.0  180  B                                
 441642 M82_B_200         9:56:49.59 +69:40:46.3 2000.00  05:19 1.785  WFC  200.0  180  B                                
 441643 M82_V_60          9:56:49.59 +69:40:46.3 2000.00  05:24 1.799  WFC   60.1  180  V                                
 441644 M82_R_60          9:56:49.59 +69:40:46.4 2000.00  05:26 1.810  WFC   60.1  180  R                                
 441645 CI_R_20          14:02:00.00 +08:54:59.9 2000.00  05:33 1.082  WFC   20.1  180  R                                
 441646 flat_R_20         0:00:00.00 +00:00:00.0 2000.00  05:41 1.000  WFC   20.1  180  R                                
 441647 flat_R_5          0:00:00.00 +00:00:00.0 2000.00  05:44 1.000  WFC    5.1  180  R                                
 441648 flat_R_1          0:00:00.00 +00:00:00.0 2000.00  05:45 1.000  WFC    1.0  180  R                                
 441649 flat_R_1_less     0:00:00.00 +00:00:00.0 2000.00  05:48 1.000  WFC    1.0  180  R                                
 441650 flat_I_2          0:00:00.00 +00:00:00.0 2000.00  05:49 1.000  WFC    2.1  180  I                                
 441651 flat_I_1_less     0:00:00.00 +00:00:00.0 2000.00  05:51 1.000  WFC    1.0  180  I                                
 441652 flat_I_2          0:00:00.00 +00:00:00.0 2000.00  05:52 1.000  WFC    2.1  180  I                                
 441653 flat_I_2          0:00:00.00 +00:00:00.0 2000.00  05:53 1.000  WFC    2.1  180  I                                
 441654 flat_I_2          0:00:00.00 +00:00:00.0 2000.00  05:54 1.000  WFC    2.1  180  I                                
 441655 flat_R_1          0:00:00.00 +00:00:00.0 2000.00  05:55 1.000  WFC    2.1  180  R                                
 441656 flat_R_1          0:00:00.00 +00:00:00.0 2000.00  05:56 1.000  WFC    1.0  180  R                                
 441657 flat_O3_10        0:00:00.00 +00:00:00.0 2000.00  05:57 1.000  WFC   10.1  180  [OIII]5007                       
 441658 flat_O3_30_more   0:00:00.00 +00:00:00.0 2000.00  05:59 1.000  WFC   30.1  180  [OIII]5007                       
 441659 flat_O3_30_more   0:00:00.00 +00:00:00.0 2000.00  06:01 1.000  WFC   30.1  180  [OIII]5007                       
 441660 flat_O3_30_more   0:00:00.00 +00:00:00.0 2000.00  06:03 1.000  WFC   30.0  180  [OIII]5007                       
 441661 flat_B_1          0:00:00.00 +00:00:00.0 2000.00  06:05 1.000  WFC    1.0  180  B                                
 441662 flat_B_5          0:00:00.00 +00:00:00.0 2000.00  06:06 1.000  WFC    4.5  180  B                                
 441663 flat_B_5          0:00:00.00 +00:00:00.0 2000.00  06:09 1.000  WFC    5.1  180  B                                
 441664 flat_B_1          0:00:00.00 +00:00:00.0 2000.00  06:10 1.000  WFC    1.0  180  B                                
 441665 flat_B_1          0:00:00.00 +00:00:00.0 2000.00  06:12 1.000  WFC    1.0  180  B                                
 441666 flat_B_1          0:00:00.00 +00:00:00.0 2000.00  06:13 1.000  WFC    1.0  180  B                                
 441667 flat_B_1          0:00:00.00 +00:00:00.0 2000.00  06:14 1.000  WFC    1.0  180  B                                
 441668 flat_V_1          0:00:00.00 +00:00:00.0 2000.00  06:15 1.000  WFC    0.9  180  V                                
 441669 flat_V_1          0:00:00.00 +00:00:00.0 2000.00  06:16 1.000  WFC    1.0  180  V                                
 441670 flat_V_3          0:00:00.00 +00:00:00.0 2000.00  06:17 1.000  WFC    2.5  180  V                                
 441671 flat_V_3          0:00:00.00 +00:00:00.0 2000.00  06:18 1.000  WFC    3.1  180  V                                
 441672 flat_V_3          0:00:00.00 +00:00:00.0 2000.00  06:19 1.000  WFC    2.5  180  V                                
 441673 flat_V_3          0:00:00.00 +00:00:00.0 2000.00  06:20 1.000  WFC    3.1  180  V                                
