 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 544075 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:44 1.008  WFC   60.0  180  r                                
 544076 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:46 1.008  WFC   60.1  180  r                                
 544077 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:47 1.008  WFC   59.6  180  r                                
 544078 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:49 1.008  WFC   60.1  180  r                                
 544079 veld3b            6:14:39.99 +35:46:00.0 2000.00  00:50 1.008  WFC   60.1  180  r                                
 544080 veld3b            6:14:40.00 +35:46:00.0 2000.00  00:52 1.008  WFC   60.1  180  r                                
 544081 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:54 1.008  WFC   60.0  180  r                                
 544082 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:55 1.008  WFC   60.1  180  r                                
 544083 veld3b            6:14:40.00 +35:45:59.9 2000.00  00:57 1.008  WFC   59.5  180  r                                
 544084 veld3b            6:14:39.99 +35:45:59.9 2000.00  00:59 1.008  WFC   60.1  180  r                                
 544085 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:00 1.008  WFC   60.0  180  r                                
 544086 veld3b            6:14:40.00 +35:46:00.0 2000.00  01:02 1.008  WFC   59.5  180  r                                
 544087 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:03 1.008  WFC   59.6  180  r                                
 544088 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:05 1.009  WFC   60.0  180  r                                
 544089 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:07 1.009  WFC   60.1  180  r                                
 544090 veld3b            6:14:40.00 +35:46:00.0 2000.00  01:08 1.009  WFC   60.1  180  r                                
 544091 veld3b            6:14:40.00 +35:45:59.9 2000.00  01:10 1.010  WFC   60.0  180  r                                
 544092 veld3b            6:14:40.00 +35:45:59.9 2000.00  01:11 1.010  WFC   60.0  180  r                                
 544093 veld3b            6:14:40.00 +35:46:00.0 2000.00  01:13 1.010  WFC   60.1  180  r                                
 544094 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:15 1.011  WFC   60.0  180  r                                
 544095 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:16 1.011  WFC   60.1  180  r                                
 544096 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:18 1.012  WFC   60.1  180  r                                
 544097 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:19 1.013  WFC   59.6  180  r                                
 544098 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:21 1.013  WFC   60.1  180  r                                
 544099 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:23 1.014  WFC   60.0  180  r                                
 544100 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:24 1.015  WFC   60.1  180  r                                
 544101 veld3b            6:14:40.00 +35:45:59.9 2000.00  01:26 1.015  WFC   60.1  180  r                                
 544102 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:28 1.016  WFC   60.1  180  r                                
 544103 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:29 1.017  WFC   59.5  180  r                                
 544104 veld3b            6:14:40.00 +35:46:00.0 2000.00  01:31 1.018  WFC   59.5  180  r                                
 544105 veld3b            6:14:39.99 +35:45:59.9 2000.00  01:32 1.019  WFC   59.6  180  r                                
 544106 veld3b            6:14:40.00 +35:46:00.0 2000.00  01:34 1.020  WFC   60.1  180  r                                
 544107 veld3b            6:14:40.00 +35:45:59.9 2000.00  01:36 1.021  WFC   60.1  180  r                                
 544108 veld3b            6:14:39.99 +35:46:00.0 2000.00  01:37 1.022  WFC   60.1  180  r                                
 544109 10658             3:40:51.51 +12:34:49.0 2000.00  01:52 1.623  WFC   50.1  180  r                                
 544110 10658             3:40:50.68 +12:34:49.3 2000.00  01:57 1.668  WFC  150.0  180  r                                
 544111 10658             3:40:49.37 +12:34:49.7 2000.00  02:04 1.725  WFC   50.0  180  V                                
 544112 10658             3:40:48.90 +12:34:49.8 2000.00  02:06 1.766  WFC  249.9  180  V                                
 544113 10658             3:40:47.47 +12:34:50.4 2000.00  02:14 1.849  WFC  249.9  180  V                                
 544114 10658             3:40:48.20 +12:35:30.8 2000.00  02:26 1.981  WFC  249.9  180  V                                
 544115 10658             3:40:47.19 +12:35:31.3 2000.00  02:31 2.030  WFC   15.1  180  r                                
 544116 10658             3:40:47.03 +12:35:31.5 2000.00  02:32 2.042  WFC   15.1  180  r                                
 544117 10658             3:40:46.87 +12:35:31.4 2000.00  02:33 2.054  WFC   15.1  180  r                                
 544118 10658             3:40:46.71 +12:35:31.6 2000.00  02:34 2.066  WFC   15.1  180  r                                
 544119 10658             3:40:46.56 +12:35:31.5 2000.00  02:35 2.079  WFC   15.1  180  r                                
 544120 10658             3:40:46.41 +12:35:31.7 2000.00  02:36 2.091  WFC   15.1  180  r                                
 544121 10658             3:40:46.25 +12:35:31.6 2000.00  02:36 2.104  WFC   14.5  180  r                                
 544122 10658             3:40:46.10 +12:35:31.7 2000.00  02:37 2.117  WFC   15.1  180  r                                
 544123 10658             3:40:45.94 +12:35:31.8 2000.00  02:38 2.130  WFC   14.6  180  r                                
 544124 10658             3:40:45.78 +12:35:31.9 2000.00  02:39 2.143  WFC   14.6  180  r                                
 544125 10658             3:40:45.63 +12:35:31.9 2000.00  02:40 2.157  WFC   15.1  180  r                                
 544126 10658             3:40:45.47 +12:35:32.0 2000.00  02:41 2.171  WFC   15.1  180  r                                
 544127 10658             3:40:45.32 +12:35:32.0 2000.00  02:42 2.185  WFC   14.5  180  r                                
 544128 10658             3:40:45.16 +12:35:32.0 2000.00  02:42 2.199  WFC   15.1  180  r                                
