 507166 uvex_5282 g      19:46:21.30 +18:06:00.0 2000.00  02:02 1.060  WFC   29.6  180  g                                
 507167 uvex_5282o He1   19:46:42.35 +18:11:00.0 2000.00  02:03 1.057  WFC  120.0  180  HeI 5870                         
 507168 uvex_5282o r     19:46:42.34 +18:11:00.0 2000.00  02:06 1.055  WFC   30.1  180  r                                
 507169 uvex_5282o U     19:46:42.34 +18:10:59.9 2000.00  02:07 1.053  WFC  120.0  180  U                                
 507170 uvex_5282o g     19:46:42.35 +18:10:59.9 2000.00  02:10 1.051  WFC   29.5  180  g                                
 507171 uvex_5283 He1    19:46:22.27 +28:22:00.1 2000.00  02:11 1.028  WFC  120.0  180  HeI 5870                         
 507172 uvex_5283 r      19:46:22.27 +28:21:59.8 2000.00  02:14 1.026  WFC   30.1  180  r                                
 507173 uvex_5283 U      19:46:22.26 +28:21:59.7 2000.00  02:15 1.024  WFC  120.0  180  U                                
 507174 uvex_5283 g      19:46:22.27 +28:21:59.8 2000.00  02:18 1.022  WFC   30.1  180  g                                
 507175 uvex_5283o He1   19:46:45.01 +28:26:59.8 2000.00  02:19 1.021  WFC  120.0  180  HeI 5870                         
 507176 uvex_5283o r     19:46:45.01 +28:26:59.7 2000.00  02:22 1.020  WFC   30.1  180  r                                
 507177 uvex_5283o U     19:46:45.01 +28:26:59.8 2000.00  02:23 1.018  WFC  120.0  180  U                                
 507178 uvex_5283o g     19:46:45.01 +28:26:59.8 2000.00  02:26 1.017  WFC   30.1  180  g                                
 507179 uvex_5284 He1    19:46:25.31 +19:34:00.0 2000.00  02:27 1.029  WFC  119.5  180  HeI 5870                         
 507180 uvex_5284 r      19:46:25.30 +19:33:59.9 2000.00  02:30 1.028  WFC   30.1  180  r                                
 507181 uvex_5284 U      19:46:25.30 +19:33:59.9 2000.00  02:31 1.027  WFC  120.0  180  U                                
 507182 uvex_5284 g      19:46:25.31 +19:33:59.8 2000.00  02:34 1.025  WFC   30.1  180  g                                
 507183 uvex_5284o He1   19:46:46.54 +19:38:59.9 2000.00  02:35 1.024  WFC  119.5  180  HeI 5870                         
 507184 uvex_5284o r     19:46:46.56 +19:38:59.8 2000.00  02:37 1.023  WFC   29.5  180  r                                
 507185 uvex_5284o U     19:46:46.55 +19:38:59.8 2000.00  02:39 1.022  WFC  120.0  180  U                                
 507186 uvex_5284o g     19:46:46.55 +19:38:59.9 2000.00  02:41 1.021  WFC   30.1  180  g                                
 507187 uvex_5285 He1    19:46:27.69 +26:54:00.0 2000.00  02:43 1.007  WFC  119.5  180  HeI 5870                         
 507188 uvex_5285 r      19:46:27.69 +26:53:59.8 2000.00  02:45 1.006  WFC   30.1  180  r                                
 507189 uvex_5285 U      19:46:27.68 +26:53:59.8 2000.00  02:47 1.005  WFC  120.0  180  U                                
 507190 uvex_5285 g      19:46:27.69 +26:53:59.7 2000.00  02:49 1.005  WFC   30.1  180  g                                
 507191 uvex_5285o He1   19:46:50.12 +26:58:59.8 2000.00  02:50 1.004  WFC  120.0  180  HeI 5870                         
 507192 uvex_5285o r     19:46:50.12 +26:58:59.8 2000.00  02:53 1.003  WFC   30.1  180  r                                
 507193 uvex_5285o U     19:46:50.13 +26:58:59.8 2000.00  02:54 1.003  WFC  120.1  180  U                                
