 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 547819 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:08 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547820 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:08 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547821 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:09 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547822 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:09 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547823 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:10 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547824 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:10 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547825 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:10 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547826 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:11 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547827 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:11 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547828 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:12 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547829 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:12 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547830 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:12 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547831 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:13 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
 547832 Flat field        0:00:00.00 +00:00:00.0 2000.00  17:13 1.000  IDS    2.0    0  Clear+Clear   1.2  65.9 5001.6   
