INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 12 07:20

TELESCOPE             INT
DATE                  20060711
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:03
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         20:52
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly hazy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
The autoguider doesn't go long without glitching - it seems better to rely on the telescope tracking



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513538                   0:00:00.00 +00:00:00.0 2006.524 13:31 1.521  WFC   15.1  180  g                                
 513642 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:09 1.685  WFC   30.1  180  stromgren y                      
 513643 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:11 1.676  WFC   60.1  180  g                                
 513644 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  23:12 1.668  WFC   35.1  180  r                                
 513645 NGC7128 u        21:44:20.00 +53:43:59.8 2000.00  23:14 1.658  WFC   60.1  180  stromgren u                      
 513646 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:15 1.649  WFC   40.1  180  stromgren v                      
 513647 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:17 1.642  WFC   35.1  180  stromgren b                      
 513648 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:18 1.635  WFC   30.1  180  stromgren y                      
 513649 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:19 1.628  WFC   60.1  180  g                                
 513650 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:21 1.620  WFC   35.1  180  r                                
 513651 NGC7128 u        21:44:19.99 +53:44:00.1 2000.00  23:23 1.609  WFC   59.5  180  stromgren u                      
 513652 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:25 1.601  WFC   40.1  180  stromgren v                      
 513653 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:26 1.594  WFC   35.1  180  stromgren b                      
 513654 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:27 1.588  WFC   29.6  180  stromgren y                      
 513655 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:28 1.581  WFC   60.0  180  g                                
