INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512377 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:17 2.204  WFC   39.5  180  r                                
 512378 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:18 2.189  WFC   45.1  180  stromgren u                      
 512379 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  22:20 2.175  WFC   30.1  180  stromgren v                      
 512380 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:21 2.162  WFC   29.6  180  stromgren b                      
 512381 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:22 2.150  WFC   30.1  180  stromgren y                      
 512382 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:23 2.135  WFC   60.1  180  g                                
 512383 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:25 2.120  WFC   40.1  180  r                                
 512384 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  22:26 2.105  WFC   44.5  180  stromgren u                      
 512385 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:28 2.092  WFC   30.1  180  stromgren v                      
 512386 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:29 2.081  WFC   30.1  180  stromgren b                      
 512387 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:30 2.069  WFC   30.1  180  stromgren y                      
 512388 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:31 2.055  WFC   60.0  180  g                                
 512389 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:33 2.041  WFC   40.1  180  r                                
 512390 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:34 2.028  WFC   45.1  180  stromgren u                      
 512391 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:36 2.016  WFC   29.0  180  stromgren v                      
 512392 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:37 2.005  WFC   29.5  180  stromgren b                      
 512393 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:38 1.995  WFC   29.5  180  stromgren y                      
 512394 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:39 1.982  WFC   60.1  180  g                                
 512395 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:41 1.969  WFC   40.1  180  r                                
 512396 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:42 1.957  WFC   44.6  180  stromgren u                      
 512397 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:44 1.946  WFC   29.6  180  stromgren v                      
 512398 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:45 1.936  WFC   30.1  180  stromgren b                      
 512399 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:46 1.926  WFC   30.1  180  stromgren y                      
 512400 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:47 1.915  WFC   60.0  180  g                                
 512401 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:49 1.903  WFC   40.1  180  r                                
 512402 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:51 1.891  WFC   45.1  180  stromgren u                      
 512403 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:52 1.881  WFC   30.1  180  stromgren v                      
 512404 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  22:53 1.872  WFC   30.1  180  stromgren b                      
 512405 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:54 1.863  WFC   30.1  180  stromgren y                      
 512406 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:56 1.852  WFC   60.0  180  g                                
 512407 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:57 1.841  WFC   40.1  180  r                                
 512408 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:59 1.830  WFC   45.0  180  stromgren u                      
 512409 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:00 1.821  WFC   29.5  180  stromgren v                      
 512410 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:01 1.812  WFC   30.1  180  stromgren b                      
 512411 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:03 1.804  WFC   30.1  180  stromgren y                      
 512412 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:04 1.794  WFC   60.0  180  g                                
 512413 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:05 1.783  WFC   40.1  180  r                                
 512414 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:07 1.774  WFC   45.1  180  stromgren u                      
 512415 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:08 1.765  WFC   30.1  180  stromgren v                      
 512416 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:10 1.757  WFC   30.1  180  stromgren b                      
 512417 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:11 1.749  WFC   30.1  180  stromgren y                      
 512418 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:12 1.740  WFC   60.0  180  g                                
 512419 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:14 1.730  WFC   40.0  180  r                                
 512420 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:15 1.721  WFC   45.0  180  stromgren u                      
 512421 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:16 1.713  WFC   30.1  180  stromgren v                      
 512422 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:18 1.706  WFC   30.1  180  stromgren b                      
 512423 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:19 1.698  WFC   30.1  180  stromgren y                      
 512424 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:20 1.690  WFC   59.5  180  g                                
 512425 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:22 1.681  WFC   40.0  180  r                                
 512426 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:24 1.669  WFC   44.5  180  stromgren u                      
 512427 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:25 1.661  WFC   30.1  180  stromgren v                      
 512428 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:26 1.654  WFC   30.1  180  stromgren b                      
 512429 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:28 1.647  WFC   29.5  180  stromgren y                      
 512430 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:29 1.639  WFC   60.1  180  g                                
 512431 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:31 1.631  WFC   40.1  180  r                                
 512432 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  23:32 1.623  WFC   45.1  180  stromgren u                      
 512433 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  23:33 1.616  WFC   30.1  180  stromgren v                      
 512434 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:35 1.610  WFC   30.1  180  stromgren b                      
 512435 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:36 1.604  WFC   30.1  180  stromgren y                      
 512436 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:37 1.596  WFC   60.0  180  g                                
