 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 450688 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:36 1.111  WFC   40.1  180  g                                
 450689 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:38 1.113  WFC   40.1  180  g                                
 450690 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:39 1.116  WFC   40.1  180  g                                
 450691 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:40 1.118  WFC   40.1  180  g                                
 450692 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:42 1.120  WFC   40.0  180  g                                
 450693 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:43 1.122  WFC   40.0  180  g                                
 450694 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:44 1.125  WFC   40.1  180  g                                
 450695 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:45 1.127  WFC   40.0  180  g                                
 450696 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:47 1.129  WFC   40.0  180  g                                
 450697 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:48 1.132  WFC   40.1  180  g                                
 450698 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:49 1.134  WFC   40.1  180  g                                
 450699 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:51 1.136  WFC   40.1  180  g                                
 450700 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:52 1.139  WFC   40.1  180  g                                
 450701 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:53 1.141  WFC   40.1  180  g                                
 450702 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:54 1.144  WFC   40.1  180  g                                
 450703 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:56 1.147  WFC   39.6  180  g                                
 450704 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:57 1.149  WFC   40.1  180  g                                
 450705 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:58 1.152  WFC   39.5  180  g                                
 450706 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:00 1.154  WFC   40.1  180  g                                
 450707 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:01 1.157  WFC   39.5  180  g                                
 450708 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:02 1.160  WFC   40.0  180  g                                
 450709 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:03 1.163  WFC   40.1  180  g                                
 450710 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:05 1.166  WFC   40.1  180  g                                
 450711 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:06 1.168  WFC   40.1  180  g                                
