 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517873 uvex_4122o U     18:39:02.67 +04:15:00.0 2000.00  22:06 1.185  WFC  120.1  180  U                                
 517874 uvex_4122o g     18:39:02.67 +04:14:59.9 2000.00  22:08 1.181  WFC   30.1  180  g                                
 517875 uvex_4127 He1    18:39:26.73 +04:42:59.6 2000.00  22:10 1.173  WFC  120.0  180  HeI 5870                         
 517876 uvex_4127 r      18:39:26.73 +04:42:59.9 2000.00  22:12 1.170  WFC   30.1  180  r                                
 517877 uvex_4127 U      18:39:26.73 +04:42:59.9 2000.00  22:13 1.166  WFC  120.0  180  U                                
 517878 uvex_4127 g      18:39:26.73 +04:43:00.0 2000.00  22:16 1.162  WFC   30.1  180  g                                
 517879 uvex_4127o He1   18:39:46.79 +04:48:00.0 2000.00  22:17 1.159  WFC  120.0  180  HeI 5870                         
 517880 uvex_4127o r     18:39:46.79 +04:48:00.0 2000.00  22:20 1.156  WFC   30.1  180  r                                
 517881 uvex_4127o U     18:39:46.80 +04:48:00.0 2000.00  22:21 1.152  WFC  120.0  180  U                                
 517882 uvex_4127o g     18:39:46.79 +04:47:59.9 2000.00  22:24 1.149  WFC   30.1  180  g                                
 517883 uvex_4132 He1    18:40:09.95 +03:48:00.1 2000.00  22:25 1.157  WFC  119.5  180  HeI 5870                         
 517884 uvex_4132 r      18:40:09.95 +03:48:00.0 2000.00  22:28 1.154  WFC   29.6  180  r                                
 517885 uvex_4132 U      18:40:09.95 +03:47:59.9 2000.00  22:29 1.151  WFC  120.0  180  U                                
 517886 uvex_4132 g      18:40:09.94 +03:48:00.0 2000.00  22:32 1.148  WFC   29.6  180  g                                
 517887 uvex_4132o He1   18:40:30.00 +03:53:00.0 2000.00  22:33 1.145  WFC  120.0  180  HeI 5870                         
 517888 uvex_4132o r     18:40:30.00 +03:52:59.9 2000.00  22:35 1.142  WFC   29.5  180  r                                
 517889 uvex_4132o U     18:40:29.99 +03:52:59.9 2000.00  22:37 1.140  WFC  120.1  180  U                                
 517890 uvex_4132o g     18:40:30.00 +03:53:00.0 2000.00  22:39 1.137  WFC   29.5  180  g                                
 517891 uvex_4133 He1    18:40:10.70 +05:15:59.8 2000.00  22:41 1.122  WFC  119.5  180  HeI 5870                         
 517892 uvex_4133 r      18:40:10.70 +05:15:59.9 2000.00  22:43 1.120  WFC   30.1  180  r                                
 517893 uvex_4133 U      18:40:10.70 +05:15:59.9 2000.00  22:44 1.118  WFC  120.0  180  U                                
 517894 uvex_4133 g      18:40:10.69 +05:16:00.0 2000.00  22:47 1.115  WFC   29.5  180  g                                
