 505800 COCOON           21:53:31.94 +47:15:28.9 2000.00  05:10 1.072  WFC   89.5  180  [OIII]5007                       
 505801 COCOON           21:53:31.94 +47:15:28.9 2000.00  05:12 1.070  WFC   60.0  180  Halpha                           
 505802 COCOON           21:53:31.94 +47:15:28.9 2000.00  05:15 1.069  WFC    5.6  180  r                                
 505803 COCOON           21:53:26.05 +47:15:29.0 2000.00  05:16 1.068  WFC   60.0  180  [SII]6725                        
 505804 COCOON           21:53:26.05 +47:15:28.9 2000.00  05:18 1.067  WFC   90.0  180  [OIII]5007                       
 505805 COCOON           21:53:26.05 +47:15:29.0 2000.00  05:21 1.065  WFC   60.0  180  Halpha                           
 505806 COCOON           21:53:26.05 +47:15:29.0 2000.00  05:23 1.065  WFC    6.1  180  r                                
 505807 COCOON           21:53:29.00 +47:15:58.9 2000.00  05:25 1.064  WFC   10.1  180  [SII]6725                        
 505808 COCOON           21:53:29.00 +47:15:59.0 2000.00  05:27 1.063  WFC   10.1  180  [OIII]5007                       
 505809 COCOON           21:53:28.99 +47:15:58.9 2000.00  05:28 1.062  WFC   10.1  180  Halpha                           
 505810 COCOON           21:53:28.99 +47:15:59.0 2000.00  05:29 1.062  WFC    2.5  180  r                                
 505811 COCOON           21:53:29.00 +47:15:59.0 2000.00  05:31 1.061  WFC    2.1  180  r                                
 505812 Flat field       21:29:34.00 -08:38:29.9 2000.00  05:36 1.258  WFC   35.7  180  r                                
 505813 Flat field       21:29:34.67 -08:38:19.9 2000.00  05:38 1.258  WFC   24.2  180  r                                
 505814 Flat field       21:29:34.67 -08:38:20.2 2000.00  05:40 1.258  WFC   21.4  180  B                                
 505815 Flat field       21:29:34.00 -08:38:30.1 2000.00  05:41 1.258  WFC   15.3  180  B                                
 505816 Flat field       21:29:33.99 -08:38:30.0 2000.00  05:44 1.258  WFC   64.2  180  [SII]6725                        
 505817 Flat field       21:29:34.67 -08:38:19.9 2000.00  05:46 1.258  WFC   36.5  180  [SII]6725                        
 505818 Flat field       21:29:34.67 -08:38:39.9 2000.00  05:48 1.259  WFC   24.7  180  [SII]6725                        
 505819 Flat field       21:29:33.32 -08:38:20.0 2000.00  05:50 1.259  WFC   20.1  180  [SII]6725                        
 505820 Flat field       21:29:33.33 -08:38:40.0 2000.00  05:51 1.260  WFC    9.5  180  [SII]6725                        
 505821 Flat field       21:29:34.00 -08:38:29.9 2000.00  05:53 1.260  WFC   12.0  180  Halpha                           
 505822 Bias frame       21:29:33.32 -08:38:39.9 2000.00  05:55 1.261  WFC    0.0  180  [OIII]5007                       
 505823 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:56 1.103  WFC    0.0  180  [OIII]5007                       
 505824 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:57 1.000  WFC    0.0  180  [OIII]5007                       
 505825 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:57 1.161  WFC    0.0  180  [OIII]5007                       
 505826 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:58 2.108  WFC    0.0  180  [OIII]5007                       
 505827 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:58 2.111  WFC    0.0  180  [OIII]5007                       
 505828 Bias frame        0:00:00.00 +00:00:00.0 2000.00  05:59 2.111  WFC    0.0  180  [OIII]5007                       
 505829 Bias frame        0:00:00.00 +00:00:00.0 2000.00  06:00 2.111  WFC    0.0  180  [OIII]5007                       
 505830 Bias frame        0:00:00.00 +00:00:00.0 2000.00  06:00 2.111  WFC    0.0  180  [OIII]5007                       
 505831 Bias frame        0:00:00.00 +00:00:00.0 2000.00  06:01 4.357  WFC    0.0  180  [OIII]5007                       
