 505622 UGC11538 I       20:31:01.53 +60:20:19.1 2000.00  03:53 1.187  WFC  249.9  180  i                                
 505623 UGC11538 I 75    20:30:32.65 +60:22:48.1 2000.00  03:58 1.186  WFC   74.5  180  i                                
 505624 UGC11538 I 75    20:31:45.55 +60:34:45.9 2000.00  04:01 1.187  WFC   74.5  180  i                                
 505625 UGC11538 I 75    20:30:03.76 +60:25:17.1 2000.00  04:04 1.183  WFC   75.0  180  i                                
 505626 UGC11538 I 75    20:32:14.45 +60:32:16.8 2000.00  04:05 1.185  WFC   75.0  180  i                                
 505627 UGC11538 R 75    20:30:57.61 +60:25:52.0 2000.00  04:08 1.182  WFC   75.0  180  r                                
 505628 UGC11538 R 75    20:30:09.29 +60:30:51.9 2000.00  04:10 1.182  WFC   75.0  180  r                                
 505629 UGC11538 R 75    20:32:22.56 +60:32:18.2 2000.00  04:12 1.182  WFC   75.0  180  r                                
 505630 UGC11538 R 75    20:29:32.64 +60:19:25.7 2000.00  04:14 1.178  WFC   75.0  180  r                                
 505631 UGC11538 R 75    20:30:13.18 +60:25:23.1 2000.00  04:16 1.179  WFC   75.0  180  r                                
 505632 UGC11538 R 75    20:32:26.45 +60:26:49.5 2000.00  04:18 1.179  WFC   74.6  180  r                                
 505633 UGC11538 R       20:29:24.86 +60:30:23.1 2000.00  04:20 1.178  WFC  299.9  180  r                                
 505634 UGC11538 R       20:30:53.71 +60:31:20.6 2000.00  04:26 1.177  WFC  296.0  180  r                                guided in between of two stars: BAD quality
 505635 UGC11538 R       20:31:42.03 +60:26:20.5 2000.00  04:32 1.175  WFC  299.9  180  r                                
 505636 UGC11538 R       20:29:28.75 +60:24:54.4 2000.00  04:38 1.175  WFC  299.9  180  r                                
 505637 calib8 R 20      19:37:41.60 +00:26:51.0 2000.00  04:45 1.167  WFC   20.1  180  r                                
 505638 calib8 R 5       19:37:41.59 +00:26:51.0 2000.00  04:46 1.168  WFC    5.1  180  r                                
 505639 calib8 R 3       19:37:41.60 +00:26:51.0 2000.00  04:47 1.169  WFC    3.1  180  r                                
 505640 calib8 I 3       19:37:41.60 +00:26:51.0 2000.00  04:47 1.170  WFC    3.1  180  i                                
 505641 calib8 I 5       19:37:41.59 +00:26:50.9 2000.00  04:48 1.171  WFC    5.1  180  i                                
 505642 calib8 I 20      19:37:41.60 +00:26:51.0 2000.00  04:49 1.172  WFC   20.1  180  i                                
 505643 calib 9 I 20     22:16:21.69 -00:21:47.4 2000.00  04:51 1.259  WFC   19.5  180  i                                
 505644 calib9 I 5       22:16:21.69 -00:21:46.5 2000.00  04:52 1.257  WFC    5.1  180  i                                
 505645 calib9 I 3       22:16:21.69 -00:21:47.0 2000.00  04:53 1.255  WFC    3.0  180  i                                
 505646 calib9 R 3       22:16:21.70 -00:21:47.0 2000.00  04:53 1.253  WFC    3.1  180  r                                
 505647 calib9 R 5       22:16:21.69 -00:21:47.0 2000.00  04:54 1.252  WFC    5.1  180  r                                
 505648 calib9 R 20      22:16:21.70 -00:21:47.0 2000.00  04:55 1.249  WFC   20.1  180  r                                
 505649 calib10 R 20     22:41:35.10 +01:11:10.1 2000.00  04:57 1.294  WFC   19.6  180  r                                
 505650 calib10 R 5      22:41:35.10 +01:11:09.9 2000.00  04:58 1.291  WFC    5.1  180  r                                
 505651 calib10 R 3      22:41:35.10 +01:11:09.9 2000.00  04:58 1.288  WFC    3.1  180  r                                
 505652 calib10 I 3      22:41:35.10 +01:11:10.0 2000.00  04:59 1.286  WFC    2.6  180  i                                
 505653 calib10 I 5      22:41:35.10 +01:11:09.9 2000.00  05:00 1.284  WFC    5.1  180  i                                
 505654 calib10 I 20     22:41:35.09 +01:11:09.9 2000.00  05:01 1.281  WFC   20.1  180  i                                
 505655 calib11 I 20     18:42:48.20 +00:06:29.0 2000.00  05:03 1.340  WFC   20.1  180  i                                
