INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514044 NGC7128 g        21:44:06.50 +53:39:00.0 2000.00  22:46 1.807  WFC   59.5  180  g                                
 514045 NGC7128 r        21:44:06.49 +53:38:59.9 2000.00  22:48 1.796  WFC   40.0  180  r                                
 514046 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  22:49 1.786  WFC   60.1  180  stromgren u                      
 514047 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  22:51 1.775  WFC   50.1  180  stromgren v                      
 514048 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  22:52 1.765  WFC   45.1  180  stromgren b                      
 514049 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  22:54 1.756  WFC   40.1  180  stromgren y                      
 514050 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  22:55 1.746  WFC   60.1  180  g                                
 514051 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  22:57 1.736  WFC   39.5  180  r                                
 514052 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  22:58 1.727  WFC   50.1  180  stromgren u                      
 514053 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  23:00 1.718  WFC   40.1  180  stromgren v                      
 514054 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  23:01 1.710  WFC   30.1  180  stromgren b                      
 514055 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  23:02 1.703  WFC   30.1  180  stromgren y                      
 514056 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  23:03 1.694  WFC   60.0  180  g                                
 514057 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  23:05 1.686  WFC   30.1  180  r                                
