INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 14 07:19

TELESCOPE             INT
DATE                  20060713
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         22:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         02:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly windy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
Telescope spontaneously defocussed twice during the night for reasons known only to itself.
Substantial manual intervention made continued observations possible, but this fault needs fixing.


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514473 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:50 1.756  WFC   35.1  180  stromgren v                      
 514474 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:51 1.748  WFC   29.5  180  stromgren b                      
 514475 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:52 1.741  WFC   29.5  180  stromgren y                      
 514476 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:54 1.731  WFC   60.1  180  g                                
 514477 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:55 1.722  WFC   40.1  180  r                                
 514478 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:57 1.713  WFC   45.1  180  stromgren u                      
 514479 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:58 1.705  WFC   35.1  180  stromgren v                      
 514480 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:59 1.698  WFC   30.1  180  stromgren b                      
 514481 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:01 1.690  WFC   30.1  180  stromgren y                      
 514482 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:02 1.682  WFC   60.1  180  g                                
 514483 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:03 1.673  WFC   40.1  180  r                                
 514484 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:05 1.665  WFC   45.0  180  stromgren u                      
 514485 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:06 1.657  WFC   34.6  180  stromgren v                      
 514486 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:07 1.650  WFC   30.1  180  stromgren b                      
 514487 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:09 1.644  WFC   30.1  180  stromgren y                      
 514488 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:10 1.636  WFC   60.1  180  g                                
 514489 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:12 1.628  WFC   40.1  180  r                                
 514490 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:13 1.620  WFC   45.1  180  stromgren u                      
 514491 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:14 1.613  WFC   35.1  180  stromgren v                      
 514492 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:16 1.607  WFC   30.1  180  stromgren b                      
 514493 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:17 1.600  WFC   30.1  180  stromgren y                      
 514494 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:18 1.593  WFC   60.0  180  g                                
 514495 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  23:20 1.585  WFC   40.1  180  r                                
 514496 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:21 1.578  WFC   45.1  180  stromgren u                      
 514497 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:23 1.571  WFC   35.1  180  stromgren v                      
 514498 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  23:24 1.565  WFC   30.1  180  stromgren b                      
 514499 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:25 1.559  WFC   30.0  180  stromgren y                      
 514500 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:26 1.552  WFC   60.1  180  g                                
 514501 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:28 1.545  WFC   39.5  180  r                                
 514502 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:29 1.539  WFC   45.1  180  stromgren u                      
 514503 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:31 1.533  WFC   35.1  180  stromgren v                      
 514504 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:32 1.527  WFC   30.1  180  stromgren b                      
 514505 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:33 1.522  WFC   30.1  180  stromgren y                      
 514506 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:34 1.515  WFC   60.1  180  g                                
 514507 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:36 1.509  WFC   40.1  180  r                                
 514508 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:37 1.502  WFC   45.1  180  stromgren u                      
 514509 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:39 1.497  WFC   35.1  180  stromgren v                      
 514510 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  23:40 1.491  WFC   29.5  180  stromgren b                      
 514511 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:41 1.486  WFC   30.1  180  stromgren y                      
 514512 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:43 1.480  WFC   60.0  180  g                                
 514513 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:44 1.474  WFC   40.0  180  r                                
 514514 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:46 1.468  WFC   44.5  180  stromgren u                      
 514515 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:47 1.463  WFC   35.1  180  stromgren v                      
 514516 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:48 1.458  WFC   29.5  180  stromgren b                      
 514517 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:49 1.454  WFC   30.1  180  stromgren y                      
 514518 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:51 1.448  WFC   60.1  180  g                                
 514519 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:52 1.442  WFC   40.1  180  r                                
 514520 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:54 1.437  WFC   45.1  180  stromgren u                      
 514521 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:55 1.432  WFC   35.1  180  stromgren v                      
 514522 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:56 1.427  WFC   30.1  180  stromgren b                      
 514523 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  23:58 1.423  WFC   30.1  180  stromgren y                      
 514524 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:59 1.418  WFC   60.1  180  g                                
 514525 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:00 1.412  WFC   40.1  180  r                                
 514526 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:02 1.407  WFC   45.1  180  stromgren u                      
 514527 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:03 1.403  WFC   35.1  180  stromgren v                      
 514528 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:05 1.398  WFC   30.1  180  stromgren b                      
 514529 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:06 1.394  WFC   30.1  180  stromgren y                      
 514530 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:07 1.389  WFC   60.1  180  g                                
 514531 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:09 1.384  WFC   40.1  180  r                                
 514532 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:10 1.380  WFC   45.1  180  stromgren u                      
 514533 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:11 1.375  WFC   34.5  180  stromgren v                      
 514534 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:13 1.371  WFC   30.0  180  stromgren b                      
 514535 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:14 1.368  WFC   30.1  180  stromgren y                      
 514537 NGC7128          21:44:19.99 +53:44:00.1 2000.00  01:11 1.225  WFC   10.1  180  r                                
 514538 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:12 1.222  WFC   45.1  180  stromgren u                      
 514539 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:14 1.219  WFC   34.5  180  stromgren v                      
 514540 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:15 1.217  WFC   29.5  180  stromgren b                      
 514541 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:16 1.215  WFC   30.1  180  stromgren y                      
 514542 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:17 1.212  WFC   60.0  180  g                                
 514543 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:19 1.210  WFC   40.1  180  r                                
 514544 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:21 1.207  WFC   44.5  180  stromgren u                      
 514545 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:22 1.205  WFC   34.6  180  stromgren v                      
 514546 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:23 1.203  WFC   30.1  180  stromgren b                      
 514547 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:24 1.201  WFC   29.5  180  stromgren y                      
 514548 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:26 1.198  WFC   59.5  180  g                                
 514549 NGC7128 r        21:44:20.00 +53:43:59.8 2000.00  01:27 1.196  WFC   40.1  180  r                                
 514550 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:29 1.193  WFC   45.1  180  stromgren u                      
 514551 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:30 1.191  WFC   34.6  180  stromgren v                      
 514552 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:31 1.189  WFC   30.1  180  stromgren b                      
 514553 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:33 1.188  WFC   30.1  180  stromgren y                      
 514554 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:34 1.185  WFC   60.1  180  g                                
 514555 NGC7128 r        21:44:19.99 +53:44:00.1 2000.00  01:35 1.183  WFC   40.1  180  r                                
 514556 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:37 1.181  WFC   45.1  180  stromgren u                      
 514557 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:38 1.179  WFC   34.5  180  stromgren v                      
 514558 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:39 1.177  WFC   30.1  180  stromgren b                      
 514559 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  01:41 1.176  WFC   30.1  180  stromgren y                      
 514560 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:42 1.174  WFC   60.1  180  g                                
 514561 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:44 1.171  WFC   40.0  180  r                                
 514562 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:45 1.170  WFC   45.0  180  stromgren u                      
 514563 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:46 1.168  WFC   35.1  180  stromgren v                      
 514564 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:48 1.166  WFC   30.1  180  stromgren b                      
 514565 NGC7128 y        21:44:20.00 +53:44:00.1 2000.00  01:49 1.165  WFC   30.1  180  stromgren y                      
 514566 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:50 1.163  WFC   60.0  180  g                                
 514567 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:52 1.161  WFC   40.0  180  r                                
 514568 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:53 1.159  WFC   45.1  180  stromgren u                      
 514569 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:54 1.157  WFC   35.1  180  stromgren v                      
 514570 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:56 1.156  WFC   30.1  180  stromgren b                      
 514571 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:57 1.155  WFC   30.1  180  stromgren y                      
 514572 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  01:58 1.153  WFC   60.1  180  g                                
 514573 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:00 1.151  WFC   40.1  180  r                                
 514574 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:01 1.150  WFC   45.1  180  stromgren u                      
 514575 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:03 1.148  WFC   35.1  180  stromgren v                      
 514576 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:04 1.147  WFC   29.6  180  stromgren b                      
 514577 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:05 1.146  WFC   30.1  180  stromgren y                      
 514578 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:06 1.144  WFC   60.1  180  g                                
 514579 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:08 1.143  WFC   40.1  180  r                                
 514580 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:09 1.141  WFC   45.1  180  stromgren u                      
