 451352 v849her          16:35:46.00 +11:24:58.0 2000.00  00:06 1.140  WFC   40.1  180  g                                
 451353 v849her          16:35:45.99 +11:24:58.0 2000.00  00:07 1.137  WFC   40.1  180  g                                
 451354 v849her          16:35:46.00 +11:24:57.9 2000.00  00:08 1.135  WFC   40.1  180  g                                
 451355 v849her          16:35:45.99 +11:24:58.0 2000.00  00:10 1.132  WFC   40.0  180  g                                
 451356 v849her          16:35:46.00 +11:24:57.9 2000.00  00:11 1.130  WFC   40.1  180  g                                
 451357 v849her          16:35:46.00 +11:24:58.0 2000.00  00:12 1.128  WFC   40.1  180  g                                
 451360 1429+4145        14:29:55.99 +41:45:17.1 2000.00  00:16 1.036  WFC   59.5  180  g                                
 451361 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:18 1.037  WFC   60.1  180  g                                
 451362 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:19 1.038  WFC   60.1  180  g                                
 451363 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:21 1.038  WFC   60.1  180  g                                
 451364 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:23 1.039  WFC   59.5  180  g                                
 451365 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:24 1.040  WFC   59.5  180  g                                
 451366 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:26 1.041  WFC   60.1  180  g                                
 451367 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:27 1.042  WFC   60.0  180  g                                
 451368 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:29 1.044  WFC   60.0  180  g                                
 451369 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:31 1.045  WFC   60.1  180  g                                
 451370 1429+4145        14:29:55.99 +41:45:16.8 2000.00  00:32 1.046  WFC   60.1  180  g                                
 451371 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:34 1.047  WFC   60.0  180  g                                
 451372 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:36 1.048  WFC   60.1  180  g                                
 451373 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:37 1.050  WFC   59.5  180  g                                
 451374 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:39 1.051  WFC   60.1  180  g                                
 451375 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:40 1.052  WFC   60.1  180  g                                
 451376 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:42 1.054  WFC   60.1  180  g                                
 451377 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:44 1.055  WFC   60.1  180  g                                
 451378 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:45 1.057  WFC   59.5  180  g                                
 451379 1429+4145        14:29:56.00 +41:45:17.0 2000.00  00:47 1.058  WFC   60.0  180  g                                
 451380 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:49 1.060  WFC   60.1  180  g                                
 451381 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:50 1.061  WFC   60.0  180  g                                
 451382 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:52 1.063  WFC   60.0  180  g                                
 451383 1429+4145        14:29:55.99 +41:45:17.0 2000.00  00:53 1.065  WFC   59.5  180  g                                
 451384 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:55 1.066  WFC   60.0  180  g                                
 451385 1429+4145        14:29:55.99 +41:45:16.9 2000.00  00:57 1.068  WFC   59.5  180  g                                
 451386 1429+4145        14:29:56.00 +41:45:16.9 2000.00  00:58 1.070  WFC   60.1  180  g                                
 451387 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:00 1.072  WFC   60.1  180  g                                
 451388 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:02 1.074  WFC   60.1  180  g                                
 451389 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:03 1.076  WFC   60.1  180  g                                
 451390 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:05 1.078  WFC   60.1  180  g                                
 451391 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:06 1.080  WFC   59.6  180  g                                
 451392 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:08 1.082  WFC   60.1  180  g                                
 451393 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:10 1.084  WFC   60.1  180  g                                
 451394 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:11 1.086  WFC   60.1  180  g                                
 451395 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:13 1.088  WFC   59.5  180  g                                
 451396 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:15 1.090  WFC   60.1  180  g                                
 451397 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:16 1.093  WFC   60.1  180  g                                
 451398 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:18 1.095  WFC   60.0  180  g                                
 451399 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:19 1.097  WFC   60.0  180  g                                
 451400 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:21 1.100  WFC   60.1  180  g                                
 451401 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:23 1.102  WFC   59.5  180  g                                
 451402 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:24 1.105  WFC   60.0  180  g                                
 451403 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:26 1.107  WFC   60.0  180  g                                
 451404 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:27 1.110  WFC   59.5  180  g                                
 451405 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:29 1.113  WFC   59.0  180  g                                
 451406 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:31 1.115  WFC   60.0  180  g                                
 451407 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:32 1.118  WFC   60.0  180  g                                
 451408 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:34 1.121  WFC   60.0  180  g                                
 451409 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:36 1.124  WFC   60.1  180  g                                
 451410 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:37 1.127  WFC   60.1  180  g                                
 451411 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:39 1.130  WFC   60.1  180  g                                
 451412 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:40 1.133  WFC   60.1  180  g                                
 451413 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:42 1.136  WFC   60.0  180  g                                
 451414 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:44 1.139  WFC   60.1  180  g                                
 451415 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:45 1.142  WFC   59.5  180  g                                
 451416 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:47 1.145  WFC   59.6  180  g                                
 451417 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:49 1.148  WFC   60.1  180  g                                
 451418 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:50 1.152  WFC   60.1  180  g                                
 451419 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:52 1.155  WFC   60.0  180  g                                
 451420 1429+4145        14:29:56.00 +41:45:16.9 2000.00  01:53 1.159  WFC   60.0  180  g                                
 451421 1429+4145        14:29:55.99 +41:45:17.0 2000.00  01:55 1.162  WFC   60.1  180  g                                
 451422 1429+4145        14:29:56.00 +41:45:17.0 2000.00  01:57 1.166  WFC   59.5  180  g                                
 451423 1429+4145        14:29:55.99 +41:45:16.9 2000.00  01:58 1.169  WFC   60.1  180  g                                
 451424 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:00 1.173  WFC   60.0  180  g                                
 451425 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:02 1.177  WFC   60.1  180  g                                
 451426 1429+4145        14:29:56.00 +41:45:16.9 2000.00  02:03 1.180  WFC   60.0  180  g                                
 451427 1429+4145        14:29:56.00 +41:45:17.0 2000.00  02:05 1.184  WFC   60.1  180  g                                
 451429 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:11 1.049  WFC   40.1  180  g                                
 451430 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:12 1.050  WFC   40.1  180  g                                
 451431 1604+4143        16:04:49.99 +41:43:28.9 2000.00  02:13 1.051  WFC   40.1  180  g                                
 451432 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:15 1.052  WFC   40.1  180  g                                
 451433 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:16 1.053  WFC   40.1  180  g                                
 451434 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:17 1.054  WFC   40.1  180  g                                
 451435 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:18 1.055  WFC   40.1  180  g                                
 451436 1604+4143        16:04:50.00 +41:43:28.9 2000.00  02:20 1.056  WFC   40.1  180  g                                
 451437 1604+4143        16:04:49.99 +41:43:29.0 2000.00  02:21 1.057  WFC   39.5  180  g                                
 451438 1604+4143        16:04:50.00 +41:43:29.0 2000.00  02:22 1.059  WFC   40.1  180  g                                
