 509740 uvex_4234o U     18:50:41.90 -03:05:00.0 2000.00  23:07 1.514  WFC  119.5  180  U                                
 509741 uvex_4234o g     18:50:41.90 -03:04:59.9 2000.00  23:10 1.504  WFC   30.1  180  g                                
 509742 uvex_4235 He1    18:50:22.03 +01:14:00.3 2000.00  23:11 1.414  WFC  120.0  180  HeI 5870                         
 509743 uvex_4235 r      18:50:22.03 +01:13:59.9 2000.00  23:14 1.405  WFC   30.1  180  r                                
 509744 uvex_4235 U      18:50:22.03 +01:14:00.0 2000.00  23:15 1.395  WFC  120.0  180  U                                
 509745 uvex_4235 g      18:50:22.02 +01:14:00.0 2000.00  23:18 1.388  WFC   30.1  180  g                                
 509746 uvex_4235o He1   18:50:42.03 +01:19:00.0 2000.00  23:19 1.379  WFC  120.1  180  HeI 5870                         
 509747 uvex_4235o r     18:50:42.04 +01:19:00.0 2000.00  23:22 1.371  WFC   30.1  180  r                                
 509748 uvex_4235o U     18:50:42.03 +01:18:59.9 2000.00  23:23 1.363  WFC  120.0  180  U                                
 509749 uvex_4235o g     18:50:42.03 +01:19:00.0 2000.00  23:26 1.356  WFC   30.1  180  g                                
 509750 sa110-246 HeI    18:41:50.87 +00:05:08.8 2000.00  23:30 1.326  WFC   29.5  180  HeI 5870                         
 509751 sa110-246 r      18:41:50.87 +00:05:09.0 2000.00  23:31 1.322  WFC   10.1  180  r                                
 509752 sa110-246 U      18:41:50.87 +00:05:08.9 2000.00  23:32 1.318  WFC   30.1  180  U                                
 509753 sa110-246 g      18:41:50.87 +00:05:08.9 2000.00  23:34 1.314  WFC   10.1  180  g                                
 509754 uvex_6313 He1    20:59:13.38 +39:32:59.5 2000.00  23:37 1.635  WFC  119.5  180  HeI 5870                         
 509755 uvex_6313 r      20:59:13.38 +39:32:59.6 2000.00  23:39 1.622  WFC   30.1  180  r                                
 509756 uvex_6313 U      20:59:13.38 +39:32:59.5 2000.00  23:40 1.609  WFC  119.5  180  U                                
 509757 uvex_6313 g      20:59:13.38 +39:32:59.5 2000.00  23:43 1.595  WFC   29.5  180  g                                
 509758 uvex_6313o He1   20:59:39.35 +39:37:59.4 2000.00  23:44 1.586  WFC  119.5  180  HeI 5870                         
 509759 uvex_6313o r     20:59:39.35 +39:37:59.5 2000.00  23:47 1.573  WFC   30.1  180  r                                
 509760 uvex_6313o U     20:59:39.34 +39:37:59.6 2000.00  23:48 1.561  WFC  120.0  180  U                                
 509761 uvex_6313o g     20:59:39.35 +39:37:59.6 2000.00  23:51 1.549  WFC   30.1  180  g                                
 509762 uvex_6317 He1    20:59:36.97 +41:00:59.2 2000.00  23:52 1.533  WFC  120.0  180  HeI 5870                         
 509763 uvex_6317 r      20:59:36.97 +41:00:59.6 2000.00  23:55 1.521  WFC   30.1  180  r                                
 509764 uvex_6317 U      20:59:36.98 +41:00:59.5 2000.00  23:56 1.510  WFC  120.0  180  U                                
 509765 uvex_6317 g      20:59:36.97 +41:00:59.6 2000.00  23:59 1.500  WFC   30.1  180  g                                
 509766 uvex_6317o He1   21:00:03.51 +41:05:59.7 2000.00  00:00 1.491  WFC  120.1  180  HeI 5870                         
 509767 uvex_6317o r     21:00:03.52 +41:05:59.6 2000.00  00:03 1.481  WFC   30.1  180  r                                
 509768 uvex_6317o U     21:00:03.52 +41:05:59.6 2000.00  00:04 1.471  WFC  120.0  180  U                                
 509769 uvex_6317o g     21:00:03.52 +41:05:59.6 2000.00  00:06 1.461  WFC   30.1  180  g                                
 509770 uvex_6319 He1    20:59:48.67 +38:37:59.4 2000.00  00:08 1.454  WFC  120.0  180  HeI 5870                         
 509771 uvex_6319 r      20:59:48.68 +38:37:59.5 2000.00  00:10 1.444  WFC   29.6  180  r                                
 509772 uvex_6319 U      20:59:48.68 +38:37:59.5 2000.00  00:11 1.435  WFC  120.0  180  U                                
 509773 uvex_6319 g      20:59:48.68 +38:37:59.6 2000.00  00:14 1.425  WFC   30.1  180  g                                
