 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 565213 field3           19:42:00.00 +19:05:59.9 2000.00  04:06 1.025  WFC   30.0  180  CLEAR                            
 565214 field3           19:41:59.99 +19:05:59.9 2000.00  04:07 1.026  WFC   30.1  180  CLEAR                            
 565215 field3           19:42:00.00 +19:06:00.0 2000.00  04:08 1.027  WFC   30.1  180  CLEAR                            
 565216 field3           19:41:59.99 +19:05:59.9 2000.00  04:09 1.027  WFC   30.1  180  CLEAR                            
 565217 field3           19:41:59.99 +19:06:00.0 2000.00  04:10 1.028  WFC   30.1  180  CLEAR                            
 565218 field3           19:42:00.00 +19:05:59.9 2000.00  04:11 1.029  WFC   29.5  180  CLEAR                            
 565219 field3           19:41:59.99 +19:06:00.0 2000.00  04:12 1.029  WFC   30.1  180  CLEAR                            
 565220 field3           19:42:00.00 +19:05:59.9 2000.00  04:13 1.030  WFC   30.1  180  CLEAR                            
 565221 field3           19:42:00.00 +19:05:59.9 2000.00  04:14 1.031  WFC   30.1  180  CLEAR                            
 565222 field3           19:42:00.00 +19:06:00.0 2000.00  04:15 1.032  WFC   30.1  180  CLEAR                            
 565223 field3           19:41:59.99 +19:06:00.0 2000.00  04:16 1.032  WFC   30.1  180  CLEAR                            
 565224 field3           19:42:00.00 +19:06:00.0 2000.00  04:17 1.033  WFC   30.1  180  CLEAR                            
 565225 field3           19:41:59.99 +19:06:00.0 2000.00  04:18 1.034  WFC   30.1  180  CLEAR                            
