 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 709474 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:09 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709475 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:09 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709476 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:10 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709477 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:10 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709478 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:10 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709479 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:13 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709480 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:14 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709481 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:14 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709482 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:14 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709483 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:14 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709484 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:15 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709485 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:15 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709486 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:15 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709487 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:15 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709488 Flat field        0:00:00.00 +00:00:00.0  2009.91 17:16 1.000  IDS    3.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709489 Arc short         0:00:00.00 +00:00:00.0  2009.91 18:27 1.000  IDS    7.0   -0  Clear+Clear   1.0  65.3 5497.1   
 709490 Arc long          0:00:00.00 +00:00:00.0  2009.91 18:27 1.000  IDS   60.0   -0  Clear+Clear   1.0  65.3 5497.1   
