 562930 intphas_4908o Ha 19:26:29.46 +07:44:00.0 2000.00  00:49 1.570  WFC  120.0  180  Halpha                           
 562931 intphas_4908o r  19:26:29.45 +07:43:59.9 2000.00  00:51 1.557  WFC   30.1  180  r                                
 562932 intphas_4908o i  19:26:29.45 +07:44:00.0 2000.00  00:52 1.551  WFC   10.2  180  i                                
 562933 intphas_4740 Ha  19:17:23.87 +03:58:59.8 2000.00  00:53 1.543  WFC  120.0  180  Halpha                           
 562934 intphas_4740 r   19:17:23.86 +03:58:59.9 2000.00  00:56 1.532  WFC   30.1  180  r                                
 562935 intphas_4740 i   19:17:23.86 +03:59:00.0 2000.00  00:57 1.526  WFC   10.1  180  i                                
 562936 intphas_4740o Ha 19:17:43.92 +04:04:00.0 2000.00  00:58 1.516  WFC  119.5  180  Halpha                           
 562937 intphas_4740o r  19:17:43.91 +04:03:59.9 2000.00  01:00 1.505  WFC   30.1  180  r                                
 562938 intphas_4740o i  19:17:43.92 +04:04:00.0 2000.00  01:02 1.499  WFC   10.1  180  i                                
 562939 intphas_4372 Ha  18:59:08.65 +07:49:59.8 2000.00  01:03 1.342  WFC  120.0  180  Halpha                           
 562940 intphas_4372 r   18:59:08.66 +07:50:00.0 2000.00  01:05 1.335  WFC   30.1  180  r                                
 562941 intphas_4372 i   18:59:08.66 +07:50:00.0 2000.00  01:06 1.331  WFC    9.5  180  i                                
 562942 intphas_4372o Ha 18:59:28.86 +07:55:00.0 2000.00  01:07 1.324  WFC  119.5  180  Halpha                           
 562943 intphas_4372o r  18:59:28.85 +07:55:00.0 2000.00  01:10 1.317  WFC   30.1  180  r                                
 562944 intphas_4372o i  18:59:28.85 +07:54:59.9 2000.00  01:11 1.313  WFC   10.1  180  i                                
 562945 intphas_5374 Ha  19:51:38.45 +19:00:59.6 2000.00  01:12 1.434  WFC  119.5  180  Halpha                           
 562946 intphas_5374 r   19:51:38.46 +19:00:59.9 2000.00  01:14 1.424  WFC   29.5  180  r                                
 562947 intphas_5374 i   19:51:38.44 +19:00:59.8 2000.00  01:16 1.419  WFC   10.1  180  i                                
 562948 intphas_5374o Ha 19:51:59.62 +19:05:59.7 2000.00  01:16 1.411  WFC  120.0  180  Halpha                           
 562949 intphas_5374o r  19:51:59.62 +19:05:59.8 2000.00  01:19 1.401  WFC   29.5  180  r                                
 562950 intphas_5374o i  19:51:59.61 +19:05:59.9 2000.00  01:20 1.396  WFC   10.1  180  i                                
 562951 intphas_5571 Ha  20:03:26.12 +24:19:59.9 2000.00  01:21 1.403  WFC  120.0  180  Halpha                           
 562952 intphas_5571 r   20:03:26.12 +24:19:59.9 2000.00  01:24 1.393  WFC   30.1  180  r                                
 562953 intphas_5571 i   20:03:26.11 +24:19:59.8 2000.00  01:25 1.388  WFC   10.1  180  i                                
 562954 intphas_5571o Ha 20:03:48.07 +24:24:59.7 2000.00  01:26 1.381  WFC  120.0  180  Halpha                           
 562955 intphas_5571o r  20:03:48.08 +24:24:59.8 2000.00  01:28 1.372  WFC   30.1  180  r                                
 562956 intphas_5571o i  20:03:48.07 +24:24:59.9 2000.00  01:29 1.368  WFC   10.1  180  i                                
 562957 intphas_5572 Ha  20:03:33.54 +25:47:59.6 2000.00  01:30 1.349  WFC  120.0  180  Halpha                           
 562958 intphas_5572 r   20:03:33.55 +25:47:59.7 2000.00  01:33 1.341  WFC   30.1  180  r                                
 562959 intphas_5572 i   20:03:33.54 +25:47:59.8 2000.00  01:34 1.337  WFC   10.1  180  i                                
 562960 intphas_5572o Ha 20:03:55.77 +25:52:59.6 2000.00  01:35 1.331  WFC  120.0  180  Halpha                           
 562961 intphas_5572o r  20:03:55.78 +25:52:59.8 2000.00  01:37 1.323  WFC   30.1  180  r                                
 562962 intphas_5572o i  20:03:55.78 +25:52:59.8 2000.00  01:38 1.319  WFC   10.1  180  i                                
 562963 intphas_5580 Ha  20:03:57.40 +21:57:00.0 2000.00  01:39 1.334  WFC  120.0  180  Halpha                           
 562964 intphas_5580 r   20:03:57.40 +21:56:59.9 2000.00  01:42 1.326  WFC   30.1  180  r                                
 562965 intphas_5580 i   20:03:57.41 +21:56:59.9 2000.00  01:43 1.322  WFC   10.1  180  i                                
 562966 intphas_5580o Ha 20:04:18.98 +22:01:59.7 2000.00  01:44 1.315  WFC  120.0  180  Halpha                           
 562967 intphas_5580o r  20:04:18.99 +22:01:59.8 2000.00  01:46 1.308  WFC   30.1  180  r                                
 562968 intphas_5580o i  20:04:18.98 +22:01:59.8 2000.00  01:47 1.304  WFC   10.1  180  i                                
 562969 intphas_5582 Ha  20:04:06.91 +23:24:59.8 2000.00  01:48 1.288  WFC  120.0  180  Halpha                           
 562970 intphas_5582 r   20:04:06.90 +23:24:59.9 2000.00  01:51 1.281  WFC   30.1  180  r                                
 562971 intphas_5582 i   20:04:06.90 +23:24:59.8 2000.00  01:52 1.277  WFC   10.1  180  i                                
 562972 intphas_5582o Ha 20:04:28.72 +23:29:59.8 2000.00  01:53 1.272  WFC  120.0  180  Halpha                           
 562973 intphas_5582o r  20:04:28.71 +23:29:59.9 2000.00  01:55 1.265  WFC   30.1  180  r                                
 562974 intphas_5582o i  20:04:28.71 +23:29:59.9 2000.00  01:56 1.261  WFC   10.1  180  i                                
 562975 intphas_5584 Ha  20:04:15.45 +24:52:59.7 2000.00  01:57 1.248  WFC  120.0  180  Halpha                           
 562976 intphas_5584 r   20:04:15.44 +24:52:59.8 2000.00  02:00 1.241  WFC   30.1  180  r                                
 562977 intphas_5584 i   20:04:15.44 +24:52:59.8 2000.00  02:01 1.238  WFC   10.1  180  i                                
 562978 intphas_5584o Ha 20:04:37.50 +24:58:00.0 2000.00  02:02 1.233  WFC  120.0  180  Halpha                           
 562979 intphas_5584o r  20:04:37.50 +24:57:59.8 2000.00  02:04 1.227  WFC   30.1  180  r                                
