 472917 BE12              4:44:35.98 +42:21:00.0 2000.00  04:35 1.035  WFC   90.0  180  i                                
 472918 BE17              5:20:35.99 +30:36:00.2 2000.00  04:38 1.032  WFC   90.0  180  i                                
 472919 BE17              5:20:35.99 +30:36:00.0 2000.00  04:40 1.029  WFC   90.0  180  V                                
 472920 BE17              5:20:35.99 +30:36:00.0 2000.00  04:43 1.027  WFC  120.0  180  B                                
 472921 BE18              5:22:12.00 +45:27:00.1 2000.00  04:46 1.066  WFC  120.0  180  B                                
 472922 BE18              5:22:12.00 +45:27:00.0 2000.00  04:48 1.064  WFC   90.0  180  V                                
 472923 BE18              5:22:12.00 +45:26:59.9 2000.00  04:51 1.062  WFC   90.0  180  i                                
 472924 BE20              5:32:35.00 +00:10:59.5 2000.00  04:54 1.179  WFC   90.0  180  i                                
 472925 BE20              5:32:35.00 +00:10:59.9 2000.00  04:56 1.176  WFC   90.0  180  V                                
 472926 BE20              5:32:34.99 +00:10:59.9 2000.00  05:00 1.171  WFC  120.0  180  B                                
 472927 BE70              5:25:42.00 +41:53:59.9 2000.00  05:04 1.039  WFC  120.0  180  B                                
 472928 BE70              5:25:42.00 +41:54:00.0 2000.00  05:07 1.038  WFC   89.5  180  V                                
 472929 BE70              5:25:42.00 +41:54:00.0 2000.00  05:09 1.037  WFC   89.5  180  i                                
 472930 BE32              6:58:06.00 +06:26:00.0 2000.00  05:12 1.261  WFC   90.1  180  i                                
 472931 BE32              6:58:06.00 +06:26:00.0 2000.00  05:14 1.254  WFC   90.0  180  V                                
 472932 BE32              6:58:06.00 +06:25:59.9 2000.00  05:17 1.246  WFC  120.0  180  B                                
 472933 TR5               6:36:30.00 +09:26:59.9 2000.00  05:20 1.156  WFC  120.0  180  B                                
 472934 TR5               6:36:30.00 +09:27:00.0 2000.00  05:22 1.151  WFC   90.0  180  V                                
 472935 TR5               6:36:30.00 +09:27:00.0 2000.00  05:25 1.146  WFC   89.5  180  i                                
 472936 BE39              7:46:41.99 -04:39:59.9 2000.00  05:27 1.592  WFC   90.0  180  i                                
 472937 BE39              7:46:41.99 -04:40:00.0 2000.00  05:30 1.578  WFC   90.0  180  V                                
 472938 BE39              7:46:41.99 -04:39:59.9 2000.00  05:32 1.564  WFC  119.5  180  B                                
 472939 BE19              5:24:06.00 +29:36:00.0 2000.00  05:39 1.000  WFC  120.0  180  B                                
 472940 BE19              5:24:06.00 +29:36:00.0 2000.00  05:42 1.000  WFC   90.0  180  V                                
 472941 BE19              5:24:06.00 +29:35:59.7 2000.00  05:44 1.000  WFC   89.5  180  i                                
 472942 BE21              5:51:41.99 +21:47:00.3 2000.00  05:49 1.012  WFC   89.5  180  i                                
 472943 BE21              5:51:41.99 +21:46:59.9 2000.00  05:52 1.011  WFC   89.5  180  V                                
 472944 BE21              5:51:41.99 +21:46:59.9 2000.00  05:54 1.010  WFC  120.0  180  B                                
