INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 07 02 06:41

TELESCOPE             INT
DATE                  20040701
OBSERVER/S            P.Guterman
PROGRAMME             CoRoT
PROPOSAL REF          CAT 
TELESCOPE OPERATOR    no one
SUPPORT ASTRONOMER    Antonio Garcia

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:43
SUNRISE (UT)          06:09
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       06:55
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:04

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  20.0   21     3.5   4.2  136   777.3   20.0  22.5    20.6   21    20 
22:00  19.7   18     6.5   6.8   48   777.7   19.7  21.1    20.8   18    17 
23:00  19.7   18    14.3  15.9   21   778.2   19.7  20.9    20.7   18    17 
00:00  19.9   17    18.1  19.3   45   778.5   19.9  20.8    20.7   17    17 
01:00  19.6   17    17.1  20.2   10   778.2   19.6  20.4    20.8   17    17 
02:00  19.4   17    13.6  14.6    2   777.9   19.4  20.2    20.6   17    17 
03:00  19.4   17    15.5  17.3    2   777.4   19.4  19.9    20.6   17    17 
04:00  19.6   16    18.3  19.0   11   777.1   19.6  19.9    20.6   16    16 
05:00  19.4   16    20.8  21.5   30   776.5   19.4  19.6    20.4   16    17 
06:00  19.6   14    19.6  20.0   23   776.5   19.6  19.7    20.4   14    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
not photometric. sahara dust brume  + full moon

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 405778 Bias frame                                        14:26        WFC    0.0       B                                
 405932 110-365          18:42:57.39 +00:07:22.8 J2000.00 01:42 1.149  WFC   20.1  180  B                                
 405933 110-365          18:42:57.39 +00:07:23.0 J2000.00 01:43 1.149  WFC    7.0  180  V                                
 405934 110-365          18:42:57.40 +00:07:22.9 J2000.00 01:44 1.150  WFC    4.6  180  r                                
 405935 110-365          18:42:57.39 +00:07:23.0 J2000.00 01:45 1.150  WFC    5.1  180  i                                
 405936 171834_110a      18:44:14.00 +03:57:00.2 J2000.00 01:47 1.113  WFC   40.1  180  B                                
 405937 171834_110a      18:44:14.00 +03:56:59.9 J2000.00 01:48 1.114  WFC   16.1  180  V                                
 405938 171834_110a      18:44:14.00 +03:57:00.1 J2000.00 01:49 1.114  WFC   10.1  180  r                                
 405939 171834_110a      18:44:13.99 +03:57:00.0 J2000.00 01:50 1.115  WFC   10.1  180  i                                
 405940 171834_111a      18:42:14.00 +03:57:00.0 J2000.00 01:51 1.117  WFC   40.1  180  B                                
 405941 171834_111a      18:42:14.00 +03:57:00.0 J2000.00 01:52 1.118  WFC   16.1  180  V                                
 405942 171834_111a      18:42:14.00 +03:57:00.0 J2000.00 01:53 1.119  WFC   10.1  180  r                                
 405943 171834_111a      18:42:14.00 +03:56:59.9 J2000.00 01:54 1.120  WFC   10.1  180  i                                
 405944 171834_112a      18:40:13.99 +03:57:00.0 J2000.00 01:55 1.123  WFC   39.6  180  B                                
 405945 171834_112a      18:40:14.00 +03:56:59.9 J2000.00 01:57 1.124  WFC   15.6  180  V                                
 405946 171834_112a      18:40:14.00 +03:57:00.0 J2000.00 01:58 1.125  WFC   10.1  180  r                                
 405947 171834_112a      18:40:13.99 +03:56:59.9 J2000.00 01:58 1.126  WFC   10.1  180  i                                
 405948 171834_113a      18:38:14.00 +03:56:59.9 J2000.00 01:59 1.129  WFC   39.6  180  B                                
 405949 171834_113a      18:38:14.00 +03:57:00.0 J2000.00 02:01 1.131  WFC   16.1  180  V                                
 405950 171834_113a      18:38:14.00 +03:57:00.0 J2000.00 02:02 1.132  WFC   10.1  180  r                                
 405951 171834_113a      18:38:13.99 +03:56:59.9 J2000.00 02:03 1.133  WFC   10.1  180  i                                
 405952 171834_114a      18:36:13.99 +03:57:00.0 J2000.00 02:04 1.136  WFC   40.1  180  B                                
 405953 171834_114a      18:36:13.99 +03:57:00.1 J2000.00 02:05 1.138  WFC   16.1  180  V                                
 405954 171834_114a      18:36:14.00 +03:56:59.9 J2000.00 02:06 1.139  WFC   10.1  180  r                                
 405955 171834_114a      18:36:14.00 +03:57:00.0 J2000.00 02:07 1.140  WFC   10.1  180  i                                
