 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 692273 Bias              0:00:00.00 +00:00:00.0  2009.69 14:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692274 Bias              0:00:00.00 +00:00:00.0  2009.69 14:57 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692275 Bias              0:00:00.00 +00:00:00.0  2009.69 14:58 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692276 Bias              0:00:00.00 +00:00:00.0  2009.69 14:58 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692277 Bias              0:00:00.00 +00:00:00.0  2009.69 14:58 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692278 Bias              0:00:00.00 +00:00:00.0  2009.69 14:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692279 Bias              0:00:00.00 +00:00:00.0  2009.69 14:59 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692280 Bias              0:00:00.00 +00:00:00.0  2009.69 15:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692281 Bias              0:00:00.00 +00:00:00.0  2009.69 15:00 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692282 Bias              0:00:00.00 +00:00:00.0  2009.69 15:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692283 Bias              0:00:00.00 +00:00:00.0  2009.69 15:01 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692284 Bias              0:00:00.00 +00:00:00.0  2009.69 15:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692285 Bias              0:00:00.00 +00:00:00.0  2009.69 15:02 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692286 Bias              0:00:00.00 +00:00:00.0  2009.69 15:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692287 Bias              0:00:00.00 +00:00:00.0  2009.69 15:03 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692288 Bias              0:00:00.00 +00:00:00.0  2009.69 15:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692289 Bias              0:00:00.00 +00:00:00.0  2009.69 15:04 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692290 Bias              0:00:00.00 +00:00:00.0  2009.69 15:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692291 Bias              0:00:00.00 +00:00:00.0  2009.69 15:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692292 Bias              0:00:00.00 +00:00:00.0  2009.69 15:05 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692293 Bias              0:00:00.00 +00:00:00.0  2009.69 15:06 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692294 Bias              0:00:00.00 +00:00:00.0  2009.69 15:06 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692295 Bias              0:00:00.00 +00:00:00.0  2009.69 15:07 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
 692296 Bias              0:00:00.00 +00:00:00.0  2009.69 15:07 1.000  IDS    0.0   -0  Clear+Clear   1.0  34.1 6499.4   
