 493560 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:27 1.013  WFC    9.5  180  r                                
 493561 2006BZ8 r        10:28:52.11 +22:34:20.3 2000.00  01:28 1.013  WFC    9.6  180  r                                
 493562 2006BZ8 V        10:28:52.11 +22:34:20.3 2000.00  01:30 1.014  WFC   10.1  180  V                                
 493563 2006BZ8 V        10:28:52.11 +22:34:20.3 2000.00  01:30 1.014  WFC   10.1  180  V                                
 493564 2006BZ8 V        10:28:52.11 +22:34:20.3 2000.00  01:31 1.015  WFC   10.1  180  V                                
 493565 2006BZ8 i        10:28:52.11 +22:34:20.2 2000.00  01:34 1.017  WFC   10.1  180  i                                
 493566 2006BZ8 i        10:28:52.11 +22:34:20.3 2000.00  01:35 1.017  WFC    9.6  180  i                                
 493567 2006BZ8 i        10:28:52.11 +22:34:20.4 2000.00  01:36 1.018  WFC   10.1  180  i                                
 493568 36P r            10:42:05.00 +03:16:25.9 2000.00  01:40 1.117  WFC   75.0  180  r                                
 493569 36P r            10:42:05.00 +03:16:25.9 2000.00  01:42 1.118  WFC   75.0  180  r                                
 493570 36P r            10:42:05.00 +03:16:25.9 2000.00  01:44 1.120  WFC   74.6  180  r                                
 493571 36P r            10:42:05.00 +03:16:25.9 2000.00  01:46 1.121  WFC   75.0  180  r                                
 493572 36P r            10:42:05.00 +03:16:25.9 2000.00  01:48 1.122  WFC   75.0  180  r                                
 493573 P/2004T1 r       10:57:24.98 +22:05:48.4 2000.00  01:54 1.013  WFC   60.0  180  r                                
 493574 P/2004T1 r       10:57:24.98 +22:05:48.3 2000.00  01:55 1.014  WFC   60.1  180  r                                
 493575 P/2004T1 r       10:57:24.98 +22:05:48.3 2000.00  01:57 1.015  WFC   60.1  180  r                                
 493576 P/2004T1 r       10:57:24.98 +22:05:48.2 2000.00  01:59 1.016  WFC   60.1  180  r                                
 493577 P/2004T1 r       10:57:24.98 +22:05:48.3 2000.00  02:01 1.017  WFC   59.5  180  r                                
 493578 72P r             9:50:15.02 +25:46:24.2 2000.00  02:08 1.098  WFC   50.1  180  r                                
 493579 72P r             9:50:15.02 +25:46:24.2 2000.00  02:09 1.101  WFC   50.1  180  r                                
 493580 72P r             9:50:15.02 +25:46:24.2 2000.00  02:11 1.104  WFC   50.1  180  r                                
 493581 72P r             9:50:15.02 +25:46:24.2 2000.00  02:12 1.107  WFC   50.1  180  r                                
 493582 72P r             9:50:15.02 +25:46:24.2 2000.00  02:14 1.110  WFC   50.0  180  r                                
 493583 36P r            10:42:05.00 +03:15:25.9 2000.00  02:20 1.160  WFC   75.1  180  r                                
 493584 36P r            10:42:05.00 +03:15:26.0 2000.00  02:21 1.162  WFC   75.0  180  r                                
 493585 36P r            10:42:05.01 +03:15:26.0 2000.00  02:23 1.165  WFC   75.0  180  r                                
 493586 36P r            10:42:05.00 +03:15:25.9 2000.00  02:25 1.169  WFC   75.0  180  r                                
 493587 36P r            10:42:04.99 +03:15:26.0 2000.00  02:27 1.172  WFC   74.6  180  r                                
 493588 121P r           15:20:37.00 +01:00:05.0 2000.00  02:32 1.701  WFC  214.4  180  r                                
 493589 121P r           15:20:36.99 +01:00:05.0 2000.00  02:37 1.667  WFC  214.9  180  r                                
 493590 121P r           15:20:37.00 +01:00:05.0 2000.00  02:41 1.646  WFC   49.5  180  r                                comet running into star
 493591 103P r           13:34:20.31 -15:52:33.0 2000.00  02:45 1.504  WFC  109.5  180  r                                
 493592 103P V           13:34:20.31 -15:52:33.0 2000.00  02:48 1.496  WFC  110.1  180  V                                
 493593 103P i           13:34:20.31 -15:52:32.9 2000.00  02:52 1.487  WFC  110.0  180  i                                
 493594 44P+47P r        13:57:36.51 -19:14:37.9 2000.00  02:59 1.633  WFC  170.0  180  r                                
 493595 44P+47P r        13:57:36.51 -19:14:37.8 2000.00  03:02 1.621  WFC  170.0  180  r                                
 493596 44P+47P r        13:57:36.51 -19:14:37.8 2000.00  03:06 1.610  WFC  170.0  180  r                                
 493597 44P+47P V        13:57:36.51 -19:14:37.8 2000.00  03:11 1.594  WFC  170.0  180  V                                
 493598 44P+47P V        13:57:36.51 -19:14:37.8 2000.00  03:14 1.584  WFC  170.0  180  V                                
 493599 44P+47P V        13:57:36.51 -19:14:37.9 2000.00  03:18 1.575  WFC  170.0  180  V                                
 493600 44P+47P i        13:57:36.51 -19:14:37.9 2000.00  03:22 1.564  WFC  170.0  180  i                                
 493601 44P+47P i        13:57:36.51 -19:14:37.9 2000.00  03:26 1.556  WFC  170.0  180  i                                
 493602 44P+47P i        13:57:36.51 -19:14:37.9 2000.00  03:29 1.549  WFC  169.9  180  i                                
 493603 121P r           15:20:36.33 +01:00:04.9 2000.00  03:36 1.341  WFC  214.9  180  r                                
 493604 121P r           15:20:36.33 +01:00:05.0 2000.00  03:40 1.326  WFC  215.0  180  r                                
 493605 121P r           15:20:36.33 +01:00:05.0 2000.00  03:44 1.312  WFC  215.0  180  r                                
 493606 36P r            10:42:03.00 +03:16:26.0 2000.00  03:51 1.441  WFC   75.0  180  r                                
 493607 36P r            10:42:03.00 +03:16:25.9 2000.00  03:53 1.451  WFC   75.0  180  r                                
 493608 36P r            10:42:03.00 +03:16:26.0 2000.00  03:55 1.461  WFC   75.0  180  r                                
 493609 36P r            10:42:03.00 +03:16:26.0 2000.00  03:57 1.471  WFC   75.0  180  r                                
 493610 36P r            10:42:03.00 +03:16:25.9 2000.00  03:59 1.482  WFC   75.0  180  r                                
 493611 121P r           15:20:36.33 +01:00:05.0 2000.00  04:04 1.253  WFC  215.0  180  r                                
 493612 121P r           15:20:36.33 +01:00:05.0 2000.00  04:08 1.242  WFC  215.0  180  r                                
 493613 121P r           15:20:36.33 +01:00:04.9 2000.00  04:12 1.232  WFC  214.4  180  r                                
 493614 36P r            10:42:03.00 +03:16:56.1 2000.00  04:20 1.617  WFC   75.0  180  r                                
 493615 36P r            10:42:03.00 +03:16:56.0 2000.00  04:22 1.631  WFC   75.0  180  r                                
 493616 36P r            10:42:03.00 +03:16:55.8 2000.00  04:24 1.646  WFC   75.0  180  r                                
