INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 29 06:56

TELESCOPE             INT
DATE                  20050628
OBSERVER/S            Deeg/Almenara
PROGRAMME             COROT sample field observations
PROPOSAL REF          INT/05A/C11
TELESCOPE OPERATOR    --
SUPPORT ASTRONOMER    Sergio

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    47
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         01:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  14.4   11    11.1  12.2  271   773.3   14.4  16.1    16.7   11     6 
22:00  12.7    7    20.0  22.9  313   773.1   12.7  15.1    16.1    7     4 
23:00  11.4    4    23.1  24.8  315   773.4   11.4  13.4    16.2    4     2 
00:00  10.8    6    32.9  34.6  327   773.4   10.8  12.5    16.0    6     2 
01:00  10.7   15    21.0  24.5   11   773.6   10.7  12.5    15.8   15     7 
02:00  10.6   27    16.5  17.5  347   773.4   10.6  12.1    15.5   27    21 
03:00  11.6   22    21.4  22.2  339   773.1   11.6  12.7    15.4   22    14 
04:00  12.2   24    18.9  19.7  348   772.7   12.2  12.9    14.6   24    16 
05:00  12.2   24    17.6  18.6  331   772.5   12.2  12.5    14.4   24    20 
06:00  12.6   21    11.5  11.7  346   772.6   12.6  12.7    14.1   21    19 

TIME LOST weather           00:00
TIME LOST Technical         00:45
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear.

COMMENTS (causes of time lost, setup information eg CCD windows):
filter wheel error, see fault 16836. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 457241 Bias              5:59:59.99 +19:59:59.9 2005.489 13:13 1.019  WFC    0.0  180  i                                
 457325 181555_40b       19:29:01.99 +00:18:53.6 2000.00  23:26 1.510  WFC    8.1  180  B                                
 457326 181555_40b       19:29:02.00 +00:18:54.0 2000.00  23:27 1.506  WFC    3.1  180  V                                
 457327 181555_40b       19:29:01.99 +00:18:54.0 2000.00  23:28 1.502  WFC    2.1  180  r                                
 457328 181555_40b       19:29:02.00 +00:18:53.9 2000.00  23:29 1.498  WFC    2.1  180  i                                
 457330 181555_39b       19:27:01.99 +00:18:53.9 2000.00  23:30 1.479  WFC    8.1  180  B                                
 457331 181555_39b       19:27:02.00 +00:18:54.0 2000.00  23:31 1.474  WFC    3.1  180  V                                
 457332 181555_39b       19:27:02.00 +00:18:53.9 2000.00  23:32 1.471  WFC    2.1  180  r                                
 457333 181555_39b       19:27:01.99 +00:18:54.0 2000.00  23:32 1.467  WFC    2.1  180  i                                
 457334 181555_38b       19:25:02.00 +00:18:53.9 2000.00  23:33 1.453  WFC    8.1  180  B                                
 457335 181555_38b       19:25:01.99 +00:18:54.0 2000.00  23:34 1.449  WFC    3.1  180  V                                
 457336 181555_38b       19:25:02.00 +00:18:54.0 2000.00  23:35 1.445  WFC    2.1  180  r                                
 457337 181555_38b       19:25:02.00 +00:18:54.0 2000.00  23:35 1.442  WFC    2.1  180  i                                
 457340 181555_32b       19:29:01.99 -00:11:05.9 2000.00  23:39 1.453  WFC    8.1  180  B                                
 457341 181555_32b       19:29:02.00 -00:11:06.0 2000.00  23:40 1.449  WFC    3.1  180  V                                
 457342 181555_32b       19:29:01.99 -00:11:06.0 2000.00  23:40 1.446  WFC    1.6  180  r                                
 457343 181555_32b       19:29:02.00 -00:11:06.0 2000.00  23:41 1.443  WFC    1.6  180  i                                
 457344 181555_31b       19:27:01.99 -00:11:06.1 2000.00  23:43 1.424  WFC    8.1  180  B                                
 457345 181555_31b       19:27:01.99 -00:11:05.9 2000.00  23:44 1.421  WFC    2.5  180  V                                
 457346 181555_31b       19:27:02.00 -00:11:06.0 2000.00  23:44 1.418  WFC    2.1  180  r                                
 457347 181555_31b       19:27:02.00 -00:11:05.9 2000.00  23:45 1.415  WFC    2.1  180  i                                
