 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536155 uvex_7003 r      22:17:28.23 +60:48:59.5 2000.00  21:20 1.269  WFC   30.0  180  r                                
 536156 uvex_7003 U      22:17:28.22 +60:48:59.5 2000.00  21:22 1.272  WFC  120.0  180  U                                
 536157 uvex_7003 g      22:17:28.23 +60:48:59.5 2000.00  21:24 1.276  WFC   30.1  180  g                                
 536158 uvex_7003o He1   22:18:09.35 +60:53:59.5 2000.00  21:26 1.279  WFC  120.0  180  HeI 5870                         
 536159 uvex_7003o r     22:18:09.34 +60:53:59.4 2000.00  21:28 1.282  WFC   30.1  180  r                                
 536160 uvex_7003o U     22:18:09.35 +60:53:59.5 2000.00  21:29 1.285  WFC  120.0  180  U                                
 536161 uvex_7003o g     22:18:09.35 +60:53:59.5 2000.00  21:32 1.288  WFC   29.6  180  g                                
 536162 uvex_7012 He1    22:18:35.54 +61:21:59.3 2000.00  21:33 1.296  WFC  120.0  180  HeI 5870                         
 536163 uvex_7012 r      22:18:35.54 +61:21:59.4 2000.00  21:36 1.300  WFC   29.5  180  r                                
 536164 uvex_7012 U      22:18:35.53 +61:21:59.5 2000.00  21:37 1.303  WFC  120.0  180  U                                
 536165 uvex_7012 g      22:18:35.54 +61:21:59.5 2000.00  21:40 1.307  WFC   30.1  180  g                                
 536166 uvex_7012o He1   22:19:17.39 +61:26:59.4 2000.00  21:41 1.310  WFC  120.0  180  HeI 5870                         
 536167 uvex_7012o r     22:19:17.39 +61:26:59.4 2000.00  21:44 1.314  WFC   30.1  180  r                                
 536168 uvex_7012o U     22:19:17.38 +61:26:59.5 2000.00  21:45 1.317  WFC  120.0  180  U                                
 536169 uvex_7012o g     22:19:17.39 +61:26:59.5 2000.00  21:48 1.321  WFC   30.1  180  g                                
 536170 uvex_7019 He1    22:19:38.54 +61:54:59.4 2000.00  21:49 1.330  WFC  119.5  180  HeI 5870                         
 536171 uvex_7019 r      22:19:38.53 +61:54:59.5 2000.00  21:52 1.334  WFC   30.1  180  r                                
 536172 uvex_7019 U      22:19:38.54 +61:54:59.5 2000.00  21:53 1.338  WFC  120.0  180  U                                
 536173 uvex_7019 g      22:19:38.54 +61:54:59.5 2000.00  21:56 1.341  WFC   30.1  180  g                                
 536174 G158-100          0:33:54.59 -12:07:58.7 2000.00  22:01 1.331  WFC   10.1  180  r                                
 536175 G158-100          0:33:54.60 -12:07:58.7 2000.00  22:02 1.333  WFC  100.0  180  HeI 5870                         
 536176 G158-100          0:33:54.60 -12:07:58.7 2000.00  22:04 1.334  WFC   10.0  180  g                                
 536177 G158-100          0:33:54.60 -12:07:58.7 2000.00  22:05 1.336  WFC  100.0  180  U                                
 536178 uvex_0672o He1    2:03:09.52 +58:19:59.4 2000.00  22:10 1.166  WFC  120.0  180  HeI 5870                         
 536179 uvex_0672o r      2:03:09.51 +58:19:59.3 2000.00  22:12 1.165  WFC   30.1  180  r                                
 536180 uvex_0672o U      2:03:09.52 +58:19:59.3 2000.00  22:14 1.164  WFC  120.0  180  U                                
 536181 uvex_0672o g      2:03:09.51 +58:19:59.3 2000.00  22:16 1.163  WFC   30.1  180  g                                
 536182 uvex_0673 He1     2:02:45.12 +62:16:59.7 2000.00  22:18 1.211  WFC  120.0  180  HeI 5870                         
 536183 uvex_0673 r       2:02:45.12 +62:16:59.7 2000.00  22:20 1.210  WFC   30.1  180  r                                
 536184 uvex_0673 U       2:02:45.12 +62:16:59.6 2000.00  22:22 1.209  WFC  120.0  180  U                                
 536185 uvex_0673 g       2:02:45.13 +62:16:59.5 2000.00  22:25 1.208  WFC   30.1  180  g                                
 536186 uvex_0673o He1    2:03:28.25 +62:21:59.5 2000.00  22:26 1.208  WFC  120.0  180  HeI 5870                         
 536187 uvex_0673o r      2:03:28.25 +62:21:59.6 2000.00  22:29 1.208  WFC   30.1  180  r                                
 536188 uvex_0673o U      2:03:28.24 +62:21:59.6 2000.00  22:30 1.207  WFC  120.1  180  U                                
 536189 uvex_0673o g      2:03:28.24 +62:21:59.6 2000.00  22:32 1.206  WFC   30.1  180  g                                
 536190 uvex_0674 He1     2:03:05.65 +66:40:59.9 2000.00  22:34 1.272  WFC  120.0  180  HeI 5870                         
 536191 uvex_0674 r       2:03:05.65 +66:40:59.8 2000.00  22:37 1.271  WFC   29.6  180  r                                
 536192 uvex_0674 U       2:03:05.65 +66:40:59.7 2000.00  22:38 1.271  WFC  120.0  180  U                                
 536193 uvex_0674 g       2:03:05.64 +66:40:59.9 2000.00  22:41 1.270  WFC   30.1  180  g                                
 536194 uvex_0674o He1    2:03:56.34 +66:45:59.8 2000.00  22:42 1.271  WFC  120.0  180  HeI 5870                         
 536195 uvex_0674o r      2:03:56.35 +66:45:59.8 2000.00  22:45 1.271  WFC   30.1  180  r                                
 536196 uvex_0674o U      2:03:56.35 +66:45:59.8 2000.00  22:46 1.271  WFC  120.0  180  U                                
 536197 uvex_0674o g      2:03:56.35 +66:45:59.8 2000.00  22:49 1.270  WFC   30.1  180  g                                
 536198 uvex_0675 He1     2:03:18.05 +58:47:59.5 2000.00  22:50 1.156  WFC  120.0  180  HeI 5870                         
 536199 uvex_0675 r       2:03:18.05 +58:47:59.3 2000.00  22:53 1.156  WFC   30.1  180  r                                
 536200 uvex_0675 U       2:03:18.05 +58:47:59.3 2000.00  22:54 1.156  WFC  119.5  180  U                                
 536201 uvex_0675 g       2:03:18.05 +58:47:59.4 2000.00  22:57 1.155  WFC   30.1  180  g                                
 536202 uvex_0675o He1    2:03:56.75 +58:52:59.4 2000.00  22:58 1.156  WFC  120.0  180  HeI 5870                         
 536203 uvex_0675o r      2:03:56.74 +58:52:59.3 2000.00  23:01 1.156  WFC   29.0  180  r                                
 536204 uvex_0675o U      2:03:56.74 +58:52:59.3 2000.00  23:02 1.156  WFC  120.0  180  U                                
 536205 uvex_0675o g      2:03:56.74 +58:52:59.3 2000.00  23:05 1.156  WFC   30.0  180  g                                
 536206 uvex_0676 He1     2:03:21.46 +60:48:59.6 2000.00  23:06 1.180  WFC  120.0  180  HeI 5870                         
 536207 uvex_0676 r       2:03:21.46 +60:48:59.4 2000.00  23:09 1.180  WFC   30.1  180  r                                
 536208 uvex_0676 U       2:03:21.46 +60:48:59.4 2000.00  23:10 1.180  WFC  119.5  180  U                                
 536209 uvex_0676 g       2:03:21.47 +60:48:59.5 2000.00  23:13 1.180  WFC   30.1  180  g                                
 536210 uvex_0676o He1    2:04:02.59 +60:53:59.4 2000.00  23:14 1.182  WFC  120.0  180  HeI 5870                         
 536211 uvex_0676o r      2:04:02.59 +60:53:59.5 2000.00  23:17 1.182  WFC   30.1  180  r                                
 536212 uvex_0676o U      2:04:02.59 +60:53:59.5 2000.00  23:18 1.182  WFC  120.1  180  U                                
 536213 uvex_0676o g      2:04:02.59 +60:53:59.5 2000.00  23:21 1.183  WFC   30.1  180  g                                
 536214 uvex_0677 He1     2:03:44.48 +64:17:59.5 2000.00  23:22 1.231  WFC  120.0  180  HeI 5870                         
 536215 uvex_0677 r       2:03:44.48 +64:17:59.7 2000.00  23:25 1.231  WFC   30.1  180  r                                
 536216 uvex_0677 U       2:03:44.49 +64:17:59.7 2000.00  23:27 1.232  WFC  120.0  180  U                                
 536217 uvex_0677 g       2:03:44.48 +64:17:59.7 2000.00  23:30 1.232  WFC   29.6  180  g                                
 536218 uvex_0677o He1    2:04:30.75 +64:22:59.7 2000.00  23:31 1.234  WFC  120.0  180  HeI 5870                         
 536219 uvex_0677o r      2:04:30.74 +64:22:59.7 2000.00  23:33 1.235  WFC   30.1  180  r                                
