 480255 intphas_0171 Ha   0:32:12.87 +67:24:59.6 2000.00  22:41 1.280  WFC  120.0  180  Halpha                           
 480256 intphas_0171 r    0:32:12.88 +67:24:59.8 2000.00  22:44 1.281  WFC   30.1  180  r                                
 480257 intphas_0171 i    0:32:12.88 +67:24:59.8 2000.00  22:45 1.281  WFC   10.1  180  i                                
 480258 intphas_0171o Ha  0:33:05.14 +67:29:59.7 2000.00  22:46 1.282  WFC  120.0  180  Halpha                           
 480259 intphas_0171o r   0:33:05.14 +67:29:59.8 2000.00  22:49 1.282  WFC   30.1  180  r                                
 480260 intphas_0171o i   0:33:05.14 +67:29:59.8 2000.00  22:50 1.282  WFC   10.1  180  i                                
 480261 intphas_0172 Ha   0:32:21.57 +65:56:59.9 2000.00  22:51 1.256  WFC  120.0  180  Halpha                           
 480262 intphas_0172 r    0:32:21.58 +65:56:59.7 2000.00  22:53 1.256  WFC   30.1  180  r                                
 480263 intphas_0172 i    0:32:21.58 +65:56:59.7 2000.00  22:55 1.256  WFC   10.1  180  i                                
 480264 intphas_0172o Ha  0:33:10.82 +66:01:59.8 2000.00  22:55 1.258  WFC  120.1  180  Halpha                           
 480265 intphas_0172o r   0:33:10.82 +66:01:59.8 2000.00  22:58 1.258  WFC   30.1  180  r                                
 480266 intphas_0172o i   0:33:10.82 +66:01:59.8 2000.00  22:59 1.259  WFC   10.1  180  i                                
 480267 intphas_0173 Ha   0:32:27.26 +62:49:59.2 2000.00  23:00 1.210  WFC  120.0  180  Halpha                           
 480268 intphas_0173 r    0:32:27.26 +62:49:59.5 2000.00  23:03 1.210  WFC   30.1  180  r                                
 480269 intphas_0173 i    0:32:27.27 +62:49:59.5 2000.00  23:04 1.211  WFC   10.1  180  i                                
 480270 intphas_0173o Ha  0:33:11.20 +62:54:59.6 2000.00  23:05 1.212  WFC  120.0  180  Halpha                           
 480271 intphas_0173o r   0:33:11.19 +62:54:59.6 2000.00  23:08 1.213  WFC   30.1  180  r                                
 480272 intphas_0173o i   0:33:11.20 +62:54:59.6 2000.00  23:09 1.213  WFC    9.5  180  i                                
 480273 intphas_0174 Ha   0:32:44.02 +65:01:59.8 2000.00  23:10 1.246  WFC  119.5  180  Halpha                           
 480274 intphas_0174 r    0:32:44.02 +65:01:59.6 2000.00  23:12 1.246  WFC   30.1  180  r                                
 480275 intphas_0174 i    0:32:44.03 +65:01:59.6 2000.00  23:14 1.247  WFC   10.1  180  i                                
 480276 intphas_0174o Ha  0:33:31.56 +65:06:59.6 2000.00  23:15 1.248  WFC  120.0  180  Halpha                           
 480277 intphas_0174o r   0:33:31.55 +65:06:59.7 2000.00  23:17 1.249  WFC   30.1  180  r                                
 480278 intphas_0174o i   0:33:31.56 +65:06:59.6 2000.00  23:18 1.250  WFC   10.1  180  i                                
 480279 intphas_0175 Ha   0:32:49.18 +61:32:59.2 2000.00  23:19 1.199  WFC  120.1  180  Halpha                           
 480280 intphas_0175 r    0:32:49.19 +61:32:59.5 2000.00  23:22 1.200  WFC   30.1  180  r                                
 480281 intphas_0175 i    0:32:49.19 +61:32:59.4 2000.00  23:23 1.200  WFC   10.1  180  i                                
 480282 intphas_0175o Ha  0:33:31.29 +61:37:59.5 2000.00  23:24 1.202  WFC  120.0  180  Halpha                           
 480283 intphas_0175o r   0:33:31.29 +61:37:59.5 2000.00  23:27 1.203  WFC   30.1  180  r                                
 480284 intphas_0175o i   0:33:31.28 +61:37:59.4 2000.00  23:28 1.204  WFC   10.1  180  i                                
 480285 intphas_0176 Ha   0:32:58.15 +60:15:59.6 2000.00  23:29 1.188  WFC  120.1  180  Halpha                           
 480286 intphas_0176 r    0:32:58.16 +60:15:59.5 2000.00  23:31 1.189  WFC   30.1  180  r                                
 480287 intphas_0176 i    0:32:58.15 +60:15:59.5 2000.00  23:33 1.189  WFC   10.1  180  i                                
 480288 intphas_0176o Ha  0:33:38.59 +60:20:59.5 2000.00  23:34 1.191  WFC  120.0  180  Halpha                           
 480289 intphas_0176o r   0:33:38.58 +60:20:59.5 2000.00  23:36 1.192  WFC   30.1  180  r                                
 480290 intphas_0176o i   0:33:38.59 +60:20:59.5 2000.00  23:37 1.193  WFC   10.1  180  i                                
 480291 intphas_0177 Ha   0:32:58.53 +58:58:59.2 2000.00  23:38 1.178  WFC  120.0  180  Halpha                           
 480292 intphas_0177 r    0:32:58.53 +58:58:59.5 2000.00  23:41 1.180  WFC   29.5  180  r                                
 480293 intphas_0177 i    0:32:58.52 +58:58:59.4 2000.00  23:42 1.180  WFC    9.5  180  i                                
 480294 intphas_0177o Ha  0:33:37.44 +59:03:59.3 2000.00  23:43 1.182  WFC  120.0  180  Halpha                           
 480295 intphas_0177o r   0:33:37.44 +59:03:59.5 2000.00  23:46 1.184  WFC   30.1  180  r                                
 480296 intphas_0177o i   0:33:37.43 +59:03:59.3 2000.00  23:47 1.185  WFC   10.1  180  i                                
 480297 intphas_0178 Ha   0:33:34.40 +63:45:00.0 2000.00  23:48 1.247  WFC  120.0  180  Halpha                           
 480298 intphas_0178 r    0:33:34.40 +63:44:59.7 2000.00  23:51 1.249  WFC   30.1  180  r                                
 480299 intphas_0178 i    0:33:34.41 +63:44:59.7 2000.00  23:52 1.249  WFC   10.1  180  i                                
 480300 intphas_0178o Ha  0:34:19.76 +63:49:59.6 2000.00  23:53 1.251  WFC  119.5  180  Halpha                           
 480301 intphas_0178o r   0:34:19.75 +63:49:59.7 2000.00  23:55 1.253  WFC   30.1  180  r                                
 480302 intphas_0178o i   0:34:19.75 +63:49:59.7 2000.00  23:56 1.254  WFC   10.1  180  i                                
