 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 682868 TRES3B           17:52:23.50 +37:31:58.8  2000.00 00:33 1.073  WFC   60.1  180  I                                
 682869 TRES3B           17:52:23.50 +37:31:58.9  2000.00 00:34 1.075  WFC   59.5  180  I                                
 682870 TRES3B           17:52:23.50 +37:31:58.9  2000.00 00:36 1.077  WFC   59.5  180  I                                
 682871 TRES3B           17:52:23.50 +37:31:59.0  2000.00 00:37 1.079  WFC   60.1  180  I                                
 682872 TRES3B           17:52:23.50 +37:31:59.0  2000.00 00:39 1.082  WFC   60.1  180  I                                
 682873 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:41 1.085  WFC   60.1  180  I                                
 682874 TRES3B           17:52:23.66 +37:31:57.0  2000.00 00:42 1.087  WFC   60.1  180  I                                
 682875 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:44 1.089  WFC   60.1  180  I                                
 682876 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:45 1.092  WFC   60.1  180  I                                
 682877 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:47 1.094  WFC   60.1  180  I                                
 682878 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:48 1.097  WFC   59.6  180  I                                
 682879 TRES3B           17:52:23.67 +37:31:57.0  2000.00 00:50 1.100  WFC   60.1  180  I                                
 682880 TRES3B           17:52:23.66 +37:31:57.0  2000.00 00:51 1.102  WFC   60.0  180  I                                
 682881 TRES3B           17:52:23.75 +37:31:55.0  2000.00 00:54 1.106  WFC   60.1  180  I                                
 682882 TRES3B           17:52:23.75 +37:31:55.0  2000.00 00:55 1.108  WFC   60.1  180  I                                
 682883 TRES3B           17:52:23.75 +37:31:54.9  2000.00 00:57 1.111  WFC   60.1  180  I                                
 682884 TRES3B           17:52:23.75 +37:31:54.9  2000.00 00:58 1.114  WFC   60.1  180  I                                
 682885 TRES3B           17:52:23.75 +37:31:55.0  2000.00 01:00 1.117  WFC   60.1  180  I                                
 682886 TRES3B           17:52:23.75 +37:31:55.0  2000.00 01:01 1.120  WFC   60.1  180  I                                
 682887 TRES3B           17:52:23.75 +37:31:54.9  2000.00 01:03 1.123  WFC   60.1  180  I                                
 682888 TRES3B           17:52:23.84 +37:31:54.1  2000.00 01:04 1.126  WFC   60.1  180  I                                
 682889 TRES3B           17:52:23.84 +37:31:54.0  2000.00 01:06 1.129  WFC   60.1  180  I                                
