 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 518263 uvex_6264o r     20:55:20.69 +48:36:59.5 2000.00  00:42 1.091  WFC   30.1  180  r                                
 518264 uvex_6264o U     20:55:20.69 +48:36:59.5 2000.00  00:43 1.090  WFC  120.0  180  U                                
 518265 uvex_6264o g     20:55:20.70 +48:36:59.5 2000.00  00:46 1.088  WFC   30.1  180  g                                
 518266 uvex_6266 He1    20:54:56.20 +50:32:59.3 2000.00  00:47 1.099  WFC  120.1  180  HeI 5870                         
 518267 uvex_6266 r      20:54:56.19 +50:32:59.4 2000.00  00:49 1.098  WFC   30.1  180  r                                
 518268 uvex_6266 U      20:54:56.20 +50:32:59.6 2000.00  00:51 1.097  WFC  120.0  180  U                                
 518269 uvex_6266 g      20:54:56.19 +50:32:59.4 2000.00  00:53 1.095  WFC   29.5  180  g                                
 518270 uvex_6269 He1    20:55:14.04 +47:03:59.0 2000.00  00:55 1.071  WFC  120.0  180  HeI 5870                         
 518271 uvex_6269 r      20:55:14.05 +47:03:59.4 2000.00  00:57 1.070  WFC   30.1  180  r                                
 518272 uvex_6269 U      20:55:14.06 +47:03:59.4 2000.00  00:58 1.068  WFC  120.0  180  U                                
 518273 uvex_6269 g      20:55:14.05 +47:03:59.4 2000.00  01:01 1.067  WFC   30.1  180  g                                
 518274 uvex_6269o He1   20:55:43.46 +47:08:59.5 2000.00  01:02 1.067  WFC  120.0  180  HeI 5870                         
 518275 uvex_6269o r     20:55:43.46 +47:08:59.4 2000.00  01:05 1.066  WFC   30.1  180  r                                
 518276 uvex_6269o U     20:55:43.46 +47:08:59.4 2000.00  01:06 1.065  WFC  120.0  180  U                                
 518277 uvex_6269o g     20:55:43.46 +47:08:59.5 2000.00  01:09 1.064  WFC   30.1  180  g                                
 518278 uvex_6271 He1    20:55:26.57 +45:35:59.5 2000.00  01:10 1.054  WFC  120.0  180  HeI 5870                         
 518279 uvex_6271 r      20:55:26.57 +45:35:59.5 2000.00  01:13 1.053  WFC   30.1  180  r                                
 518280 uvex_6271 U      20:55:26.57 +45:35:59.5 2000.00  01:14 1.052  WFC  120.0  180  U                                
 518281 uvex_6271 g      20:55:26.57 +45:35:59.5 2000.00  01:17 1.051  WFC   30.1  180  g                                
 518282 uvex_6274 He1    20:55:37.68 +49:04:59.8 2000.00  01:18 1.072  WFC  120.0  180  HeI 5870                         
 518283 uvex_6274 r      20:55:37.68 +49:04:59.6 2000.00  01:20 1.071  WFC   30.1  180  r                                
 518284 uvex_6274 U      20:55:37.68 +49:04:59.5 2000.00  01:22 1.071  WFC  119.5  180  U                                
 518285 uvex_6274 g      20:55:37.69 +49:04:59.5 2000.00  01:24 1.070  WFC   30.1  180  g                                
 518286 uvex_6274o He1   20:56:08.28 +49:09:59.6 2000.00  01:26 1.070  WFC  120.0  180  HeI 5870                         
 518287 uvex_6274o r     20:56:08.28 +49:09:59.4 2000.00  01:28 1.070  WFC   30.1  180  r                                
 518288 uvex_6274o U     20:56:08.27 +49:09:59.5 2000.00  01:29 1.069  WFC  120.0  180  U                                
 518289 uvex_6274o g     20:56:08.29 +49:09:59.5 2000.00  01:32 1.069  WFC   30.0  180  g                                
 518290 uvex_6275 He1    20:55:38.24 +51:05:59.6 2000.00  01:33 1.082  WFC  120.0  180  HeI 5870                         
 518291 uvex_6275 r      20:55:38.23 +51:05:59.4 2000.00  01:36 1.082  WFC   30.1  180  r                                
 518292 uvex_6275 U      20:55:38.24 +51:05:59.4 2000.00  01:37 1.082  WFC  120.0  180  U                                
 518293 uvex_6275 g      20:55:38.24 +51:05:59.4 2000.00  01:40 1.082  WFC   30.1  180  g                                
 518294 uvex_6275o He1   20:56:10.15 +51:10:59.5 2000.00  01:41 1.082  WFC  120.0  180  HeI 5870                         
 518295 uvex_6275o r     20:56:10.15 +51:10:59.3 2000.00  01:44 1.082  WFC   30.0  180  r                                
