 550321 BD+08_2015 45s    8:12:59.39 +07:46:09.7 1950.00  01:11 1.220  IDS   45.0   50  Clear+Clear   1.5  48.6 6297.9   
 550322 BD+08_2015B 45s   8:13:00.15 +07:46:42.1 1950.00  01:14 1.228  IDS   45.0   50  Clear+Clear   1.5  48.6 6297.9   
 550323 HIP37288 CuAr+Cu  7:39:22.95 +02:10:52.5 2000.00  01:17 1.450  IDS    2.0   50  Clear+Clear   1.5  48.6 6297.9   
 550324 HIP37288 60s      7:39:22.95 +02:10:54.1 2000.00  01:19 1.464  IDS   60.0   50  Clear+Clear   1.5  48.6 6297.9   
 550325 BD+20_1790 CuAr+  7:23:43.17 +20:24:51.1 2000.00  01:23 1.346  IDS    2.0   70  Clear+Clear   1.5  48.6 6297.9   
 550326 HIP37288 90s      7:23:42.99 +20:24:49.2 2000.00  01:25 1.357  IDS   90.0   70  Clear+Clear   1.5  48.6 6297.9   
 550327 BD+07_1919AB CuA  8:07:08.48 +07:22:49.5 2000.00  01:31 1.317  IDS    2.0   50  Clear+Clear   1.5  48.6 6297.9   
 550328 BD+17_1919AB 90s  8:07:08.43 +07:22:48.4 2000.00  01:33 1.328  IDS   90.0   50  Clear+Clear   1.5  48.6 6297.9   
 550329 HD70573 CuAr+CuN  8:22:49.48 +01:51:27.5 2000.00  01:38 1.353  IDS    2.0   50  Clear+Clear   1.5  48.6 6297.9   
 550330 HD70573 60s       8:22:49.43 +01:51:26.2 2000.00  01:39 1.362  IDS   60.0   50  Clear+Clear   1.5  48.6 6297.9   
 550331 HD82443 CuAr+CuN  9:32:42.02 +26:59:05.3 2000.00  01:44 1.043  IDS    2.0   80  Clear+Clear   1.5  48.6 6297.9   
 550332 HD82443 10s       9:32:42.02 +26:59:02.7 2000.00  01:46 1.045  IDS   10.0   80  Clear+Clear   1.5  48.6 6297.9   
 550333 HD82443 15s 10x   9:32:42.02 +26:59:02.9 2000.00  01:47 1.047  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550334 HD82443 15s 10x   9:32:42.03 +26:59:02.9 2000.00  01:48 1.048  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550335 HD82443 15s 10x   9:32:42.02 +26:59:02.9 2000.00  01:49 1.049  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550336 HD82443 15s 10x   9:32:42.03 +26:59:02.9 2000.00  01:49 1.050  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550337 HD82443 15s 10x   9:32:42.02 +26:59:02.9 2000.00  01:50 1.050  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550338 HD82443 15s 10x   9:32:42.03 +26:59:02.9 2000.00  01:51 1.051  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550339 HD82443 15s 10x   9:32:42.02 +26:59:02.8 2000.00  01:52 1.052  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550340 HD82443 15s 10x   9:32:42.05 +26:59:01.1 2000.00  01:52 1.053  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550341 HD82443 15s 10x   9:32:42.05 +26:59:01.1 2000.00  01:53 1.054  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550342 HD82443 15s 10x   9:32:42.05 +26:59:01.1 2000.00  01:54 1.055  IDS   15.0   80  Clear+Clear   1.5  48.6 6297.9   
 550343 HD89744 CuAr+CuN 10:22:08.19 +41:13:34.3 2000.00  02:04 1.037  IDS    2.0  145  Clear+Clear   1.5  48.6 6297.9   
 550344 HD89744 2s       10:22:08.13 +41:13:33.5 2000.00  02:05 1.038  IDS    2.0  145  Clear+Clear   1.5  48.6 6297.9   
 550345 HIP51317 CuAr+Cu 10:28:54.41 +00:50:19.9 2000.00  02:14 1.157  IDS    2.0   20  Clear+Clear   1.5  48.6 6297.9   
 550346 HIP51317 30s     10:28:54.33 +00:50:18.5 2000.00  02:16 1.159  IDS   30.0   20  Clear+Clear   1.5  48.6 6297.9   
 550347 HIP53020 CuAr+Cu 10:50:52.10 +06:48:28.9 2000.00  02:19 1.087  IDS    2.0   20  Clear+Clear   1.5  48.6 6297.9   
 550348 HIP51317 240s    10:50:50.71 +06:48:12.6 2000.00  02:22 1.091  IDS  240.0   20  Clear+Clear   1.5  48.6 6297.9   
 550349 HD96064 CuAr+CuN 11:04:40.74 -04:13:18.1 2000.00  02:30 1.202  IDS    2.0   15  Clear+Clear   1.5  48.6 6297.9   
 550350 HD96064A 30s     11:04:40.68 -04:13:17.6 2000.00  02:32 1.203  IDS   30.0   15  Clear+Clear   1.5  48.6 6297.9   
 550351 HD96064A 15s     11:04:40.68 -04:13:17.6 2000.00  02:33 1.204  IDS   15.0   15  Clear+Clear   1.5  48.6 6297.9   
 550352 HD96064Bab 120s  11:04:40.22 -04:13:26.3 2000.00  02:35 1.206  IDS  120.0   15  Clear+Clear   1.5  48.6 6297.9   
 550353 GJ466 CuAr+CuNe  12:25:57.83 +08:03:37.5 2000.00  02:42 1.085  IDS    2.0  335  Clear+Clear   1.5  48.6 6297.9   
 550354 GJ466 120s       12:25:57.53 +08:03:35.1 2000.00  02:44 1.083  IDS  120.0  335  Clear+Clear   1.5  48.6 6297.9   
 550355 HD111395 CuAr+Cu 12:48:45.66 +24:50:15.7 2000.00  02:51 1.026  IDS    2.0  295  Clear+Clear   1.5  48.6 6297.9   
 550356 HD111395 3s      12:48:45.67 +24:50:15.8 2000.00  02:52 1.025  IDS    3.0  295  Clear+Clear   1.5  48.6 6297.9   
 550357 HD97334B CuAr+Cu 11:12:30.76 +35:48:38.3 2000.00  02:59 1.025  IDS    2.0  120  Clear+Clear   1.5  48.6 6297.9   
 550358 HD97334B 5s      11:12:30.83 +35:48:37.6 2000.00  03:00 1.026  IDS    5.0  120  Clear+Clear   1.5  48.6 6297.9   
 550359 HD112733 CuAr+Cu 12:58:32.80 +38:16:46.6 2000.00  03:09 1.029  IDS    2.0  230  Clear+Clear   1.5  48.6 6297.9   
 550360 HD112733 20s     12:58:32.84 +38:16:47.5 2000.00  03:10 1.028  IDS   20.0  230  Clear+Clear   1.5  48.6 6297.9   
 550361 HD112733A 20s    12:58:29.81 +38:16:42.7 2000.00  03:12 1.026  IDS   20.0  230  Clear+Clear   1.5  48.6 6297.9   
 550362 HD116956 CuAr+Cu 13:25:39.94 +56:58:20.3 2000.00  03:17 1.160  IDS    2.0  210  Clear+Clear   1.5  48.6 6297.9   
 550363 HD116956 3s      13:25:39.72 +56:58:19.7 2000.00  03:18 1.159  IDS    3.0  210  Clear+Clear   1.5  48.6 6297.9   
 550364 HD114762vr CuAr+ 13:12:19.00 +17:30:57.1 2000.00  03:25 1.036  IDS    2.0  320  Clear+Clear   1.5  48.6 6297.9   
 550365 HD114762vr 20s   13:12:18.90 +17:30:56.0 2000.00  03:27 1.034  IDS   20.0  320  Clear+Clear   1.5  48.6 6297.9   
 550366 HD114762vr 15s   13:12:18.90 +17:30:56.0 2000.00  03:28 1.034  IDS   15.0  320  Clear+Clear   1.5  48.6 6297.9   
 550367 HD114762vr 10s   13:12:18.91 +17:30:56.0 2000.00  03:29 1.033  IDS   10.0  320  Clear+Clear   1.5  48.6 6297.9   
 550368 HD112299vr CuAr+ 12:55:27.58 +25:44:07.8 2000.00  03:32 1.004  IDS    2.0  305  Clear+Clear   1.5  48.6 6297.9   
