 442812 Bias             16:35:24.00 +09:47:50.0 2000.00  06:20 1.060  WFC    0.0  180  B                                
 442813 Flat field       16:52:32.99 -15:25:57.0 2000.00  06:43 1.402  WFC   33.1  180  R                                
 442814 Flat field       16:52:33.69 -15:25:47.0 2000.00  06:45 1.403  WFC   21.3  180  R                                
 442815 Flat field       16:52:33.69 -15:26:06.9 2000.00  06:47 1.405  WFC   14.3  180  R                                
 442816 Flat field       16:52:33.69 -15:26:06.9 2000.00  06:48 1.406  WFC   12.7  180  B                                
 442817 Flat field       16:52:33.69 -15:25:47.0 2000.00  06:50 1.408  WFC    9.4  180  B                                
 442818 Flat field       16:52:32.31 -15:25:47.0 2000.00  06:51 1.409  WFC    5.5  180  B                                
 442819 Flat field       16:52:32.30 -15:25:47.0 2000.00  06:55 1.413  WFC   24.2  180  Halpha                           
 442820 Flat field       16:52:33.69 -15:25:47.0 2000.00  06:57 1.415  WFC   16.1  180  Halpha                           
 442821 Flat field       16:52:32.31 -15:26:06.9 2000.00  06:58 1.417  WFC   11.2  180  Halpha                           
 442822 Flat field       16:52:32.30 -15:26:07.0 2000.00  07:00 1.419  WFC    5.5  180  [SII]6725                        
 442823 Flat field       16:52:33.69 -15:25:47.0 2000.00  07:01 1.421  WFC    5.2  180  [SII]6725                        
 442824 Flat field       16:52:32.30 -15:25:46.9 2000.00  07:03 1.422  WFC    4.7  180  [SII]6725                        
