 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 590556 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:35 1.045  WFC   30.1  180  CLEAR                            
 590557 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:36 1.045  WFC   29.5  180  CLEAR                            
 590558 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:37 1.045  WFC   30.1  180  CLEAR                            
 590559 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:38 1.045  WFC   30.1  180  CLEAR                            
 590560 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:39 1.045  WFC   30.1  180  CLEAR                            
 590561 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:40 1.046  WFC   29.5  180  CLEAR                            
 590562 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:41 1.046  WFC   30.1  180  CLEAR                            
 590563 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:42 1.046  WFC   30.1  180  CLEAR                            
 590564 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:43 1.046  WFC   30.1  180  CLEAR                            
 590565 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:44 1.046  WFC   30.1  180  CLEAR                            
 590566 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:45 1.047  WFC   29.1  180  CLEAR                            
 590567 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:46 1.047  WFC   30.1  180  CLEAR                            
 590568 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:47 1.047  WFC   30.1  180  CLEAR                            
 590569 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:48 1.047  WFC   30.1  180  CLEAR                            
 590570 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:49 1.048  WFC   30.1  180  CLEAR                            
 590571 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:50 1.048  WFC   30.1  180  CLEAR                            
 590572 FIELD24          21:07:34.00 +45:31:43.1  2000.00 20:51 1.048  WFC   30.1  180  CLEAR                            
 590573 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:52 1.049  WFC   30.1  180  CLEAR                            
 590574 FIELD24          21:07:34.00 +45:31:43.1  2000.00 20:53 1.049  WFC   30.1  180  CLEAR                            
 590575 FIELD24          21:07:33.99 +45:31:43.0  2000.00 20:54 1.049  WFC   30.1  180  CLEAR                            
 590576 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:55 1.050  WFC   30.1  180  CLEAR                            
 590577 FIELD24          21:07:34.00 +45:31:42.9  2000.00 20:56 1.050  WFC   30.1  180  CLEAR                            
 590578 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:57 1.050  WFC   29.6  180  CLEAR                            
 590579 FIELD24          21:07:34.00 +45:31:43.0  2000.00 20:58 1.051  WFC   30.1  180  CLEAR                            
 590580 FIELD24          21:07:33.99 +45:31:42.9  2000.00 20:59 1.051  WFC   30.1  180  CLEAR                            
 590581 FIELD24          21:07:34.00 +45:31:42.9  2000.00 21:00 1.052  WFC   30.1  180  CLEAR                            
 590582 FIELD24          21:07:34.00 +45:31:42.9  2000.00 21:01 1.052  WFC   30.1  180  CLEAR                            
 590583 FIELD24          21:07:34.00 +45:31:43.0  2000.00 21:02 1.053  WFC   30.1  180  CLEAR                            
 590584 FIELD24          21:07:34.00 +45:31:42.9  2000.00 21:03 1.053  WFC   30.1  180  CLEAR                            
 590585 FIELD24          21:07:33.99 +45:31:42.9  2000.00 21:04 1.053  WFC   29.5  180  CLEAR                            
 590586 FIELD24          21:07:34.00 +45:31:43.0  2000.00 21:05 1.054  WFC   30.1  180  CLEAR                            
 590587 FIELD24          21:07:34.00 +45:31:42.9  2000.00 21:06 1.055  WFC   30.1  180  CLEAR                            
