 566766 field 13 g       17:54:59.99 +02:22:00.0 2000.00  22:52 1.422  WFC   30.1  180  g                                
 566767 field 13 g       17:54:59.99 +02:21:59.9 2000.00  22:53 1.417  WFC   30.1  180  g                                
 566768 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:54 1.412  WFC   30.1  180  g                                
 566769 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:55 1.407  WFC   29.6  180  g                                
 566770 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:56 1.403  WFC   30.1  180  g                                
 566771 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:57 1.398  WFC   30.1  180  g                                
 566772 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:58 1.394  WFC   30.1  180  g                                
 566773 field 13 g       17:55:00.00 +02:22:00.0 2000.00  22:59 1.389  WFC   30.1  180  g                                
 566774 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:00 1.385  WFC   30.1  180  g                                
 566775 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:01 1.380  WFC   30.1  180  g                                
 566776 field 13 g       17:54:59.99 +02:21:59.9 2000.00  23:02 1.376  WFC   30.1  180  g                                
 566777 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:03 1.372  WFC   30.1  180  g                                
 566778 field 13 g       17:54:59.99 +02:21:59.9 2000.00  23:04 1.368  WFC   30.1  180  g                                
 566779 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:05 1.363  WFC   30.1  180  g                                
 566780 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:06 1.359  WFC   30.1  180  g                                
 566781 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:07 1.355  WFC   30.1  180  g                                
 566782 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:08 1.351  WFC   30.1  180  g                                
 566783 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:09 1.347  WFC   30.1  180  g                                
 566784 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:10 1.343  WFC   30.1  180  g                                
 566785 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:11 1.340  WFC   30.1  180  g                                
 566786 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:12 1.336  WFC   30.1  180  g                                
 566787 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:13 1.332  WFC   30.1  180  g                                
 566788 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:14 1.328  WFC   30.1  180  g                                
 566789 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:15 1.325  WFC   30.0  180  g                                
 566790 field 13 g       17:54:59.99 +02:21:59.9 2000.00  23:16 1.321  WFC   30.1  180  g                                
 566791 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:17 1.317  WFC   30.1  180  g                                
 566792 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:18 1.314  WFC   29.6  180  g                                
 566793 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:19 1.310  WFC   29.6  180  g                                
 566794 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:20 1.307  WFC   30.0  180  g                                
 566795 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:21 1.303  WFC   30.1  180  g                                
 566796 field 13 g       17:55:00.00 +02:21:59.9 2000.00  23:22 1.300  WFC   29.5  180  g                                
 566797 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:23 1.297  WFC   30.0  180  g                                
 566798 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:24 1.293  WFC   30.1  180  g                                
 566799 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:25 1.290  WFC   30.1  180  g                                
 566800 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:26 1.287  WFC   30.1  180  g                                
 566801 field 13 g       17:55:00.00 +02:22:00.0 2000.00  23:27 1.284  WFC   29.5  180  g                                
 566802 field 13 g       17:54:59.99 +02:22:00.0 2000.00  23:28 1.281  WFC   30.1  180  g                                
