 552095 1999jv6          13:04:19.25 +08:20:16.2 2000.00  00:45 1.385  WFC   35.1  180  r                                
 552096 1999jv6          13:04:19.25 +08:20:16.2 2000.00  00:46 1.380  WFC   35.1  180  r                                
 552097 1999jv6          13:04:19.25 +08:20:16.3 2000.00  00:47 1.375  WFC   35.1  180  r                                
 552098 2004gu9          13:51:35.04 +61:25:17.5 2000.00  00:50 1.464  WFC   40.1  180  r                                
 552099 2004gu9          13:51:35.03 +61:25:17.5 2000.00  00:51 1.461  WFC   40.1  180  r                                
 552100 2004gu9          13:51:35.04 +61:25:17.5 2000.00  00:52 1.457  WFC   39.5  180  r                                
 552101 2004gu9          13:51:35.04 +61:25:17.4 2000.00  00:53 1.454  WFC   40.1  180  r                                
 552102 2007da            9:47:08.00 +23:41:40.9 2000.00  00:57 1.019  WFC   32.1  180  r                                
 552103 2007da            9:47:07.99 +23:41:41.0 2000.00  00:58 1.020  WFC   32.1  180  r                                
 552104 2007da            9:47:08.00 +23:41:41.0 2000.00  00:59 1.021  WFC   32.1  180  r                                
 552105 2007da            9:47:08.00 +23:41:41.0 2000.00  01:00 1.021  WFC   31.6  180  r                                
 552106 2000ee104         9:27:32.33 +33:47:57.1 2000.00  01:02 1.038  WFC   27.1  180  r                                
 552107 2000ee104         9:27:32.34 +33:47:57.0 2000.00  01:03 1.039  WFC   27.1  180  r                                
 552108 2000ee104         9:27:32.34 +33:47:57.0 2000.00  01:04 1.040  WFC   27.1  180  r                                
 552109 2000ee104         9:27:32.34 +33:47:57.0 2000.00  01:05 1.041  WFC   27.1  180  r                                
 552110 1999jv6           9:27:32.34 +33:47:57.0 2000.00  01:06 1.042  WFC   35.0  180  r                                2000ee104 - wrong name
 552111 1999jv6           9:27:32.34 +33:47:57.0 2000.00  01:07 1.043  WFC   35.0  180  r                                2000ee104 - wrong name
 552112 1999jv6           9:27:32.34 +33:47:57.0 2000.00  01:08 1.045  WFC   35.1  180  r                                2000ee104 - wrong name
 552113 1999jv6           9:27:32.34 +33:47:57.0 2000.00  01:09 1.046  WFC   35.1  180  r                                
 552114 1999jv6          13:04:19.25 +08:20:16.2 2000.00  01:13 1.269  WFC   34.5  180  r                                
 552115 1999jv6          13:04:19.25 +08:20:16.2 2000.00  01:14 1.266  WFC   35.1  180  r                                
 552116 1999jv6          13:04:19.24 +08:20:16.3 2000.00  01:15 1.262  WFC   34.5  180  r                                
 552117 1999jv6          13:04:19.25 +08:20:16.3 2000.00  01:16 1.258  WFC   35.1  180  r                                
