 540612 onc V             5:35:30.00 -05:22:59.9 2000.00  23:08 1.555  WFC   60.1  180  V                                
 540613 onc i             5:35:29.99 -05:23:00.0 2000.00  23:10 1.544  WFC   30.1  180  i                                
 540614 onc V             5:35:30.00 -05:23:00.0 2000.00  23:12 1.534  WFC   60.0  180  V                                
 540615 onc i             5:35:30.00 -05:23:00.0 2000.00  23:14 1.525  WFC   30.1  180  i                                
 540616 onc V             5:35:29.99 -05:23:00.0 2000.00  23:15 1.515  WFC   60.1  180  V                                
 540617 onc i             5:35:30.00 -05:23:00.0 2000.00  23:17 1.506  WFC   30.1  180  i                                
 540618 onc V             5:35:30.00 -05:23:00.0 2000.00  23:19 1.496  WFC   60.1  180  V                                
 540619 onc i             5:35:29.99 -05:23:00.0 2000.00  23:21 1.487  WFC   30.1  180  i                                
 540620 onc V             0:00:00.00 +00:00:00.0 2000.00  23:23 1.477  WFC   60.0  180  V                                
 540621 onc i             0:00:00.00 +00:00:00.0 2000.00  23:25 1.469  WFC   29.6  180  i                                
 540622 onc V             5:35:30.00 -05:22:59.9 2000.00  23:27 1.461  WFC   60.0  180  V                                
 540623 onc i             5:35:29.99 -05:22:59.9 2000.00  23:29 1.453  WFC   30.1  180  i                                
 540624 onc V             5:35:30.00 -05:22:59.9 2000.00  23:30 1.444  WFC   60.1  180  V                                
 540625 onc i             5:35:30.00 -05:22:59.9 2000.00  23:32 1.436  WFC   30.1  180  i                                
 540626 onc V             5:35:30.00 -05:22:59.9 2000.00  23:34 1.429  WFC   60.0  180  V                                
 540627 onc i             5:35:29.99 -05:23:00.0 2000.00  23:36 1.421  WFC   30.0  180  i                                
 540628 onc V             5:35:29.99 -05:23:00.0 2000.00  23:38 1.414  WFC   60.1  180  V                                
 540629 onc i             0:00:00.00 +00:00:00.0 2000.00  23:40 1.407  WFC   30.1  180  i                                
 540630 onc V             5:35:30.00 -05:22:59.9 2000.00  23:42 1.400  WFC   60.0  180  V                                
 540631 onc i             5:35:30.00 -05:23:00.0 2000.00  23:44 1.393  WFC   30.1  180  i                                
 540632 onc V             5:35:29.99 -05:22:59.9 2000.00  23:45 1.386  WFC   60.0  180  V                                
 540633 onc i             5:35:29.99 -05:22:59.9 2000.00  23:47 1.380  WFC   30.1  180  i                                
 540634 onc V             5:35:29.99 -05:22:59.9 2000.00  23:49 1.373  WFC   60.0  180  V                                
 540635 onc i             5:35:30.00 -05:22:59.9 2000.00  23:51 1.367  WFC   30.1  180  i                                
 540636 onc V             5:35:30.00 -05:22:59.9 2000.00  23:53 1.361  WFC   60.1  180  V                                
 540637 onc i             5:35:30.00 -05:22:59.9 2000.00  23:55 1.355  WFC   30.0  180  i                                
 540638 onc V             5:35:30.00 -05:23:00.0 2000.00  23:57 1.350  WFC   60.1  180  V                                
 540639 onc i             5:35:30.00 -05:23:00.0 2000.00  23:59 1.344  WFC   30.1  180  i                                
 540640 onc V             5:35:30.00 -05:23:00.0 2000.00  00:01 1.338  WFC   60.0  180  V                                
 540641 onc i             5:35:29.99 -05:22:59.9 2000.00  00:03 1.333  WFC   30.1  180  i                                
 540642 onc V             5:35:29.99 -05:23:00.0 2000.00  00:04 1.328  WFC   60.1  180  V                                
 540643 onc i             5:35:30.00 -05:23:00.0 2000.00  00:06 1.322  WFC   30.1  180  i                                
 540644 onc V             5:35:30.00 -05:22:59.9 2000.00  00:08 1.317  WFC   60.1  180  V                                
 540645 onc i             5:35:29.99 -05:22:59.9 2000.00  00:10 1.313  WFC   29.6  180  i                                
 540646 onc V             5:35:30.00 -05:23:00.0 2000.00  00:12 1.308  WFC   60.0  180  V                                
 540647 onc i             5:35:30.00 -05:23:00.0 2000.00  00:14 1.304  WFC   29.6  180  i                                
 540648 onc V             5:35:29.99 -05:23:00.0 2000.00  00:15 1.300  WFC   60.1  180  V                                
 540649 onc i             5:35:30.00 -05:22:59.9 2000.00  00:18 1.295  WFC   30.1  180  i                                
 540650 onc V             5:35:30.00 -05:23:00.0 2000.00  00:19 1.291  WFC   59.6  180  V                                
 540651 onc i             5:35:30.00 -05:23:00.1 2000.00  00:21 1.287  WFC   30.1  180  i                                
 540652 onc V             5:35:30.00 -05:23:00.0 2000.00  00:23 1.283  WFC   60.1  180  V                                
 540653 onc i             5:35:30.00 -05:22:59.9 2000.00  00:25 1.279  WFC   30.1  180  i                                
 540654 onc V             5:35:30.00 -05:23:00.0 2000.00  00:27 1.276  WFC   60.1  180  V                                
 540655 onc i             5:35:30.00 -05:22:59.9 2000.00  00:29 1.272  WFC   30.1  180  i                                
 540656 onc V             5:35:30.00 -05:22:59.9 2000.00  00:30 1.268  WFC   59.6  180  V                                
 540657 onc i             5:35:30.00 -05:23:00.0 2000.00  00:32 1.265  WFC   29.5  180  i                                
 540658 onc V             5:35:30.00 -05:23:00.0 2000.00  00:34 1.262  WFC   60.1  180  V                                
 540659 onc i             5:35:30.00 -05:22:59.9 2000.00  00:36 1.259  WFC   30.1  180  i                                
 540660 onc V             5:35:30.00 -05:22:59.9 2000.00  00:38 1.255  WFC   60.0  180  V                                
 540661 onc i             5:35:30.00 -05:22:59.9 2000.00  00:40 1.252  WFC   30.1  180  i                                
 540662 onc V             5:35:29.99 -05:22:59.9 2000.00  00:42 1.249  WFC   60.1  180  V                                
 540663 onc i             5:35:30.00 -05:22:59.9 2000.00  00:44 1.246  WFC   30.1  180  i                                
 540664 onc V             5:35:30.00 -05:23:00.0 2000.00  00:46 1.244  WFC   60.1  180  V                                
 540665 onc i             5:35:29.99 -05:23:00.0 2000.00  00:48 1.241  WFC   30.1  180  i                                
 540666 onc V             5:35:30.00 -05:22:59.9 2000.00  00:50 1.239  WFC   60.1  180  V                                
 540667 onc i             5:35:30.00 -05:23:00.0 2000.00  00:52 1.237  WFC   30.0  180  i                                
 540668 onc V             5:35:29.99 -05:23:00.4 2000.00  00:54 1.234  WFC   60.0  180  V                                
 540669 onc i             5:35:30.00 -05:23:00.0 2000.00  00:56 1.232  WFC   30.1  180  i                                
 540670 onc V             5:35:30.02 -05:23:00.2 2000.00  00:57 1.230  WFC   60.0  180  V                                
 540671 onc i             5:35:30.00 -05:22:59.9 2000.00  00:59 1.228  WFC   30.1  180  i                                
 540672 onc V             5:35:30.00 -05:23:00.0 2000.00  01:01 1.226  WFC   60.0  180  V                                
 540673 onc i             5:35:30.00 -05:23:00.0 2000.00  01:03 1.224  WFC   30.1  180  i                                
 540674 onc V             5:35:30.00 -05:23:00.0 2000.00  01:05 1.223  WFC   60.1  180  V                                
 540675 onc i             5:35:30.00 -05:22:59.9 2000.00  01:07 1.221  WFC   30.1  180  i                                
 540676 onc V             5:35:30.00 -05:22:59.9 2000.00  01:08 1.220  WFC   59.5  180  V                                
 540677 onc i             5:35:30.00 -05:22:59.8 2000.00  01:11 1.218  WFC   30.1  180  i                                
 540678 onc V             5:35:30.00 -05:22:59.9 2000.00  01:12 1.217  WFC   60.1  180  V                                
 540679 onc i             5:35:30.00 -05:22:59.9 2000.00  01:14 1.216  WFC   30.1  180  i                                
 540680 onc V             5:35:29.99 -05:22:59.9 2000.00  01:16 1.214  WFC   60.0  180  V                                
 540681 onc i             5:35:30.00 -05:23:00.0 2000.00  01:18 1.213  WFC   30.1  180  i                                
 540682 onc V             5:35:29.99 -05:22:59.9 2000.00  01:20 1.212  WFC   60.1  180  V                                
 540683 onc i             5:35:30.00 -05:22:59.9 2000.00  01:22 1.211  WFC   30.1  180  i                                
 540684 onc V             5:35:30.00 -05:22:59.9 2000.00  01:24 1.211  WFC   60.0  180  V                                
 540685 onc i             5:35:30.00 -05:23:00.0 2000.00  01:26 1.210  WFC   29.5  180  i                                
 540686 onc V             5:35:30.00 -05:23:00.0 2000.00  01:27 1.209  WFC   60.1  180  V                                
 540687 onc i             5:35:29.99 -05:23:00.0 2000.00  01:30 1.209  WFC   30.1  180  i                                
 540688 onc V             5:35:30.00 -05:22:59.9 2000.00  01:31 1.209  WFC   60.1  180  V                                
 540689 onc i             5:35:29.99 -05:22:59.9 2000.00  01:33 1.208  WFC   30.1  180  i                                
 540690 onc V             5:35:29.99 -05:22:59.9 2000.00  01:35 1.208  WFC   60.1  180  V                                
 540691 onc i             5:35:29.99 -05:23:00.0 2000.00  01:37 1.208  WFC   30.1  180  i                                
 540692 onc V             5:35:29.99 -05:22:59.9 2000.00  01:38 1.208  WFC   60.1  180  V                                
 540693 onc i             5:35:29.99 -05:23:00.0 2000.00  01:41 1.208  WFC   30.1  180  i                                
 540694 onc V             5:35:30.00 -05:22:59.8 2000.00  01:42 1.208  WFC   60.1  180  V                                
 540695 onc i             5:35:30.00 -05:22:59.9 2000.00  01:45 1.208  WFC   30.1  180  i                                
 540696 onc V             5:35:30.00 -05:22:59.9 2000.00  01:46 1.208  WFC   60.1  180  V                                
 540697 onc i             5:35:29.99 -05:23:00.0 2000.00  01:48 1.208  WFC   30.1  180  i                                
 540698 onc V             5:35:30.00 -05:22:59.9 2000.00  01:50 1.209  WFC   60.0  180  V                                
 540699 onc i             5:35:30.00 -05:22:59.9 2000.00  01:52 1.209  WFC   30.1  180  i                                
 540700 onc V             5:35:29.99 -05:23:00.0 2000.00  01:54 1.210  WFC   60.1  180  V                                
 540701 onc i             5:35:30.00 -05:23:00.0 2000.00  01:56 1.211  WFC   30.1  180  i                                
 540702 onc V             5:35:30.00 -05:22:59.9 2000.00  01:58 1.212  WFC   60.1  180  V                                
 540703 onc i             5:35:30.02 -05:22:59.1 2000.00  02:00 1.212  WFC   30.1  180  i                                
 540704 onc V             5:35:30.00 -05:22:59.9 2000.00  02:01 1.213  WFC   60.0  180  V                                
 540705 onc i             5:35:29.99 -05:22:59.9 2000.00  02:03 1.214  WFC   30.1  180  i                                
 540706 onc V             5:35:29.99 -05:22:59.9 2000.00  02:05 1.215  WFC   60.1  180  V                                
 540707 onc i             5:35:29.98 -05:22:59.7 2000.00  02:07 1.217  WFC   30.1  180  i                                
 540708 onc V             5:35:30.00 -05:23:00.0 2000.00  02:09 1.218  WFC   60.1  180  V                                
 540709 onc i             5:35:29.99 -05:22:59.9 2000.00  02:11 1.219  WFC   30.1  180  i                                
 540710 onc V             5:35:30.00 -05:22:59.9 2000.00  02:12 1.221  WFC   60.1  180  V                                
 540711 onc i             5:35:30.00 -05:23:00.0 2000.00  02:14 1.222  WFC   30.1  180  i                                
 540712 onc V             5:35:29.99 -05:22:59.9 2000.00  02:16 1.224  WFC   60.1  180  V                                
 540713 onc i             5:35:30.00 -05:22:59.9 2000.00  02:18 1.226  WFC   29.5  180  i                                
 540714 onc V             5:35:30.00 -05:22:59.9 2000.00  02:20 1.228  WFC   60.1  180  V                                
 540715 onc i             5:35:30.00 -05:23:00.0 2000.00  02:22 1.229  WFC   30.1  180  i                                
 540716 onc V             5:35:30.00 -05:22:59.9 2000.00  02:24 1.231  WFC   60.0  180  V                                
 540717 onc i             5:35:29.99 -05:23:00.0 2000.00  02:26 1.233  WFC   30.1  180  i                                
 540718 onc V             5:35:29.99 -05:23:00.0 2000.00  02:27 1.236  WFC   59.6  180  V                                
 540719 onc i             0:00:00.00 +00:00:00.0 2000.00  02:29 1.238  WFC   30.1  180  i                                
 540720 onc V             5:35:30.00 -05:23:00.0 2000.00  02:31 1.241  WFC   60.1  180  V                                
 540721 onc i             5:35:29.99 -05:23:00.0 2000.00  02:33 1.243  WFC   30.1  180  i                                
 540722 onc V             5:35:30.00 -05:23:00.0 2000.00  02:35 1.246  WFC   60.1  180  V                                
 540723 onc i             5:35:29.99 -05:22:59.4 2000.00  02:37 1.248  WFC   30.1  180  i                                
 540724 onc V             5:35:30.00 -05:23:00.0 2000.00  02:39 1.251  WFC   60.0  180  V                                
 540725 onc i             5:35:30.00 -05:22:59.9 2000.00  02:41 1.254  WFC   30.0  180  i                                
