 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610391 HD 93521 7500A   10:48:22.97 +37:34:14.3  2000.00 00:07 1.012  IDS   40.0  220  Clear+Clear   7.0  43.8 7499.7   
 610392 CuNe+CuAr bin 3  10:48:22.97 +37:34:14.4  2000.00 00:09 1.012  IDS    1.5  220  Clear+Clear   1.0  43.8 7499.7   
 610393 flat 7500A       10:48:22.97 +37:34:14.3  2000.00 00:10 1.012  IDS    1.5  220  Clear+Clear   1.0  43.8 7499.7   
 610394 HD 93521 8500A   10:48:23.10 +37:34:13.1  2000.00 00:12 1.012  IDS   20.0  220  Clear+Clear   7.0  39.6 8499.2   
 610395 CuNe+CuAr bin 3  10:48:23.10 +37:34:13.1  2000.00 00:14 1.012  IDS    1.5  220  Clear+Clear   1.0  39.6 8499.2   
 610396 flat 8500A       10:48:23.10 +37:34:13.1  2000.00 00:14 1.012  IDS    3.0  220  Clear+Clear   1.0  39.6 8499.2   
 610397 HD 125351 K0III  14:17:59.26 +35:30:54.5  2000.00 00:28 1.341  IDS   20.0  220  Clear+Clear   1.0  41.6 8031.1   saturated
 610398 HD 125351 K0III  14:17:59.26 +35:30:54.5  2000.00 00:31 1.331  IDS    8.0  220  Clear+Clear   1.0  41.6 8031.1   
 610399 CuNe+CuAr bin 3  14:17:59.26 +35:30:54.5  2000.00 00:32 1.328  IDS    1.5  220  Clear+Clear   1.0  41.6 8031.1   
 610400 flat 8030A       14:17:59.26 +35:30:54.5  2000.00 00:32 1.327  IDS    3.0  220  Clear+Clear   1.0  41.6 8031.1   saturated
 610401 HD 102928 K0+III 11:51:01.85 -05:19:45.5  2000.00 00:38 1.228  IDS   20.0  345  Clear+Clear   1.0  41.6 8031.1   
 610402 CuNe+CuAr bin 3  11:51:01.86 -05:19:45.3  2000.00 00:39 1.227  IDS    1.5  345  Clear+Clear   1.0  41.6 8031.1   
 610403 flat 8030A       11:51:01.87 -05:19:45.2  2000.00 00:40 1.226  IDS    3.0  345  Clear+Clear   1.0  41.6 8031.1   saturated
 610404 HD 108381 K1III  12:26:55.19 +28:16:07.9  2000.00 00:44 1.037  IDS    5.0  276  Clear+Clear   1.0  41.6 8031.1   
 610405 CuNe+CuAr bin 3  12:26:55.19 +28:16:07.8  2000.00 00:45 1.036  IDS    1.5  276  Clear+Clear   1.0  41.6 8031.1   
 610406 flat 8030A       12:26:55.19 +28:16:07.8  2000.00 00:46 1.036  IDS    3.0  276  Clear+Clear   1.0  41.6 8031.1   saturated
 610407 CuNe+CuAr bin 3  12:26:55.19 +28:16:07.9  2000.00 00:47 1.035  IDS    1.5  276  Clear+Clear   1.0  41.6 8031.1   
 610408 flat 8030A       12:26:55.19 +28:16:07.9  2000.00 00:47 1.034  IDS    1.5  276  Clear+Clear   1.0  41.6 8031.1   
 610409 HD 96833 K1III   11:09:40.12 +44:29:52.8  2000.00 00:53 1.040  IDS    1.0  170  Clear+Clear   1.0  41.6 8031.1   
 610410 flat 8030A       11:09:40.11 +44:29:52.7  2000.00 00:54 1.040  IDS    1.5  170  Clear+Clear   1.0  41.6 8031.1   
 610411 HD 110014 K2III  12:39:14.42 -07:59:28.5  2000.00 01:00 1.307  IDS    5.0  335  Clear+Clear   1.0  41.6 8031.1   
 610412 flat 8030A       12:39:14.42 -07:59:27.9  2000.00 01:01 1.306  IDS    1.5  335  Clear+Clear   1.0  41.6 8031.1   
 610413 HD 95578 M0III   11:01:48.56 -02:28:58.3  2000.00 01:05 1.184  IDS    5.0   15  Clear+Clear   1.0  41.6 8031.1   Almost saturated!!!
 610414 flat 8030A       11:01:48.56 -02:28:58.2  2000.00 01:05 1.185  IDS    1.5   15  Clear+Clear   1.0  41.6 8031.1   
 610415 HD 95578 M0III   11:01:48.62 -02:28:58.7  2000.00 01:07 1.186  IDS    3.0   15  Clear+Clear   1.0  41.6 8031.1   
 610416 HD 99118 M0III   11:17:16.89 +02:00:43.6  2000.00 01:10 1.127  IDS   10.0   11  Clear+Clear   1.0  41.6 8031.1   
 610417 flat 8030A       11:17:16.91 +02:00:43.6  2000.00 01:11 1.127  IDS    1.5   11  Clear+Clear   1.0  41.6 8031.1   
 610418 CuNe+CuAr bin 3  11:17:16.91 +02:00:43.5  2000.00 01:12 1.128  IDS    1.5   11  Clear+Clear   1.0  41.6 8031.1   
