field,dir,n_matched,n_outliers_5p,n_outliers_10p,n_outliers_20p,n_5p_r,n_5p_i,n_5p_h,n_10p_r,n_10p_i,n_10p_h,n_20p_r,n_20p_i,n_20p_h,med_dr,med_di,med_dh,std_dr,std_di,std_dh,file1,file2
0029,iphas_nov2003b,333,204,53,11,85,85,34,17,28,8,2,8,1,-0.0279664993286,-0.177069187164,-0.0136051177979,0.0507744459458,0.0647105456665,0.0350014276011,newmerges/iphas_nov2003b/intphas_0029_mercat.fits,newmerges/iphas_nov2003b/intphas_0029o_mercat.fits
0029,iphas_oct2005b,6262,220,22,2,50,32,138,8,4,10,1,1,0,0.00209426879883,-0.0039210319519,-0.00552320480347,0.0215453965318,0.0197328275265,0.0269415748924,newmerges/iphas_oct2005b/intphas_0029_mercat.fits,newmerges/iphas_oct2005b/intphas_0029o_mercat.fits
0030,iphas_nov2003b,459,186,31,4,66,89,31,19,8,4,3,0,1,0.0241885185242,-0.0460052490234,-0.142389297485,0.0548568493298,0.0383480588469,0.0310630804399,newmerges/iphas_nov2003b/intphas_0030_mercat.fits,newmerges/iphas_nov2003b/intphas_0030o_mercat.fits
0030,iphas_oct2005b,4171,132,6,0,24,30,78,2,4,0,0,0,0,-0.00625610351562,-0.00250625610352,-0.00316143035889,0.0201806492427,0.0198791522646,0.0247619267573,newmerges/iphas_oct2005b/intphas_0030_mercat.fits,newmerges/iphas_oct2005b/intphas_0030o_mercat.fits
0031,iphas_nov2003b,259,77,4,1,25,32,20,2,2,0,1,0,0,0.00712394714355,-0.0042667388916,0.0271968841553,0.041797053525,0.032864968188,0.0298422067275,newmerges/iphas_nov2003b/intphas_0031_mercat.fits,newmerges/iphas_nov2003b/intphas_0031o_mercat.fits
0031,iphas_oct2005b,1362,38,0,0,8,8,22,0,0,0,0,0,0,0.000509262084961,-0.0101795196533,-0.000688552856445,0.0223378563653,0.0172219009848,0.0236991890885,newmerges/iphas_oct2005b/intphas_0031_mercat.fits,newmerges/iphas_oct2005b/intphas_0031o_mercat.fits
0032,iphas_nov2003b,1409,489,68,4,150,164,175,14,19,35,0,1,3,-0.00412368774414,-0.00778293609619,0.025532245636,0.0356528159301,0.0375919316883,0.0421975073594,newmerges/iphas_nov2003b/intphas_0032_mercat.fits,newmerges/iphas_nov2003b/intphas_0032o_mercat.fits
0032,iphas_oct2005b,5410,154,5,0,38,19,97,1,0,4,0,0,0,-0.00286293029785,-0.0045051574707,-0.0013279914856,0.0204132490679,0.0165595307803,0.026706649323,newmerges/iphas_oct2005b/intphas_0032_mercat.fits,newmerges/iphas_oct2005b/intphas_0032o_mercat.fits
0033,iphas_nov2003b,2134,651,93,7,187,189,275,28,16,49,0,0,7,-0.00434446334839,0.0736789703369,0.022910118103,0.0343856311238,0.0316596298764,0.0438721246425,newmerges/iphas_nov2003b/intphas_0033_mercat.fits,newmerges/iphas_nov2003b/intphas_0033o_mercat.fits
0033,iphas_oct2005b,7057,309,16,2,55,60,194,3,4,9,0,1,1,-0.00655651092529,-0.00129413604736,-0.00301647186279,0.020969766297,0.0226299242661,0.03775419805,newmerges/iphas_oct2005b/intphas_0033_mercat.fits,newmerges/iphas_oct2005b/intphas_0033o_mercat.fits
0034,iphas_nov2003b,2326,244,19,2,92,79,73,10,5,4,2,0,0,-0.00222206115723,-0.00278186798096,-0.0167284011841,0.0306940854399,0.0257459061071,0.0273689914238,newmerges/iphas_nov2003b/intphas_0034_mercat.fits,newmerges/iphas_nov2003b/intphas_0034o_mercat.fits
